Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,38.438097,[22 46] ; [91 25],[41.76086957 26.23913043] ; [71.23913043 44.76086957],1
n6,1,0.001469,10.116841,[36 33] ; [87 29],[45.87567568 23.12432432] ; [77.12432432 38.87567568],0
u1,1,0.001659,9.892578,[ 2 67] ; [22 94],[ 8.95135135 60.04864865] ; [ 15.04864865 100.95135135],0
b5,1,0.016161,5.78524,[47 22] ; [58 58],[39.16216216 29.83783784] ; [65.83783784 50.16216216],0
a8,1,0.018329,5.564467,[ 2 66] ; [15 95],[ 6.49438202 61.50561798] ; [10.50561798 99.49438202],0
p11,1,0.023775,5.110977,[28 41] ; [67 49],[35.43243243 33.56756757] ; [59.56756757 56.43243243],0
n1,1,0.028528,4.795873,[ 9 22] ; [23 19],[13.5890411 17.4109589] ; [18.4109589 23.5890411],0
a6,1,0.031535,4.62359,[32 37] ; [72 43],[39. 30.] ; [65. 50.],0
s8,1,0.045731,3.991489,[14 54] ; [40 76],[19.95652174 48.04347826] ; [34.04347826 81.95652174],0
p3,1,0.076771,3.131959,[14 54] ; [38 78],[19.2173913 48.7826087] ; [32.7826087 83.2173913],0
p12,1,0.09953,2.713051,[ 1 67] ; [  8 108],[ 3.32608696 64.67391304] ; [  5.67391304 110.32608696],0
p9,1,0.106488,2.605581,[31 34] ; [68 45],[36.15168539 28.84831461] ; [62.84831461 50.15168539],0
a5,1,0.108584,2.574706,[37 32] ; [76 40],[42.14594595 26.85405405] ; [70.85405405 45.14594595],0
s7,1,0.135286,2.230777,[16 46] ; [41 70],[20.42774566 41.57225434] ; [36.57225434 74.42774566],0
v3,1,0.140445,2.173077,[16 50] ; [38 71],[20.36571429 45.63428571] ; [33.63428571 75.36571429],0
r1,1,0.164147,1.935599,[40 29] ; [79 37],[44.38378378 24.61621622] ; [74.61621622 41.38378378],0
d1,1,0.164732,1.930243,[29 40] ; [61 55],[33.56756757 35.43243243] ; [56.43243243 59.56756757],0
u3,1,0.17954,1.801428,[17 10] ; [20 23],[14.27142857 12.72857143] ; [22.72857143 20.27142857],0
a7,1,0.186707,1.743414,[36 33] ; [72 44],[40.28108108 28.71891892] ; [67.71891892 48.28108108],0
n2,1,0.188814,1.72685,[19 13] ; [31 11],[21.62162162 10.37837838] ; [28.37837838 13.62162162],0
p4,1,0.190135,1.716573,[22 46] ; [27 88],[18.20765027 49.79234973] ; [30.79234973 84.20765027],0
n3,1,0.201589,1.630824,[16 15] ; [26 13],[18.6 12.4] ; [23.4 15.6],0
a1,1,0.218023,1.517338,[ 4 65] ; [ 13 103],[ 6.34054054 62.65945946] ; [ 10.65945946 105.34054054],0
r2,1,0.273332,1.199947,[57 12] ; [99 13],[59.46961326  9.53038674] ; [96.53038674 15.46961326],0
p8,1,0.287393,1.131793,[17 52] ; [21 95],[14.17297297 54.82702703] ; [23.82702703 92.17297297],0
u4,1,0.288079,1.128577,[ 1 68] ; [  5 111],[ 2.23783784 66.76216216] ; [  3.76216216 112.23783784],0
a2,1,0.29261,1.107572,[10 59] ; [24 92],[12.68108108 56.31891892] ; [21.31891892 94.68108108],0
p10,1,0.303755,1.057636,[32 35] ; [64 51],[35.34065934 31.65934066] ; [60.65934066 54.34065934],0
d5,1,0.307927,1.039548,[50 19] ; [75 40],[46.875 22.125] ; [78.125 36.875],0
s5,1,0.344564,0.893375,[17 48] ; [22 88],[14.48571429 50.51428571] ; [24.51428571 85.48571429],0
r3,1,0.351316,0.868697,[58 11] ; [91 25],[55.57297297 13.42702703] ; [93.42702703 22.57297297],0
v2,1,0.375503,0.785374,[28 37] ; [55 55],[30.82857143 34.17142857] ; [52.17142857 57.82857143],0
b2,1,0.395559,0.721786,[11 25] ; [31 49],[13.03448276 22.96551724] ; [28.96551724 51.03448276],0
b3,1,0.395559,0.721786,[11 25] ; [31 49],[13.03448276 22.96551724] ; [28.96551724 51.03448276],0
d4,1,0.413251,0.669428,[53 16] ; [82 33],[50.625 18.375] ; [84.375 30.625],0
b1,1,0.434811,0.609938,[31 38] ; [59 57],[33.56756757 35.43243243] ; [56.43243243 59.56756757],0
d3,1,0.444699,0.584127,[35 34] ; [65 50],[37.5 31.5] ; [62.5 52.5],0
s1,1,0.454791,0.558685,[ 7 62] ; [  8 106],[ 5.6557377 63.3442623] ; [  9.3442623 104.6557377],0
a4,1,0.45732,0.552447,[27 42] ; [51 63],[29.40983607 39.59016393] ; [48.59016393 65.40983607],0
v4,1,0.478527,0.502219,[56 13] ; [89 27],[54.08108108 14.91891892] ; [90.91891892 25.08108108],0
