Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.0009,11.023308,[ 5 12] ; [11  1],[9.37931034 7.62068966] ; [6.62068966 5.37931034],1
r2,1,0.002536,9.114583,[15  1] ; [5 7],[11.42857143  4.57142857] ; [8.57142857 3.42857143],0
s3,1,0.0041,8.238797,[ 2 15] ; [7 4],[ 5.46428571 11.53571429] ; [3.53571429 7.46428571],0
s2,1,0.007374,7.17964,[ 3 14] ; [8 4],[ 6.44827586 10.55172414] ; [4.55172414 7.44827586],0
p6,1,0.023808,5.108586,[ 1 15] ; [5 7],[ 3.42857143 12.57142857] ; [2.57142857 9.42857143],0
p9,1,0.026411,4.928894,[9 8] ; [11  1],[11.72413793  5.27586207] ; [8.27586207 3.72413793],0
p2,1,0.031308,4.635989,[ 5 10] ; [9 3],[7.77777778 7.22222222] ; [6.22222222 5.77777778],0
p10,1,0.033807,4.504456,[7 9] ; [10  2],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
p4,1,0.038142,4.298684,[ 2 13] ; [6 6],[ 4.44444444 10.55555556] ; [3.55555556 8.44444444],0
s6,1,0.053019,3.743316,[ 6 11] ; [8 3],[8.5 8.5] ; [5.5 5.5],0
a5,1,0.071254,3.253889,[ 7 10] ; [9 3],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
p7,1,0.096104,2.769034,[ 4 11] ; [7 5],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
d3,1,0.119358,2.425726,[12  5] ; [5 7],[9.96551724 7.03448276] ; [7.03448276 4.96551724],0
s5,1,0.141442,2.162206,[ 1 16] ; [3 9],[ 2.34482759 14.65517241] ; [ 1.65517241 10.34482759],0
d5,1,0.167554,1.904696,[12  5] ; [11  1],[13.48275862  3.51724138] ; [9.51724138 2.48275862],0
b2,1,0.204894,1.607143,[2 4] ; [6 3],[3.2 2.8] ; [4.8 4.2],0
b3,1,0.204894,1.607143,[2 4] ; [6 3],[3.2 2.8] ; [4.8 4.2],0
b5,1,0.21918,1.509733,[11  6] ; [5 7],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
d4,1,0.254478,1.298551,[12  4] ; [11  1],[13.14285714  2.85714286] ; [9.85714286 2.14285714],0
a1,1,0.285982,1.13844,[ 4 13] ; [ 1 11],[ 2.93103448 14.06896552] ; [2.06896552 9.93103448],0
p1,1,0.285982,1.13844,[ 4 13] ; [ 1 11],[ 2.93103448 14.06896552] ; [2.06896552 9.93103448],0
r3,1,0.377822,0.777778,[8 8] ; [8 4],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
b4,1,0.428398,0.627163,[11  6] ; [6 6],[9.96551724 7.03448276] ; [7.03448276 4.96551724],0
p3,1,0.432111,0.617143,[ 3 12] ; [4 8],[ 3.88888889 11.11111111] ; [3.11111111 8.88888889],0
n3,1,0.446798,0.578763,[5 3] ; [3 4],[4.26666667 3.73333333] ; [3.73333333 3.26666667],0
v4,1,0.462832,0.539037,[13  4] ; [7 4],[12.14285714  4.85714286] ; [7.85714286 3.14285714],0
n1,1,0.464214,0.535714,[2 6] ; [3 4],[2.66666667 5.33333333] ; [2.33333333 4.66666667],0
v1,1,0.488462,0.479912,[ 7 10] ; [6 5],[7.89285714 9.10714286] ; [5.10714286 5.89285714],0
n5,1,0.502716,0.449198,[12  5] ; [9 2],[12.75  4.25] ; [8.25 2.75],0
n4,1,0.555086,0.348284,[11  6] ; [9 3],[11.72413793  5.27586207] ; [8.27586207 3.72413793],0
v2,1,0.57649,0.311943,[9 7] ; [8 4],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
a2,1,0.630209,0.231777,[ 3 14] ; [3 9],[ 3.51724138 13.48275862] ; [2.48275862 9.51724138],0
a3,1,0.653188,0.201904,[13  4] ; [10  2],[13.48275862  3.51724138] ; [9.51724138 2.48275862],0
n6,1,0.65714,0.197017,[11  6] ; [8 3],[11.53571429  5.46428571] ; [7.46428571 3.53571429],0
r1,1,0.700472,0.147981,[ 5 12] ; [4 7],[ 5.46428571 11.53571429] ; [3.53571429 7.46428571],0
u2,1,0.709388,0.138889,[2 1] ; [1 1],[1.8 1.2] ; [1.2 0.8],0
n2,1,0.714393,0.133929,[5 3] ; [5 2],[5.33333333 2.66666667] ; [4.66666667 2.33333333],0
p8,1,0.71714,0.13125,[ 5 11] ; [3 9],[ 4.57142857 11.42857143] ; [3.42857143 8.57142857],0
a4,1,0.72759,0.121336,[ 6 11] ; [5 7],[ 6.44827586 10.55172414] ; [4.55172414 7.44827586],0
b1,1,0.72759,0.121336,[ 6 11] ; [5 7],[ 6.44827586 10.55172414] ; [4.55172414 7.44827586],0
a7,1,0.742787,0.107692,[9 7] ; [6 6],[8.57142857 7.42857143] ; [6.42857143 5.57142857],0
a6,1,0.773675,0.082697,[9 8] ; [7 5],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
d1,1,0.875948,0.02437,[9 8] ; [6 6],[8.79310345 8.20689655] ; [6.20689655 5.79310345],0
d2,1,0.912219,0.012153,[9 7] ; [7 5],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
