Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,27.392553,[ 5 35] ; [24  9],[15.89041096 24.10958904] ; [13.10958904 19.89041096],1
s6,1,1.3e-05,19.029266,[11 29] ; [26  7],[20.2739726 19.7260274] ; [16.7260274 16.2739726],1
s7,1,3.9e-05,16.906891,[ 9 30] ; [23  9],[17.57746479 21.42253521] ; [14.42253521 17.57746479],1
s8,1,0.001915,9.629431,[ 6 34] ; [16 17],[12.05479452 27.94520548] ; [ 9.94520548 23.05479452],0
s5,1,0.043098,4.091566,[ 5 35] ; [10 21],[ 8.45070423 31.54929577] ; [ 6.54929577 24.45070423],0
p2,1,0.058264,3.586135,[26 12] ; [28  4],[29.31428571  8.68571429] ; [24.68571429  7.31428571],0
r3,1,0.076334,3.141272,[25 13] ; [27  5],[28.22857143  9.77142857] ; [23.77142857  8.22857143],0
u2,1,0.105209,2.624744,[ 8 11] ; [8 3],[10.13333333  8.86666667] ; [5.86666667 5.13333333],0
a6,1,0.112132,2.52392,[18 22] ; [21 12],[21.36986301 18.63013699] ; [17.63013699 15.36986301],0
d4,1,0.113378,2.506497,[24 15] ; [26  7],[27.08333333 11.91666667] ; [22.91666667 10.08333333],0
p7,1,0.118093,2.442431,[16 23] ; [18 12],[19.2173913 19.7826087] ; [14.7826087 15.2173913],0
n6,1,0.185187,1.755495,[30  9] ; [20 12],[27.46478873 11.53521127] ; [22.53521127  9.46478873],0
n3,1,0.202156,1.626731,[14  5] ; [5 5],[12.44827586  6.55172414] ; [6.55172414 3.44827586],0
r2,1,0.204034,1.613258,[19 19] ; [19 10],[21.55223881 16.44776119] ; [16.44776119 12.55223881],0
d5,1,0.224913,1.472744,[25 15] ; [25  8],[27.39726027 12.60273973] ; [22.60273973 10.39726027],0
u1,1,0.240661,1.37672,[ 4 36] ; [ 1 32],[ 2.73972603 37.26027397] ; [ 2.26027397 30.73972603],0
n5,1,0.282302,1.155975,[29 10] ; [20 12],[26.91549296 12.08450704] ; [22.08450704  9.91549296],0
u3,1,0.295642,1.09375,[ 7 11] ; [7 5],[8.4 9.6] ; [5.6 6.4],0
s4,1,0.315119,1.009098,[ 7 33] ; [ 9 24],[ 8.76712329 31.23287671] ; [ 7.23287671 25.76712329],0
r1,1,0.315119,1.009098,[ 7 33] ; [ 9 24],[ 8.76712329 31.23287671] ; [ 7.23287671 25.76712329],0
p3,1,0.315624,1.006993,[11 28] ; [13 20],[13. 26.] ; [11. 22.],0
p9,1,0.318357,0.995685,[28 11] ; [27  6],[29.79166667  9.20833333] ; [25.20833333  7.79166667],0
a3,1,0.33804,0.917852,[21 19] ; [21 12],[23.01369863 16.98630137] ; [18.98630137 14.01369863],0
v4,1,0.339594,0.911964,[25 15] ; [22  8],[26.85714286 13.14285714] ; [20.14285714  9.85714286],0
n1,1,0.345702,0.889173,[ 7 12] ; [6 5],[ 8.23333333 10.76666667] ; [4.76666667 6.23333333],0
d2,1,0.373735,0.791209,[17 22] ; [11 22],[15.16666667 23.83333333] ; [12.83333333 20.16666667],0
b2,1,0.382329,0.763201,[ 4 19] ; [ 7 18],[ 5.27083333 17.72916667] ; [ 5.72916667 19.27083333],0
b3,1,0.382329,0.763201,[ 4 19] ; [ 7 18],[ 5.27083333 17.72916667] ; [ 5.72916667 19.27083333],0
d3,1,0.416859,0.659152,[18 22] ; [18 15],[19.7260274 20.2739726] ; [16.2739726 16.7260274],0
v3,1,0.436178,0.606316,[ 7 33] ; [ 8 24],[ 8.33333333 31.66666667] ; [ 6.66666667 25.33333333],0
a1,1,0.445633,0.581735,[ 1 39] ; [ 2 31],[ 1.64383562 38.35616438] ; [ 1.35616438 31.64383562],0
a8,1,0.457428,0.55218,[ 2 36] ; [ 3 27],[ 2.79411765 35.20588235] ; [ 2.20588235 27.79411765],0
a5,1,0.467132,0.528751,[24 16] ; [17 16],[22.46575342 17.53424658] ; [18.53424658 14.46575342],0
