Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.005397,7.741389,[ 2 22] ; [3 2],[ 4.13793103 19.86206897] ; [0.86206897 4.13793103],0
p2,1,0.032509,4.571429,[10 15] ; [6 1],[12.5 12.5] ; [3.5 3.5],0
r4,1,0.048683,3.88624,[ 1 24] ; [2 5],[ 2.34375 22.65625] ; [0.65625 6.34375],0
b5,1,0.151191,2.06019,[14 11] ; [6 1],[15.625  9.375] ; [4.375 2.625],0
s3,1,0.17346,1.852787,[ 7 17] ; [4 3],[ 8.51612903 15.48387097] ; [2.48387097 4.51612903],0
v4,1,0.199543,1.645714,[11 14] ; [5 2],[12.5 12.5] ; [3.5 3.5],0
r3,1,0.199543,1.645714,[11 14] ; [5 2],[12.5 12.5] ; [3.5 3.5],0
p11,1,0.224551,1.475048,[ 8 17] ; [4 3],[ 9.375 15.625] ; [2.625 4.375],0
p7,1,0.224551,1.475048,[ 8 17] ; [4 3],[ 9.375 15.625] ; [2.625 4.375],0
s6,1,0.27328,1.200208,[ 9 16] ; [1 6],[ 7.8125 17.1875] ; [2.1875 4.8125],0
d3,1,0.314069,1.013488,[ 9 16] ; [4 3],[10.15625 14.84375] ; [2.84375 4.15625],0
p12,1,0.320372,0.987429,[ 1 24] ; [1 6],[ 1.5625 23.4375] ; [0.4375 6.5625],0
a3,1,0.35409,0.858745,[ 9 15] ; [4 3],[10.06451613 13.93548387] ; [2.93548387 4.06451613],0
v2,1,0.356859,0.848916,[ 8 17] ; [1 6],[ 7.03125 17.96875] ; [1.96875 5.03125],0
b3,1,0.423206,0.641394,[ 4 14] ; [2 3],[ 4.69565217 13.30434783] ; [1.30434783 3.69565217],0
b2,1,0.423206,0.641394,[ 4 14] ; [2 3],[ 4.69565217 13.30434783] ; [1.30434783 3.69565217],0
n2,1,0.437558,0.602679,[5 7] ; [2 1],[5.6 6.4] ; [1.4 1.6],0
p8,1,0.483008,0.492063,[ 4 20] ; [2 5],[ 4.64516129 19.35483871] ; [1.35483871 5.64516129],0
d4,1,0.537957,0.379339,[14 11] ; [3 4],[13.28125 11.71875] ; [3.71875 3.28125],0
n5,1,0.537957,0.379339,[11 14] ; [4 3],[11.71875 13.28125] ; [3.28125 3.71875],0
b4,1,0.580912,0.304762,[15 10] ; [5 2],[15.625  9.375] ; [4.375 2.625],0
b1,1,0.580912,0.304762,[15 10] ; [5 2],[15.625  9.375] ; [4.375 2.625],0
r1,1,0.582647,0.301976,[ 6 19] ; [1 6],[ 5.46875 19.53125] ; [1.53125 5.46875],0
v1,1,0.582647,0.301976,[ 6 19] ; [1 6],[ 5.46875 19.53125] ; [1.53125 5.46875],0
a5,1,0.592948,0.285764,[ 8 17] ; [3 4],[ 8.59375 16.40625] ; [2.40625 4.59375],0
p4,1,0.592948,0.285764,[ 8 17] ; [3 4],[ 8.59375 16.40625] ; [2.40625 4.59375],0
a1,1,0.614051,0.254319,[ 2 23] ; [1 6],[ 2.34375 22.65625] ; [0.65625 6.34375],0
n6,1,0.668929,0.182857,[12 13] ; [4 3],[12.5 12.5] ; [3.5 3.5],0
u2,1,0.737369,0.112453,[7 9] ; [1 2],[6.73684211 9.26315789] ; [1.26315789 1.73684211],0
n1,1,0.770335,0.085227,[3 9] ; [1 2],[3.2 8.8] ; [0.8 2.2],0
n3,1,0.792147,0.069444,[7 5] ; [2 1],[7.2 4.8] ; [1.8 1.2],0
a4,1,0.804997,0.060952,[ 6 19] ; [2 5],[ 6.25 18.75] ; [1.75 5.25],0
n4,1,0.80955,0.058084,[13 12] ; [4 3],[13.28125 11.71875] ; [3.71875 3.28125],0
a6,1,0.80955,0.058084,[12 13] ; [3 4],[11.71875 13.28125] ; [3.28125 3.71875],0
p3,1,0.849304,0.036102,[ 6 18] ; [2 5],[ 6.19354839 17.80645161] ; [1.80645161 5.19354839],0
d2,1,0.862667,0.029922,[ 8 17] ; [2 5],[ 7.8125 17.1875] ; [2.1875 4.8125],0
p6,1,0.932534,0.007167,[ 3 20] ; [1 6],[ 3.06666667 19.93333333] ; [0.93333333 6.06666667],0
a7,1,0.957035,0.002902,[11 14] ; [3 4],[10.9375 14.0625] ; [3.0625 3.9375],0
d5,1,0.957035,0.002902,[14 11] ; [4 3],[14.0625 10.9375] ; [3.9375 3.0625],0
