Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2e-06,22.420959,[21  2] ; [ 7 21],[12.62745098 10.37254902] ; [15.37254902 12.62745098],1
s7,1,0.000334,12.87124,[18  5] ; [ 7 19],[11.73469388 11.26530612] ; [13.26530612 12.73469388],1
n5,1,0.007833,7.071191,[19  4] ; [13 15],[14.43137255  8.56862745] ; [17.56862745 10.43137255],0
s6,1,0.00912,6.799199,[17  6] ; [10 17],[12.42 10.58] ; [14.58 12.42],0
s8,1,0.027737,4.844337,[13 10] ; [ 7 20],[ 9.2 13.8] ; [10.8 16.2],0
s4,1,0.053944,3.71444,[ 6 16] ; [ 2 26],[ 3.52 18.48] ; [ 4.48 23.52],0
d4,1,0.064523,3.417142,[20  3] ; [18 10],[17.1372549  5.8627451] ; [20.8627451  7.1372549],0
b4,1,0.07331,3.207298,[ 9 14] ; [18 10],[12.17647059 10.82352941] ; [14.82352941 13.17647059],0
s5,1,0.117934,2.444549,[ 5 15] ; [ 2 23],[ 3.11111111 16.88888889] ; [ 3.88888889 21.11111111],0
n6,1,0.144561,2.12872,[19  4] ; [18 10],[16.68627451  6.31372549] ; [20.31372549  7.68627451],0
r1,1,0.179021,1.805731,[18  5] ; [17 11],[15.78431373  7.21568627] ; [19.21568627  8.78431373],0
p8,1,0.179664,1.800401,[15  8] ; [13 15],[12.62745098 10.37254902] ; [15.37254902 12.62745098],0
p5,1,0.210582,1.567423,[ 3 20] ; [ 1 27],[ 1.80392157 21.19607843] ; [ 2.19607843 25.80392157],0
p2,1,0.229044,1.446787,[19  4] ; [19  9],[17.1372549  5.8627451] ; [20.8627451  7.1372549],0
p4,1,0.244391,1.355087,[16  7] ; [15 13],[13.98039216  9.01960784] ; [17.01960784 10.98039216],0
u1,1,0.281363,1.160493,[ 5 18] ; [ 3 25],[ 3.60784314 19.39215686] ; [ 4.39215686 23.60784314],0
b5,1,0.287624,1.130711,[15  8] ; [22  6],[16.68627451  6.31372549] ; [20.31372549  7.68627451],0
r4,1,0.290857,1.115649,[17  6] ; [24  4],[18.49019608  4.50980392] ; [22.50980392  5.49019608],0
n3,1,0.329114,0.952381,[4 2] ; [12  2],[4.8 1.2] ; [11.2  2.8],0
p1,1,0.344118,0.89503,[ 2 21] ; [ 5 23],[ 3.15686275 19.84313725] ; [ 3.84313725 24.15686275],0
v4,1,0.400076,0.708099,[22  1] ; [25  3],[21.19607843  1.80392157] ; [25.80392157  2.19607843],0
n1,1,0.405187,0.692877,[4 2] ; [6 7],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
r2,1,0.4248,0.636999,[21  1] ; [25  3],[20.24  1.76] ; [25.76  2.24],0
a1,1,0.439,0.598894,[ 2 21] ; [ 1 27],[ 1.35294118 21.64705882] ; [ 1.64705882 26.35294118],0
r3,1,0.439,0.598894,[21  2] ; [27  1],[21.64705882  1.35294118] ; [26.35294118  1.64705882],0
s1,1,0.479782,0.499358,[ 2 21] ; [ 1 25],[ 1.40816327 21.59183673] ; [ 1.59183673 24.40816327],0
a8,1,0.515835,0.422212,[ 4 18] ; [ 3 23],[ 3.20833333 18.79166667] ; [ 3.79166667 22.20833333],0
d3,1,0.556739,0.345382,[15  8] ; [16 12],[13.98039216  9.01960784] ; [17.01960784 10.98039216],0
p11,1,0.572014,0.319325,[13 10] ; [18 10],[13.98039216  9.01960784] ; [17.01960784 10.98039216],0
u2,1,0.580013,0.306213,[5 5] ; [8 5],[5.65217391 4.34782609] ; [7.34782609 5.65217391],0
n4,1,0.636719,0.223059,[17  6] ; [19  9],[16.23529412  6.76470588] ; [19.76470588  8.23529412],0
a2,1,0.638102,0.221233,[ 3 20] ; [ 5 23],[ 3.60784314 19.39215686] ; [ 4.39215686 23.60784314],0
d1,1,0.682979,0.166792,[12 11] ; [13 15],[11.2745098 11.7254902] ; [13.7254902 14.2745098],0
a5,1,0.682979,0.166792,[12 11] ; [13 15],[11.2745098 11.7254902] ; [13.7254902 14.2745098],0
p7,1,0.690648,0.158385,[16  7] ; [18 10],[15.33333333  7.66666667] ; [18.66666667  9.33333333],0
v1,1,0.707175,0.141115,[ 9 13] ; [10 18],[ 8.36 13.64] ; [10.64 17.36],0
p3,1,0.722699,0.125921,[11 12] ; [12 16],[10.37254902 12.62745098] ; [12.62745098 15.37254902],0
b2,1,0.723155,0.12549,[9 7] ; [8 8],[8.5 7.5] ; [8.5 7.5],0
b3,1,0.723155,0.12549,[9 7] ; [8 8],[8.5 7.5] ; [8.5 7.5],0
a6,1,0.762106,0.091637,[13 10] ; [17 11],[13.52941176  9.47058824] ; [16.47058824 11.52941176],0
v3,1,0.79565,0.067071,[ 5 17] ; [ 7 20],[ 5.3877551 16.6122449] ; [ 6.6122449 20.3877551],0
n2,1,0.80725,0.059524,[5 1] ; [11  3],[4.8 1.2] ; [11.2  2.8],0
a3,1,0.833126,0.044392,[13 10] ; [15 13],[12.62745098 10.37254902] ; [15.37254902 12.62745098],0
b1,1,0.833126,0.044392,[13 10] ; [15 13],[12.62745098 10.37254902] ; [15.37254902 12.62745098],0
a4,1,0.833126,0.044392,[10 13] ; [13 15],[10.37254902 12.62745098] ; [12.62745098 15.37254902],0
u3,1,0.854757,0.033508,[5 5] ; [7 6],[5.2173913 4.7826087] ; [6.7826087 6.2173913],0
d2,1,0.877192,0.02388,[11 12] ; [14 14],[11.2745098 11.7254902] ; [13.7254902 14.2745098],0
d5,1,0.895926,0.017111,[16  7] ; [19  9],[15.78431373  7.21568627] ; [19.21568627  8.78431373],0
p9,1,0.920746,0.009899,[11 12] ; [13 15],[10.82352941 12.17647059] ; [13.17647059 14.82352941],0
a7,1,0.944768,0.0048,[15  8] ; [18 10],[14.88235294  8.11764706] ; [18.11764706  9.88235294],0
v2,1,0.981875,0.000516,[11 12] ; [13 14],[11.04 11.96] ; [12.96 14.04],0
