Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1.8e-05,18.385888,[17 73] ; [23 18],[27.48091603 62.51908397] ; [12.51908397 28.48091603],1
s7,1,0.000177,14.062214,[ 9 76] ; [16 25],[16.86507937 68.13492063] ; [ 8.13492063 32.86507937],1
p2,1,0.000201,13.823403,[37 54] ; [31 10],[46.87878788 44.12121212] ; [21.12121212 19.87878788],1
s6,1,0.000343,12.818595,[22 69] ; [23 18],[31.02272727 59.97727273] ; [13.97727273 27.02272727],1
u3,1,0.000597,11.785714,[ 8 27] ; [14  6],[14. 21.] ; [ 8. 12.],1
r4,1,0.001383,10.227681,[47 45] ; [33  8],[55.33834586 36.66165414] ; [24.66165414 16.33834586],0
p6,1,0.001757,9.787346,[10 79] ; [14 27],[16.43076923 72.56923077] ; [ 7.56923077 33.43076923],0
p8,1,0.002902,8.868071,[18 73] ; [18 22],[25.00763359 65.99236641] ; [10.99236641 29.00763359],0
p5,1,0.004285,8.158976,[ 1 89] ; [ 5 35],[ 4.15384615 85.84615385] ; [ 1.84615385 38.15384615],0
p7,1,0.005142,7.828938,[29 60] ; [24 17],[36.28461538 52.71538462] ; [16.71538462 24.28461538],0
r3,1,0.00619,7.494229,[56 35] ; [35  6],[62.73484848 28.26515152] ; [28.26515152 12.73484848],0
n6,1,0.040089,4.214121,[47 44] ; [29 12],[52.39393939 38.60606061] ; [23.60606061 17.39393939],0
r1,1,0.055191,3.676305,[50 40] ; [30 11],[54.96183206 35.03816794] ; [25.03816794 15.96183206],0
s8,1,0.061689,3.491374,[ 9 82] ; [ 9 32],[12.40909091 78.59090909] ; [ 5.59090909 35.40909091],0
p9,1,0.169733,1.885302,[35 51] ; [22 19],[38.5984252 47.4015748] ; [18.4015748 22.5984252],0
s4,1,0.178475,1.810276,[10 82] ; [ 8 33],[12.45112782 79.54887218] ; [ 5.54887218 35.45112782],0
v1,1,0.18351,1.768963,[27 64] ; [17 24],[30.33333333 60.66666667] ; [13.66666667 27.33333333],0
a6,1,0.18611,1.748146,[54 38] ; [19 22],[50.4962406 41.5037594] ; [22.5037594 18.4962406],0
b3,1,0.203715,1.615536,[19 30] ; [ 6 19],[16.55405405 32.44594595] ; [ 8.44594595 16.55405405],0
b2,1,0.203715,1.615536,[19 30] ; [ 6 19],[16.55405405 32.44594595] ; [ 8.44594595 16.55405405],0
a3,1,0.214809,1.538716,[57 32] ; [21 19],[53.81395349 35.18604651] ; [24.18604651 15.81395349],0
s3,1,0.246198,1.344748,[20 70] ; [13 28],[22.67175573 67.32824427] ; [10.32824427 30.67175573],0
d3,1,0.253168,1.305735,[48 43] ; [26 15],[51.01515152 39.98484848] ; [22.98484848 18.01515152],0
p10,1,0.259741,1.270137,[32 57] ; [19 22],[34.91538462 54.08461538] ; [16.08461538 24.91538462],0
