Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3.8e-05,16.986138,[10 28] ; [69 37],[20.84722222 17.15277778] ; [58.15277778 47.84722222],1
d2,1,0.000243,13.465828,[ 8 30] ; [59 47],[17.68055556 20.31944444] ; [49.31944444 56.68055556],1
a3,1,0.000696,11.498884,[19 18] ; [85 21],[26.90909091 10.09090909] ; [77.09090909 28.90909091],1
d5,1,0.001057,10.724926,[21 17] ; [87 19],[28.5  9.5] ; [79.5 26.5],0
a4,1,0.001404,10.200929,[ 9 29] ; [57 49],[17.41666667 20.58333333] ; [48.58333333 57.41666667],0
p8,1,0.003712,8.41947,[12 25] ; [62 41],[19.55714286 17.44285714] ; [54.44285714 48.55714286],0
r1,1,0.00528,7.781038,[25 13] ; [90 14],[30.77464789  7.22535211] ; [84.22535211 19.77464789],0
u1,1,0.014972,5.91976,[ 1 37] ; [20 86],[ 5.54166667 32.45833333] ; [15.45833333 90.54166667],0
p3,1,0.015031,5.912787,[13 25] ; [59 44],[19.40425532 18.59574468] ; [52.59574468 50.40425532],0
d4,1,0.025194,5.010471,[24 14] ; [86 20],[29.02777778  8.97222222] ; [80.97222222 25.02777778],0
p2,1,0.031201,4.641872,[28 10] ; [92 12],[32.11267606  5.88732394] ; [87.88732394 16.11267606],0
v2,1,0.031884,4.604748,[19 18] ; [73 30],[24.31428571 12.68571429] ; [67.68571429 35.31428571],0
d3,1,0.072573,3.223854,[20 18] ; [73 33],[24.54166667 13.45833333] ; [68.45833333 37.54166667],0
n1,1,0.115184,2.481618,[5 3] ; [ 5 12],[3.2 4.8] ; [ 6.8 10.2],0
a6,1,0.146906,2.104083,[22 16] ; [75 31],[25.59722222 12.40277778] ; [71.40277778 34.59722222],0
n6,1,0.154952,2.022814,[26 12] ; [83 21],[29.16901408  8.83098592] ; [79.83098592 24.16901408],0
p11,1,0.163706,1.939653,[28 10] ; [89 17],[30.875  7.125] ; [86.125 19.875],0
r4,1,0.176082,1.830387,[29  9] ; [91 15],[31.66666667  6.33333333] ; [88.33333333 17.66666667],0
n4,1,0.187322,1.738559,[26 12] ; [83 22],[28.96503497  9.03496503] ; [80.03496503 24.96503497],0
p4,1,0.192681,1.696995,[18 20] ; [62 42],[21.4084507 16.5915493] ; [58.5915493 45.4084507],0
a7,1,0.214944,1.537811,[23 15] ; [75 30],[26.04195804 11.95804196] ; [71.95804196 33.04195804],0
r3,1,0.222841,1.485984,[33  5] ; [97  7],[34.78873239  3.21126761] ; [95.21126761  8.78873239],0
v4,1,0.222841,1.485984,[33  5] ; [97  7],[34.78873239  3.21126761] ; [95.21126761  8.78873239],0
n2,1,0.236386,1.402019,[7 1] ; [11  6],[5.76 2.24] ; [12.24  4.76],0
b1,1,0.277201,1.180763,[13 25] ; [47 59],[15.83333333 22.16666667] ; [44.16666667 61.83333333],0
n5,1,0.348703,0.878171,[26 12] ; [80 25],[28.16783217  9.83216783] ; [77.83216783 27.16783217],0
v3,1,0.378234,0.776434,[15 22] ; [49 51],[17.28467153 19.71532847] ; [46.71532847 53.28467153],0
p7,1,0.434687,0.610269,[22 16] ; [67 36],[23.9858156 14.0141844] ; [65.0141844 37.9858156],0
s8,1,0.445303,0.582579,[ 8 30] ; [29 77],[ 9.76388889 28.23611111] ; [27.23611111 78.76388889],0
u3,1,0.491118,0.474075,[12  7] ; [11 10],[10.925  8.075] ; [12.075  8.925],0
b4,1,0.497701,0.459835,[18 20] ; [57 49],[19.79166667 18.20833333] ; [55.20833333 50.79166667],0
s2,1,0.514549,0.424804,[10 28] ; [22 82],[ 8.56338028 29.43661972] ; [23.43661972 80.56338028],0
u2,1,0.53645,0.382158,[10  9] ; [ 9 12],[9.025 9.975] ; [ 9.975 11.025],0
s4,1,0.56862,0.324998,[ 4 34] ; [ 8 98],[ 3.16666667 34.83333333] ; [ 8.83333333 97.16666667],0
p9,1,0.578095,0.309325,[29  9] ; [83 20],[30.18439716  7.81560284] ; [81.81560284 21.18439716],0
r2,1,0.590911,0.288923,[34  4] ; [96  8],[34.78873239  3.21126761] ; [95.21126761  8.78873239],0
p1,1,0.707139,0.141152,[ 4 34] ; [ 9 97],[ 3.43055556 34.56944444] ; [ 9.56944444 96.43055556],0
b5,1,0.749274,0.102142,[23 15] ; [61 45],[22.16666667 15.83333333] ; [61.83333333 44.16666667],0
b3,1,0.773564,0.082781,[11 13] ; [33 34],[11.6043956 12.3956044] ; [32.3956044 34.6043956],0
b2,1,0.773564,0.082781,[11 13] ; [33 34],[11.6043956 12.3956044] ; [32.3956044 34.6043956],0
s3,1,0.810902,0.057247,[11 27] ; [28 76],[10.43661972 27.56338028] ; [28.56338028 75.43661972],0
p5,1,0.831281,0.045394,[ 3 33] ; [10 95],[ 3.31914894 32.68085106] ; [ 9.68085106 95.31914894],0
s5,1,0.864062,0.029311,[ 6 30] ; [19 87],[ 6.33802817 29.66197183] ; [18.66197183 87.33802817],0
a1,1,0.893147,0.018043,[ 2 36] ; [  5 101],[ 1.84722222 36.15277778] ; [  5.15277778 100.84722222],0
s1,1,0.911623,0.012319,[ 2 36] ; [ 5 99],[ 1.87323944 36.12676056] ; [ 5.12676056 98.87323944],0
a8,1,0.913041,0.011925,[ 4 31] ; [10 83],[ 3.828125 31.171875] ; [10.171875 82.828125],0
s7,1,0.95996,0.00252,[ 9 28] ; [24 73],[ 9.1119403 27.8880597] ; [23.8880597 73.1119403],0
p10,1,0.961964,0.002274,[29  9] ; [79 24],[29.10638298  8.89361702] ; [78.89361702 24.10638298],0
p6,1,0.990606,0.000139,[12 26] ; [32 69],[12.02877698 25.97122302] ; [31.97122302 69.02877698],0
