Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,6e-06,20.532342,[ 3 10] ; [29  3],[9.24444444 3.75555556] ; [22.75555556  9.24444444],1
s6,1,0.002529,9.119568,[9 5] ; [31  1],[12.17391304  1.82608696] ; [27.82608696  4.17391304],0
v1,1,0.00576,7.623884,[ 3 11] ; [21 11],[7.30434783 6.69565217] ; [16.69565217 15.30434783],0
s4,1,0.007455,7.159964,[ 1 13] ; [15 16],[4.97777778 9.02222222] ; [11.02222222 19.97777778],0
r4,1,0.010731,6.509321,[10  4] ; [31  1],[12.47826087  1.52173913] ; [28.52173913  3.47826087],0
v4,1,0.010731,6.509321,[10  4] ; [31  1],[12.47826087  1.52173913] ; [28.52173913  3.47826087],0
s2,1,0.011086,6.451463,[5 9] ; [24  8],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
p7,1,0.013829,6.059837,[ 2 12] ; [17 15],[5.7826087 8.2173913] ; [13.2173913 18.7826087],0
s8,1,0.014362,5.993088,[ 4 10] ; [21 10],[7.77777778 6.22222222] ; [17.22222222 13.77777778],0
b1,1,0.054529,3.696429,[10  4] ; [13 19],[7. 7.] ; [16. 16.],0
v2,1,0.060254,3.530378,[6 8] ; [21  8],[8.79069767 5.20930233] ; [18.20930233 10.79069767],0
p11,1,0.060639,3.519813,[6 8] ; [23  9],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
p8,1,0.079523,3.074616,[ 2 12] ; [13 19],[4.56521739 9.43478261] ; [10.43478261 21.56521739],0
d3,1,0.114682,2.488479,[6 8] ; [21 10],[8.4 5.6] ; [18.6 12.4],0
s1,1,0.128047,2.316028,[ 3 11] ; [ 2 30],[ 1.52173913 12.47826087] ; [ 3.47826087 28.52173913],0
a7,1,0.149006,2.082393,[6 8] ; [21 11],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
n5,1,0.151764,2.054427,[7 7] ; [23  9],[9.13043478 4.86956522] ; [20.86956522 11.13043478],0
s7,1,0.165282,1.925227,[5 8] ; [19 12],[7.09090909 5.90909091] ; [16.90909091 14.09090909],0
s3,1,0.173249,1.854605,[6 8] ; [20 11],[8.08888889 5.91111111] ; [17.91111111 13.08888889],0
u3,1,0.204894,1.607143,[2 4] ; [6 3],[3.2 2.8] ; [4.8 4.2],0
d2,1,0.212787,1.552361,[10  4] ; [16 15],[8.08888889 5.91111111] ; [17.91111111 13.08888889],0
n4,1,0.225413,1.469574,[7 7] ; [22 10],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
v3,1,0.306944,1.043778,[ 4 10] ; [13 16],[5.53488372 8.46511628] ; [11.46511628 17.53488372],0
b4,1,0.317731,0.998264,[7 7] ; [21 11],[8.52173913 5.47826087] ; [19.47826087 12.52173913],0
a3,1,0.326717,0.961866,[8 6] ; [23  9],[9.43478261 4.56521739] ; [21.56521739 10.43478261],0
r3,1,0.373468,0.792092,[12  2] ; [30  2],[12.7826087  1.2173913] ; [29.2173913  2.7826087],0
b5,1,0.402756,0.700081,[6 8] ; [18 14],[7.30434783 6.69565217] ; [16.69565217 15.30434783],0
