Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000398,12.543216,[ 7 37] ; [10  6],[12.46666667 31.53333333] ; [ 4.53333333 11.46666667],1
d3,1,0.000524,12.027325,[14 31] ; [13  3],[19.91803279 25.08196721] ; [7.08196721 8.91803279],1
p7,1,0.000949,10.924076,[10 34] ; [11  5],[15.4 28.6] ; [ 5.6 10.4],1
d4,1,0.001799,9.744523,[19 26] ; [14  2],[24.3442623 20.6557377] ; [8.6557377 7.3442623],0
p9,1,0.005178,7.816105,[12 30] ; [11  5],[16.65517241 25.34482759] ; [6.34482759 9.65517241],0
p2,1,0.017189,5.676971,[13 32] ; [10  6],[16.96721311 28.03278689] ; [6.03278689 9.96721311],0
d1,1,0.019928,5.418193,[11 34] ; [9 7],[14.75409836 30.24590164] ; [ 5.24590164 10.75409836],0
p10,1,0.020247,5.39045,[13 31] ; [10  6],[16.86666667 27.13333333] ; [6.13333333 9.86666667],0
p8,1,0.024709,5.044149,[ 9 35] ; [8 8],[12.46666667 31.53333333] ; [ 4.53333333 11.46666667],0
n5,1,0.057973,3.594431,[34 11] ; [8 8],[30.98360656 14.01639344] ; [11.01639344  4.98360656],0
p5,1,0.078332,3.099174,[ 2 42] ; [ 3 13],[ 3.66666667 40.33333333] ; [ 1.33333333 14.66666667],0
b3,1,0.113415,2.505978,[14 17] ; [2 9],[11.80952381 19.19047619] ; [4.19047619 6.80952381],0
b2,1,0.113415,2.505978,[14 17] ; [2 9],[11.80952381 19.19047619] ; [4.19047619 6.80952381],0
a5,1,0.128706,2.308041,[21 24] ; [11  5],[23.60655738 21.39344262] ; [8.39344262 7.60655738],0
d5,1,0.170905,1.874983,[22 23] ; [11  5],[24.3442623 20.6557377] ; [8.6557377 7.3442623],0
n2,1,0.19043,1.714286,[13 12] ; [1 4],[11.66666667 13.33333333] ; [2.33333333 2.66666667],0
p11,1,0.205024,1.606219,[12 33] ; [7 9],[14.01639344 30.98360656] ; [ 4.98360656 11.01639344],0
v1,1,0.205024,1.606219,[12 33] ; [7 9],[14.01639344 30.98360656] ; [ 4.98360656 11.01639344],0
n6,1,0.231998,1.428571,[19 26] ; [9 6],[21. 24.] ; [7. 8.],0
s2,1,0.278959,1.172157,[ 6 39] ; [ 4 12],[ 7.37704918 37.62295082] ; [ 2.62295082 13.37704918],0
b5,1,0.33348,0.935337,[19 26] ; [9 7],[20.6557377 24.3442623] ; [7.3442623 8.6557377],0
a7,1,0.393212,0.728988,[17 28] ; [8 8],[18.44262295 26.55737705] ; [6.55737705 9.44262295],0
p12,1,0.437122,0.603825,[ 1 44] ; [ 1 15],[ 1.47540984 43.52459016] ; [ 0.52459016 15.47540984],0
u1,1,0.437122,0.603825,[ 1 44] ; [ 1 15],[ 1.47540984 43.52459016] ; [ 0.52459016 15.47540984],0
a8,1,0.450279,0.569949,[ 1 40] ; [ 1 14],[ 1.46428571 39.53571429] ; [ 0.53571429 14.46428571],0
p6,1,0.456697,0.553977,[ 5 39] ; [ 3 13],[ 5.86666667 38.13333333] ; [ 2.13333333 13.86666667],0
a3,1,0.457533,0.551924,[25 18] ; [11  5],[26.23728814 16.76271186] ; [9.76271186 6.23728814],0
u2,1,0.520146,0.413603,[ 7 13] ; [1 4],[ 6.4 13.6] ; [1.6 3.4],0
v3,1,0.532506,0.389607,[ 8 37] ; [ 4 12],[ 8.85245902 36.14754098] ; [ 3.14754098 12.85245902],0
s4,1,0.532506,0.389607,[ 8 37] ; [ 4 12],[ 8.85245902 36.14754098] ; [ 3.14754098 12.85245902],0
s3,1,0.534393,0.386032,[ 8 34] ; [ 4 11],[ 8.84210526 33.15789474] ; [ 3.15789474 11.84210526],0
a2,1,0.574932,0.314499,[ 5 40] ; [ 1 15],[ 4.42622951 40.57377049] ; [ 1.57377049 14.42622951],0
p1,1,0.599767,0.275347,[ 6 39] ; [ 3 13],[ 6.63934426 38.36065574] ; [ 2.36065574 13.63934426],0
d2,1,0.602793,0.270804,[16 28] ; [7 9],[16.86666667 27.13333333] ; [6.13333333 9.86666667],0
u3,1,0.656005,0.198413,[ 6 14] ; [1 4],[ 5.6 14.4] ; [1.4 3.6],0
a6,1,0.701704,0.146705,[20 25] ; [8 8],[20.6557377 24.3442623] ; [7.3442623 8.6557377],0
n3,1,0.743421,0.107143,[12 13] ; [2 3],[11.66666667 13.33333333] ; [2.33333333 2.66666667],0
r1,1,0.763196,0.090774,[15 30] ; [ 6 10],[15.49180328 29.50819672] ; [ 5.50819672 10.49180328],0
s5,1,0.766892,0.087879,[ 7 38] ; [ 3 13],[ 7.37704918 37.62295082] ; [ 2.62295082 13.37704918],0
v4,1,0.818623,0.052586,[24 21] ; [8 8],[23.60655738 21.39344262] ; [8.39344262 7.60655738],0
n4,1,0.860436,0.030912,[27 18] ; [10  6],[27.29508197 17.70491803] ; [9.70491803 6.29508197],0
n1,1,0.869125,0.027149,[11 14] ; [2 3],[10.83333333 14.16666667] ; [2.16666667 2.83333333],0
s1,1,0.880993,0.022413,[ 5 40] ; [ 2 14],[ 5.16393443 39.83606557] ; [ 1.83606557 14.16393443],0
r4,1,0.880993,0.022413,[ 5 40] ; [ 2 14],[ 5.16393443 39.83606557] ; [ 1.83606557 14.16393443],0
v2,1,0.883946,0.021307,[ 9 35] ; [ 3 13],[ 8.8 35.2] ; [ 3.2 12.8],0
b4,1,0.915473,0.011265,[26 19] ; [9 7],[25.81967213 19.18032787] ; [9.18032787 6.81967213],0
s6,1,0.964647,0.001965,[11 34] ; [ 4 12],[11.06557377 33.93442623] ; [ 3.93442623 12.06557377],0
r2,1,0.983622,0.000421,[27 16] ; [10  6],[26.96610169 16.03389831] ; [10.03389831  5.96610169],0
a4,1,0.983622,0.000421,[16 27] ; [ 6 10],[16.03389831 26.96610169] ; [ 5.96610169 10.03389831],0
b1,1,0.98429,0.000388,[28 17] ; [10  6],[28.03278689 16.96721311] ; [9.96721311 6.03278689],0
s7,1,1.0,0.0,[ 6 36] ; [ 2 12],[ 6. 36.] ; [ 2. 12.],0
