Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,38.334565,[87 61] ; [ 31 106],[61.27719298 86.72280702] ; [56.72280702 80.27719298],1
p6,1,0.0,35.561019,[56 91] ; [ 11 126],[ 34.67957746 112.32042254] ; [ 32.32042254 104.67957746],1
p3,1,0.0,31.269687,[79 70] ; [ 29 109],[56.06968641 92.93031359] ; [51.93031359 86.06968641],1
p4,1,0.0,28.843964,[86 63] ; [ 36 101],[63.55944056 85.44055944] ; [58.44055944 78.55944056],1
p2,1,0.0,25.601287,[128  21] ; [82 56],[109.02439024  39.97560976] ; [100.97560976  37.02439024],1
s3,1,0.003553,8.499226,[70 77] ; [41 93],[58.06761566 88.93238434] ; [52.93238434 81.06761566],0
b3,1,0.004782,7.96,[17 71] ; [25 37],[24.64 63.36] ; [17.36 44.64],0
b2,1,0.004782,7.96,[17 71] ; [25 37],[24.64 63.36] ; [17.36 44.64],0
s6,1,0.008673,6.88895,[77 68] ; [51 85],[66.04982206 78.95017794] ; [61.95017794 74.04982206],0
v4,1,0.011639,6.365047,[135  12] ; [112  25],[127.84859155  19.15140845] ; [119.15140845  17.84859155],0
s2,1,0.018559,5.542599,[52 97] ; [ 30 105],[ 43.02112676 105.97887324] ; [38.97887324 96.02112676],0
r3,1,0.03356,4.516994,[133  15] ; [111  26],[126.70877193  21.29122807] ; [117.29122807  19.70877193],0
v2,1,0.038465,4.284358,[66 79] ; [44 88],[57.58122744 87.41877256] ; [52.41877256 79.58122744],0
p11,1,0.049388,3.862109,[109  40] ; [86 52],[101.2369338  47.7630662] ; [93.7630662 44.2369338],0
s7,1,0.054769,3.68909,[ 37 104] ; [ 22 110],[ 30.47252747 110.52747253] ; [ 28.52747253 103.47252747],0
b1,1,0.085785,2.951747,[70 79] ; [51 87],[62.81881533 86.18118467] ; [58.18118467 79.81881533],0
p5,1,0.090307,2.868895,[ 14 134] ; [  6 132],[ 10.34965035 137.65034965] ; [  9.65034965 128.34965035],0
d5,1,0.102406,2.667671,[84 64] ; [65 73],[77.1048951 70.8951049] ; [71.8951049 66.1048951],0
r4,1,0.108573,2.574877,[118  31] ; [98 40],[112.13937282  36.86062718] ; [103.86062718  34.13937282],0
r1,1,0.109502,2.561391,[100  49] ; [80 58],[93.44947735 55.55052265] ; [86.55052265 51.44947735],0
b4,1,0.111359,2.534828,[79 70] ; [86 52],[85.66202091 63.33797909] ; [79.33797909 58.66202091],0
s1,1,0.111612,2.531245,[  4 144] ; [  9 126],[  6.79858657 141.20141343] ; [  6.20141343 128.79858657],0
s5,1,0.114486,2.491177,[ 36 112] ; [ 22 110],[ 30.65714286 117.34285714] ; [ 27.34285714 104.65714286],0
