Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.001941,9.604738,[ 4 73] ; [ 70 281],[13.31308411 63.68691589] ; [ 60.68691589 290.31308411],0
s5,1,0.003995,8.286053,[46 35] ; [148 228],[34.38512035 46.61487965] ; [159.61487965 216.38512035],0
b3,1,0.007696,7.102878,[ 9 38] ; [103 158],[17.09090909 29.90909091] ; [ 94.90909091 166.09090909],0
b2,1,0.007696,7.102878,[ 9 38] ; [103 158],[17.09090909 29.90909091] ; [ 94.90909091 166.09090909],0
s2,1,0.015567,5.851149,[64 19] ; [244 142],[54.50746269 28.49253731] ; [253.49253731 132.50746269],0
v1,1,0.021933,5.251103,[41 44] ; [231 143],[50.37037037 34.62962963] ; [221.62962963 152.37037037],0
v3,1,0.041767,4.144617,[28 55] ; [172 202],[36.3238512 46.6761488] ; [163.6761488 210.3238512],0
n1,1,0.05797,3.594533,[ 5 14] ; [36 35],[ 8.65555556 10.34444444] ; [32.34444444 38.65555556],0
v2,1,0.058666,3.574715,[41 42] ; [227 147],[48.67396061 34.32603939] ; [219.32603939 154.67396061],0
s3,1,0.101044,2.688988,[65 18] ; [264 117],[58.8512931 24.1487069] ; [270.1487069 110.8512931],0
r2,1,0.120372,2.412468,[78  7] ; [365  16],[80.80472103  4.19527897] ; [362.19527897  18.80472103],0
r3,1,0.146381,2.109567,[78  6] ; [373  14],[80.43312102  3.56687898] ; [370.56687898  16.43312102],0
p2,1,0.183185,1.771594,[69 16] ; [334  51],[72.88297872 12.11702128] ; [330.11702128  54.88297872],0
n3,1,0.189002,1.725381,[16  3] ; [49 22],[13.72222222  5.27777778] ; [51.27777778 19.72222222],0
r4,1,0.214975,1.537604,[76  9] ; [362  26],[78.71035941  6.28964059] ; [359.28964059  28.71035941],0
p5,1,0.216283,1.528863,[10 75] ; [ 66 317],[13.8034188 71.1965812] ; [ 62.1965812 320.8034188],0
a7,1,0.219208,1.509548,[56 29] ; [280 106],[60.63694268 24.36305732] ; [275.36305732 110.63694268],0
d4,1,0.238001,1.392394,[68 17] ; [327  57],[71.58848614 13.41151386] ; [323.41151386  60.58848614],0
d1,1,0.28365,1.14952,[57 28] ; [236 152],[52.65327696 32.34672304] ; [240.34672304 147.65327696],0
u4,1,0.284098,1.147382,[ 1 84] ; [ 13 375],[ 2.51585624 82.48414376] ; [ 11.48414376 376.51585624],0
d2,1,0.298741,1.079805,[49 36] ; [198 187],[44.67021277 40.32978723] ; [202.32978723 182.67021277],0
a1,1,0.302529,1.063015,[ 3 82] ; [ 25 363],[ 5.03171247 79.96828753] ; [ 22.96828753 365.03171247],0
s1,1,0.305015,1.052139,[ 6 78] ; [ 17 364],[ 4.15483871 79.84516129] ; [ 18.84516129 362.15483871],0
p3,1,0.316235,1.004453,[51 34] ; [208 177],[46.84042553 38.15957447] ; [212.15957447 172.84042553],0
s7,1,0.336475,0.923815,[58 25] ; [238 132],[54.23399558 28.76600442] ; [241.76600442 128.23399558],0
u1,1,0.366908,0.814111,[22 63] ; [ 83 305],[18.86892178 66.13107822] ; [ 86.13107822 301.86892178],0
a4,1,0.389614,0.740147,[44 41] ; [179 205],[40.41577825 44.58422175] ; [182.58422175 201.41577825],0
d5,1,0.425316,0.635581,[69 16] ; [326  59],[71.43617021 13.56382979] ; [323.56382979  61.43617021],0
a5,1,0.434623,0.610438,[63 22] ; [302  85],[65.7309322 19.2690678] ; [299.2690678  87.7309322],0
p12,1,0.463427,0.537605,[ 8 77] ; [ 47 337],[ 9.96801706 75.03198294] ; [ 45.03198294 338.96801706],0
d3,1,0.513246,0.427444,[62 23] ; [267 118],[59.5 25.5] ; [269.5 115.5],0
a3,1,0.517743,0.418388,[66 19] ; [286  99],[63.65957447 21.34042553] ; [288.34042553  96.65957447],0
p6,1,0.541665,0.372463,[39 45] ; [163 218],[36.49032258 47.50967742] ; [165.50967742 215.49032258],0
s8,1,0.552039,0.353677,[52 33] ; [222 163],[49.55319149 35.44680851] ; [224.44680851 160.55319149],0
v4,1,0.557222,0.344537,[83  2] ; [372  14],[82.11252654  2.88747346] ; [372.88747346  13.11252654],0
n5,1,0.58633,0.296112,[74 11] ; [344  42],[75.43524416  9.56475584] ; [342.56475584  43.43524416],0
u2,1,0.613309,0.255385,[11  8] ; [64 36],[11.97478992  7.02521008] ; [63.02521008 36.97478992],0
p8,1,0.657049,0.197129,[47 36] ; [205 175],[45.174946 37.825054] ; [206.825054 173.174946],0
n6,1,0.72015,0.128349,[76  9] ; [350  36],[76.87898089  8.12101911] ; [349.12101911  36.87898089],0
p7,1,0.720774,0.127753,[58 26] ; [250 123],[56.61269147 27.38730853] ; [251.38730853 121.61269147],0
p4,1,0.725855,0.122952,[59 26] ; [259 125],[57.63326226 27.36673774] ; [260.36673774 123.63326226],0
p1,1,0.746835,0.10421,[ 7 78] ; [ 36 349],[ 7.77659574 77.22340426] ; [ 35.22340426 349.77659574],0
a2,1,0.750322,0.101261,[24 61] ; [103 285],[22.82241015 62.17758985] ; [104.17758985 283.82241015],0
p11,1,0.757812,0.095083,[68 17] ; [316  72],[69.00634249 15.99365751] ; [314.99365751  73.00634249],0
r1,1,0.777288,0.080007,[71 14] ; [328  59],[71.85381356 13.14618644] ; [327.14618644  59.85381356],0
b1,1,0.800047,0.064154,[35 50] ; [154 234],[33.9640592 51.0359408] ; [155.0359408 232.9640592],0
n2,1,0.813864,0.055434,[15  4] ; [55 17],[14.61538462  4.38461538] ; [55.38461538 16.61538462],0
p9,1,0.83828,0.041655,[75 10] ; [340  42],[75.53533191  9.46466809] ; [339.46466809  42.53533191],0
b5,1,0.896796,0.016825,[53 32] ; [239 149],[52.47357294 32.52642706] ; [239.52642706 148.47357294],0
b4,1,0.937072,0.006233,[51 34] ; [231 157],[50.67653277 34.32346723] ; [231.32346723 156.67653277],0
u3,1,0.948519,0.004169,[12  7] ; [63 38],[11.875  7.125] ; [63.125 37.875],0
a6,1,0.963934,0.002045,[56 29] ; [252 132],[55.82089552 29.17910448] ; [252.17910448 131.82089552],0
p10,1,0.989397,0.000177,[73 12] ; [327  54],[72.96137339 12.03862661] ; [327.03862661  53.96137339],0
