Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000117,14.845071,[ 4 11] ; [21  3],[9.61538462 5.38461538] ; [15.38461538  8.61538462],1
d3,1,0.016851,5.711801,[6 9] ; [18  5],[9.47368421 5.52631579] ; [14.52631579  8.47368421],0
a3,1,0.042205,4.126984,[ 5 10] ; [16  8],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
b5,1,0.042817,4.102597,[8 7] ; [20  4],[10.76923077  4.23076923] ; [17.23076923  6.76923077],0
r2,1,0.047788,3.917411,[10  5] ; [22  2],[12.30769231  2.69230769] ; [19.69230769  4.30769231],0
s5,1,0.053309,3.734217,[7 7] ; [ 4 17],[4.4 9.6] ; [ 6.6 14.4],0
p4,1,0.101803,2.677071,[12  3] ; [13 11],[9.61538462 5.38461538] ; [15.38461538  8.61538462],0
d4,1,0.104475,2.635862,[9 6] ; [20  4],[11.15384615  3.84615385] ; [17.84615385  6.15384615],0
n3,1,0.105645,2.618182,[4 4] ; [7 1],[5.5 2.5] ; [5.5 2.5],0
p1,1,0.112832,2.514107,[ 3 12] ; [ 1 23],[ 1.53846154 13.46153846] ; [ 2.46153846 21.53846154],0
b1,1,0.162587,1.95,[12  3] ; [14 10],[10.  5.] ; [16.  8.],0
n1,1,0.18883,1.726722,[5 3] ; [2 5],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
p9,1,0.195644,1.674594,[9 6] ; [19  5],[10.76923077  4.23076923] ; [17.23076923  6.76923077],0
a5,1,0.204196,1.612103,[ 5 10] ; [13 11],[6.92307692 8.07692308] ; [11.07692308 12.92307692],0
b4,1,0.204196,1.612103,[10  5] ; [11 13],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
s6,1,0.231323,1.432708,[11  4] ; [13 11],[9.23076923 5.76923077] ; [14.76923077  9.23076923],0
d5,1,0.253555,1.303611,[13  2] ; [17  7],[11.53846154  3.46153846] ; [18.46153846  5.53846154],0
p2,1,0.262044,1.257924,[11  4] ; [21  3],[12.30769231  2.69230769] ; [19.69230769  4.30769231],0
s2,1,0.265116,1.241842,[6 9] ; [14 10],[7.69230769 7.30769231] ; [12.30769231 11.69230769],0
r1,1,0.267699,1.2285,[8 7] ; [17  7],[9.61538462 5.38461538] ; [15.38461538  8.61538462],0
p10,1,0.267699,1.2285,[8 7] ; [17  7],[9.61538462 5.38461538] ; [15.38461538  8.61538462],0
r3,1,0.295949,1.092361,[13  2] ; [23  1],[13.84615385  1.15384615] ; [22.15384615  1.84615385],0
a8,1,0.38347,0.759549,[ 2 13] ; [ 1 19],[ 1.28571429 13.71428571] ; [ 1.71428571 18.28571429],0
r4,1,0.384437,0.756466,[10  5] ; [19  5],[11.15384615  3.84615385] ; [17.84615385  6.15384615],0
d1,1,0.389177,0.741513,[6 9] ; [13 11],[7.30769231 7.69230769] ; [11.69230769 12.30769231],0
a4,1,0.440059,0.596128,[ 5 10] ; [11 13],[6.15384615 8.84615385] ; [ 9.84615385 14.15384615],0
p8,1,0.440059,0.596128,[10  5] ; [13 11],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
n2,1,0.521839,0.410256,[7 1] ; [6 2],[6.5 1.5] ; [6.5 1.5],0
p3,1,0.542227,0.371429,[9 6] ; [12 12],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
s4,1,0.571257,0.320584,[7 8] ; [ 9 15],[6.15384615 8.84615385] ; [ 9.84615385 14.15384615],0
u3,1,0.595883,0.28125,[5 5] ; [5 3],[5.55555556 4.44444444] ; [4.44444444 3.55555556],0
n4,1,0.648474,0.207829,[8 7] ; [11 13],[7.30769231 7.69230769] ; [11.69230769 12.30769231],0
p7,1,0.666177,0.186107,[12  3] ; [17  6],[11.44736842  3.55263158] ; [17.55263158  5.44736842],0
s8,1,0.720786,0.127741,[6 9] ; [11 13],[6.53846154 8.46153846] ; [10.46153846 13.53846154],0
p5,1,0.730579,0.118581,[ 1 14] ; [ 1 23],[ 0.76923077 14.23076923] ; [ 1.23076923 22.76923077],0
n5,1,0.739979,0.110145,[7 8] ; [12 11],[7.5 7.5] ; [11.5 11.5],0
v2,1,0.739979,0.110145,[7 8] ; [12 11],[7.5 7.5] ; [11.5 11.5],0
d2,1,0.759338,0.09385,[7 8] ; [10 14],[6.53846154 8.46153846] ; [10.46153846 13.53846154],0
p11,1,0.791857,0.069643,[10  5] ; [15  9],[9.61538462 5.38461538] ; [15.38461538  8.61538462],0
s7,1,0.792538,0.069177,[6 7] ; [10 14],[5.62162162 7.37837838] ; [10.37837838 13.62162162],0
u2,1,0.799846,0.064286,[8 2] ; [6 2],[7.77777778 2.22222222] ; [6.22222222 1.77777778],0
b2,1,0.800838,0.063636,[4 6] ; [5 6],[4.28571429 5.71428571] ; [4.71428571 6.28571429],0
b3,1,0.800838,0.063636,[4 6] ; [5 6],[4.28571429 5.71428571] ; [4.71428571 6.28571429],0
v3,1,0.802746,0.062397,[ 3 11] ; [ 6 18],[ 3.31578947 10.68421053] ; [ 5.68421053 18.31578947],0
v1,1,0.839436,0.041053,[7 8] ; [12 12],[7.30769231 7.69230769] ; [11.69230769 12.30769231],0
s3,1,0.846791,0.037332,[8 7] ; [13 10],[8.28947368 6.71052632] ; [12.71052632 10.28947368],0
v4,1,0.939633,0.005735,[13  2] ; [21  3],[13.07692308  1.92307692] ; [20.92307692  3.07692308],0
