Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.000301,13.062609,[ 4 91] ; [4 8],[ 7.10280374 87.89719626] ; [ 0.89719626 11.10280374],1
p12,1,0.000963,10.897084,[ 5 90] ; [4 8],[ 7.99065421 87.00934579] ; [ 1.00934579 10.99065421],1
d2,1,0.003791,8.381147,[45 50] ; [11  1],[49.71962617 45.28037383] ; [6.28037383 5.71962617],0
s8,1,0.004666,8.004384,[46 49] ; [11  1],[50.60747664 44.39252336] ; [6.39252336 5.60747664],0
a1,1,0.012227,6.277661,[ 2 93] ; [ 2 10],[ 3.55140187 91.44859813] ; [ 0.44859813 11.55140187],0
v1,1,0.018836,5.516716,[45 50] ; [10  2],[48.8317757 46.1682243] ; [6.1682243 5.8317757],0
p6,1,0.018992,5.502243,[37 57] ; [9 3],[40.79245283 53.20754717] ; [5.20754717 6.79245283],0
d1,1,0.019922,5.418727,[54 41] ; [11  1],[57.71028037 37.28971963] ; [7.28971963 4.71028037],0
s5,1,0.036227,4.386403,[43 45] ; [7 1],[45.83333333 42.16666667] ; [4.16666667 3.83333333],0
p8,1,0.037552,4.325196,[48 45] ; [10  2],[51.37142857 41.62857143] ; [6.62857143 5.37142857],0
p7,1,0.040302,4.205129,[58 36] ; [11  1],[61.18867925 32.81132075] ; [7.81132075 4.18867925],0
p3,1,0.058646,3.575279,[52 43] ; [10  2],[55.04672897 39.95327103] ; [6.95327103 5.04672897],0
b2,1,0.173559,1.851933,[ 9 44] ; [3 5],[10.42622951 42.57377049] ; [1.57377049 6.42622951],0
b3,1,0.173559,1.851933,[ 9 44] ; [3 5],[10.42622951 42.57377049] ; [1.57377049 6.42622951],0
d4,1,0.191576,1.705453,[71 24] ; [11  1],[72.80373832 22.19626168] ; [9.19626168 2.80373832],0
s1,1,0.20409,1.61286,[ 6 88] ; [ 2 10],[ 7.09433962 86.90566038] ; [ 0.90566038 11.09433962],0
r1,1,0.266013,1.237191,[74 21] ; [11  1],[75.46728972 19.53271028] ; [9.53271028 2.46728972],0
s2,1,0.322103,0.980389,[64 28] ; [10  2],[65.46153846 26.53846154] ; [8.53846154 3.46153846],0
a3,1,0.352035,0.866109,[67 28] ; [10  2],[68.36448598 26.63551402] ; [8.63551402 3.36448598],0
v3,1,0.370873,0.800738,[27 66] ; [5 7],[28.34285714 64.65714286] ; [3.65714286 8.34285714],0
s7,1,0.377489,0.778864,[57 35] ; [9 3],[58.38461538 33.61538462] ; [7.61538462 4.38461538],0
a6,1,0.381835,0.764786,[59 36] ; [9 3],[60.37383178 34.62616822] ; [7.62616822 4.37383178],0
s3,1,0.405208,0.692815,[67 26] ; [10  2],[68.2 24.8] ; [8.8 3.2],0
a5,1,0.548982,0.359145,[71 24] ; [8 4],[70.14018692 24.85981308] ; [8.85981308 3.14018692],0
a2,1,0.560623,0.338627,[23 72] ; [ 2 10],[22.19626168 72.80373832] ; [2.80373832 9.19626168],0
n6,1,0.604513,0.268243,[82 13] ; [11  1],[82.57009346 12.42990654] ; [10.42990654  1.57009346],0
a4,1,0.610153,0.259952,[47 48] ; [5 7],[46.1682243 48.8317757] ; [5.8317757 6.1682243],0
b4,1,0.703976,0.144369,[53 42] ; [6 6],[52.38317757 42.61682243] ; [6.61682243 5.38317757],0
d5,1,0.723164,0.125481,[75 20] ; [10  2],[75.46728972 19.53271028] ; [9.53271028 2.46728972],0
a8,1,0.781594,0.076863,[ 6 82] ; [ 1 10],[ 6.22222222 81.77777778] ; [ 0.77777778 10.22222222],0
d3,1,0.803672,0.061801,[68 27] ; [9 3],[68.36448598 26.63551402] ; [8.63551402 3.36448598],0
u1,1,0.820796,0.051312,[21 74] ; [3 9],[21.30841121 73.69158879] ; [2.69158879 9.30841121],0
u3,1,0.843876,0.038785,[16 12] ; [1 1],[15.86666667 12.13333333] ; [1.13333333 0.86666667],0
v2,1,0.860706,0.030792,[44 49] ; [6 6],[44.28571429 48.71428571] ; [5.71428571 6.28571429],0
a7,1,0.866957,0.028065,[61 34] ; [8 4],[61.26168224 33.73831776] ; [7.73831776 4.26168224],0
p11,1,0.887004,0.020191,[73 22] ; [9 3],[72.80373832 22.19626168] ; [9.19626168 2.80373832],0
b1,1,0.911648,0.012312,[38 57] ; [5 7],[38.17757009 56.82242991] ; [4.82242991 7.17757009],0
u2,1,0.922085,0.009566,[13 15] ; [1 1],[13.06666667 14.93333333] ; [0.93333333 1.06666667],0
b5,1,0.976864,0.000841,[55 40] ; [7 5],[55.04672897 39.95327103] ; [6.95327103 5.04672897],0
