Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5.3e-05,16.322688,[246   5] ; [67 10],[239.52134146  11.47865854] ; [73.47865854  3.52134146],1
b1,1,0.001483,10.099638,[ 81 172] ; [40 37],[ 92.76666667 160.23333333] ; [28.23333333 48.76666667],0
r4,1,0.006321,7.456326,[225  28] ; [59 18],[217.73333333  35.26666667] ; [66.26666667 10.73333333],0
n4,1,0.01208,6.299046,[197  56] ; [49 28],[188.6  64.4] ; [57.4 19.6],0
s1,1,0.01299,6.170473,[  5 244] ; [ 6 70],[  8.42769231 240.57230769] ; [ 2.57230769 73.42769231],0
u2,1,0.020039,5.408477,[44 22] ; [ 8 13],[39.44827586 26.55172414] ; [12.55172414  8.44827586],0
s5,1,0.03345,4.522619,[ 68 178] ; [29 42],[ 75.27444795 170.72555205] ; [21.72555205 49.27444795],0
n6,1,0.041995,4.135393,[217  35] ; [58 18],[211.2804878  40.7195122] ; [63.7195122 12.2804878],0
p12,1,0.045495,4.0002,[ 19 234] ; [ 1 76],[ 15.33333333 237.66666667] ; [ 4.66666667 72.33333333],0
p2,1,0.047474,3.928512,[200  52] ; [52 24],[193.6097561  58.3902439] ; [58.3902439 17.6097561],0
n5,1,0.055696,3.661123,[189  61] ; [49 27],[182.51533742  67.48466258] ; [55.48466258 20.51533742],0
p6,1,0.064355,3.421437,[ 55 194] ; [25 52],[ 61.10429448 187.89570552] ; [18.89570552 58.10429448],0
d2,1,0.096161,2.768087,[113 138] ; [43 34],[119.37804878 131.62195122] ; [36.62195122 40.37804878],0
b4,1,0.131195,2.278309,[159  94] ; [41 36],[153.33333333  99.66666667] ; [46.66666667 30.33333333],0
v4,1,0.142378,2.15207,[236  14] ; [69  8],[233.18042813  16.81957187] ; [71.81957187  5.18042813],0
s4,1,0.158289,1.990496,[ 38 212] ; [17 60],[ 42.04892966 207.95107034] ; [12.95107034 64.04892966],0
s2,1,0.163984,1.937095,[130 120] ; [47 30],[135.32110092 114.67889908] ; [41.67889908 35.32110092],0
n1,1,0.166281,1.916154,[26 37] ; [ 7 20],[23.1 39.9] ; [ 9.9 17.1],0
p3,1,0.17922,1.804078,[ 98 155] ; [23 53],[ 93.04863222 159.95136778] ; [27.95136778 48.04863222],0
a1,1,0.188236,1.731368,[  8 245] ; [ 5 72],[  9.96666667 243.03333333] ; [ 3.03333333 73.96666667],0
v3,1,0.268491,1.224442,[ 89 150] ; [23 53],[ 84.97777778 154.02222222] ; [27.02222222 48.97777778],0
p4,1,0.320095,0.988559,[121 131] ; [32 45],[117.19148936 134.80851064] ; [35.80851064 41.19148936],0
a6,1,0.339733,0.911438,[185  68] ; [52 25],[181.7  71.3] ; [55.3 21.7],0
a2,1,0.345944,0.888281,[ 62 191] ; [23 54],[ 65.16666667 187.83333333] ; [19.83333333 57.16666667],0
p1,1,0.38138,0.766249,[ 13 240] ; [ 6 71],[ 14.56666667 238.43333333] ; [ 4.43333333 72.56666667],0
a5,1,0.415384,0.663337,[183  70] ; [52 25],[180.16666667  72.83333333] ; [54.83333333 22.16666667],0
p5,1,0.416256,0.660861,[ 16 232] ; [ 3 73],[ 14.54320988 233.45679012] ; [ 4.45679012 71.54320988],0
s3,1,0.424711,0.637244,[148 100] ; [42 35],[144.98461538 103.01538462] ; [45.01538462 31.98461538],0
a8,1,0.437061,0.603986,[ 28 204] ; [ 6 63],[ 26.20598007 205.79401993] ; [ 7.79401993 61.20598007],0
