Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,57.782196,[238  32] ; [27 33],[216.81818182  53.18181818] ; [48.18181818 11.81818182],1
n6,1,0.000918,10.985787,[243  26] ; [44 15],[235.375  33.625] ; [51.625  7.375],1
d2,1,0.001732,9.814317,[149 122] ; [20 41],[137.94879518 133.05120482] ; [31.05120482 29.94879518],0
v3,1,0.002898,8.870793,[165 102] ; [23 34],[154.92592593 112.07407407] ; [33.07407407 23.92592593],0
p3,1,0.006164,7.501822,[183  87] ; [30 31],[173.74622356  96.25377644] ; [39.25377644 21.74622356],0
s7,1,0.006816,7.320804,[157 101] ; [25 35],[147.66037736 110.33962264] ; [34.33962264 25.66037736],0
a8,1,0.008401,6.945871,[ 49 194] ; [ 3 53],[ 42.26086957 200.73913043] ; [ 9.73913043 46.26086957],0
v1,1,0.014751,5.946005,[190  79] ; [32 27],[182.06707317  86.93292683] ; [39.93292683 19.06707317],0
p10,1,0.027065,4.886655,[243  26] ; [49 12],[238.02424242  30.97575758] ; [53.97575758  7.02424242],0
d1,1,0.028363,4.805877,[179  93] ; [31 30],[171.53153153 100.46846847] ; [38.46846847 22.53153153],0
s8,1,0.039987,4.218437,[145 124] ; [24 37],[137.76060606 131.23939394] ; [31.23939394 29.76060606],0
s4,1,0.045877,3.986109,[ 35 236] ; [14 47],[ 39.99698795 231.00301205] ; [ 9.00301205 51.99698795],0
p4,1,0.051422,3.794476,[193  76] ; [36 25],[186.66969697  82.33030303] ; [42.33030303 18.66969697],0
p6,1,0.058074,3.591555,[139 129] ; [23 37],[132.36585366 135.63414634] ; [29.63414634 30.36585366],0
d5,1,0.068833,3.310627,[234  37] ; [47 14],[229.37048193  41.62951807] ; [51.62951807  9.37048193],0
a5,1,0.113051,2.511045,[217  55] ; [43 18],[212.37237237  59.62762763] ; [47.62762763 13.37237237],0
p9,1,0.122811,2.381099,[245  26] ; [51 10],[241.61445783  29.38554217] ; [54.38554217  6.61445783],0
b4,1,0.128959,2.304993,[154 118] ; [41 20],[159.27927928 112.72072072] ; [35.72072072 25.27927928],0
a4,1,0.161015,1.964669,[129 142] ; [23 38],[124.07228916 146.92771084] ; [27.92771084 33.07228916],0
p5,1,0.188579,1.728688,[ 45 227] ; [ 6 55],[ 41.65765766 230.34234234] ; [ 9.34234234 51.65765766],0
a3,1,0.27519,1.190693,[213  58] ; [44 17],[209.78012048  61.21987952] ; [47.21987952 13.78012048],0
a1,1,0.281763,1.158569,[ 19 253] ; [ 2 59],[ 17.15315315 254.84684685] ; [ 3.84684685 57.15315315],0
n1,1,0.283679,1.149381,[14 26] ; [ 3 12],[12.36363636 27.63636364] ; [ 4.63636364 10.36363636],0
r1,1,0.340254,0.909473,[231  40] ; [49 12],[228.55421687  42.44578313] ; [51.44578313  9.55421687],0
p11,1,0.418272,0.655165,[234  38] ; [50 11],[231.97597598  40.02402402] ; [52.02402402  8.97597598],0
d4,1,0.424936,0.636625,[233  38] ; [50 11],[231.00301205  39.99698795] ; [51.99698795  9.00301205],0
u2,1,0.443484,0.587252,[29 27] ; [ 7 10],[27.61643836 28.38356164] ; [8.38356164 8.61643836],0
p8,1,0.451976,0.565692,[184  83] ; [39 22],[181.52743902  85.47256098] ; [41.47256098 19.52743902],0
a2,1,0.460905,0.543696,[ 75 197] ; [14 47],[ 72.6966967 199.3033033] ; [16.3033033 44.6966967],0
p1,1,0.479397,0.500235,[ 26 246] ; [ 4 56],[ 24.57831325 247.42168675] ; [ 5.42168675 54.57831325],0
