Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.554394,[85  7] ; [25 28],[69.79310345 22.20689655] ; [40.20689655 12.79310345],1
v4,1,9.5e-05,15.224943,[87  5] ; [37 15],[79.22222222 12.77777778] ; [44.77777778  7.22222222],1
r2,1,9.5e-05,15.224943,[87  5] ; [37 15],[79.22222222 12.77777778] ; [44.77777778  7.22222222],1
s6,1,0.000231,13.558031,[60 29] ; [18 33],[49.58571429 39.41428571] ; [28.41428571 22.58571429],1
a7,1,0.000522,12.036119,[62 30] ; [20 33],[52.02758621 39.97241379] ; [29.97241379 23.02758621],1
n6,1,0.000625,11.698685,[81 11] ; [34 19],[72.96551724 19.03448276] ; [42.03448276 10.96551724],1
v3,1,0.001075,10.693523,[39 50] ; [ 9 44],[30.08450704 58.91549296] ; [17.91549296 35.08450704],0
r3,1,0.002529,9.11966,[81 11] ; [35 17],[74.11111111 17.88888889] ; [41.88888889 10.11111111],0
p11,1,0.003642,8.454363,[73 19] ; [30 23],[65.35172414 26.64827586] ; [37.64827586 15.35172414],0
v2,1,0.003987,8.289524,[43 42] ; [13 38],[35. 50.] ; [21. 30.],0
n4,1,0.007447,7.161779,[82 10] ; [38 15],[76.13793103 15.86206897] ; [43.86206897  9.13793103],0
a5,1,0.009384,6.748242,[57 35] ; [21 32],[49.48965517 42.51034483] ; [28.51034483 24.48965517],0
s5,1,0.009921,6.648942,[27 61] ; [ 6 46],[20.74285714 67.25714286] ; [12.25714286 39.74285714],0
p8,1,0.015995,5.803426,[45 42] ; [16 36],[38.17985612 48.82014388] ; [22.82014388 29.17985612],0
a3,1,0.020607,5.359726,[52 38] ; [20 33],[45.31468531 44.68531469] ; [26.68531469 26.31468531],0
p3,1,0.020695,5.352265,[45 45] ; [16 37],[38.39160839 51.60839161] ; [22.60839161 30.39160839],0
d3,1,0.02429,5.073834,[30 62] ; [ 8 44],[24.27777778 67.72222222] ; [13.72222222 38.27777778],0
s8,1,0.024953,5.027132,[35 55] ; [11 42],[28.95104895 61.04895105] ; [17.04895105 35.95104895],0
p10,1,0.028392,4.804092,[70 19] ; [32 20],[64.38297872 24.61702128] ; [37.61702128 14.38297872],0
p4,1,0.034065,4.491438,[51 40] ; [20 33],[44.86805556 46.13194444] ; [26.13194444 26.86805556],0
u3,1,0.048266,3.900684,[20 20] ; [ 9 24],[15.89041096 24.10958904] ; [13.10958904 19.89041096],0
p2,1,0.050776,3.815645,[69 22] ; [32 21],[63.82638889 27.17361111] ; [37.17361111 15.82638889],0
p5,1,0.083516,2.995122,[14 76] ; [ 3 49],[10.77464789 79.22535211] ; [ 6.22535211 45.77464789],0
s7,1,0.096535,2.761871,[38 46] ; [15 34],[33.47368421 50.52631579] ; [19.52631579 29.47368421],0
v1,1,0.100249,2.701582,[45 45] ; [19 34],[40.27972028 49.72027972] ; [23.72027972 29.27972028],0
s2,1,0.11752,2.450067,[35 54] ; [14 39],[30.71126761 58.28873239] ; [18.28873239 34.71126761],0
a1,1,0.117705,2.447602,[ 2 90] ; [ 4 49],[ 3.80689655 88.19310345] ; [ 2.19310345 50.80689655],0
p1,1,0.126473,2.335265,[15 76] ; [ 4 49],[12.00694444 78.99305556] ; [ 6.99305556 46.00694444],0
p7,1,0.130908,2.281708,[53 35] ; [25 28],[48.68085106 39.31914894] ; [29.31914894 23.68085106],0
n2,1,0.194329,1.684492,[20  4] ; [14  7],[18.13333333  5.86666667] ; [15.86666667  5.13333333],0
a6,1,0.195781,1.67357,[57 35] ; [27 26],[53.29655172 38.70344828] ; [30.70344828 22.29655172],0
p6,1,0.27854,1.174198,[30 59] ; [13 39],[27.14184397 61.85815603] ; [15.85815603 36.14184397],0
u2,1,0.310659,1.027874,[18 22] ; [11 22],[15.89041096 24.10958904] ; [13.10958904 19.89041096],0
d5,1,0.323826,0.973431,[46 46] ; [22 31],[43.14482759 48.85517241] ; [24.85517241 28.14482759],0
b1,1,0.34499,0.8918,[36 56] ; [25 28],[38.70344828 53.29655172] ; [22.29655172 30.70344828],0
n1,1,0.348868,0.877571,[13 11] ; [ 8 12],[11.45454545 12.54545455] ; [ 9.54545455 10.45454545],0
s4,1,0.377915,0.777474,[15 75] ; [12 41],[16.99300699 73.00699301] ; [10.00699301 42.99300699],0
a2,1,0.3856,0.752772,[ 9 83] ; [ 3 50],[ 7.6137931 84.3862069] ; [ 4.3862069 48.6137931],0
s3,1,0.488219,0.480449,[43 44] ; [23 30],[41.01428571 45.98571429] ; [24.98571429 28.01428571],0
d2,1,0.497418,0.460442,[23 69] ; [16 37],[24.74482759 67.25517241] ; [14.25517241 38.74482759],0
a4,1,0.498176,0.45882,[25 65] ; [12 41],[23.28671329 66.71328671] ; [13.71328671 39.28671329],0
p9,1,0.508516,0.437119,[69 20] ; [37 14],[67.38571429 21.61428571] ; [38.61428571 12.38571429],0
d1,1,0.653132,0.201975,[ 5 87] ; [ 2 51],[ 4.44137931 87.55862069] ; [ 2.55862069 50.44137931],0
a8,1,0.67165,0.179678,[10 72] ; [ 5 46],[ 9.2481203 72.7518797] ; [ 5.7518797 45.2481203],0
s1,1,0.78531,0.074205,[ 6 82] ; [ 3 50],[ 5.61702128 82.38297872] ; [ 3.38297872 49.61702128],0
p12,1,0.810859,0.057273,[ 6 84] ; [ 3 50],[ 5.66433566 84.33566434] ; [ 3.33566434 49.66433566],0
n3,1,0.861663,0.030366,[17  6] ; [16  5],[17.25  5.75] ; [15.75  5.25],0
b5,1,0.865509,0.028685,[49 43] ; [29 24],[49.48965517 42.51034483] ; [28.51034483 24.48965517],0
b2,1,0.962271,0.002238,[16 41] ; [ 8 21],[15.90697674 41.09302326] ; [ 8.09302326 20.90697674],0
b3,1,0.962271,0.002238,[16 41] ; [ 8 21],[15.90697674 41.09302326] ; [ 8.09302326 20.90697674],0
b4,1,0.986713,0.000277,[47 45] ; [27 26],[46.95172414 45.04827586] ; [27.04827586 25.95172414],0
