Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,32.853431,[95 14] ; [148 116],[71.01072386 37.98927614] ; [171.98927614  92.01072386],1
s2,1,0.0,27.976217,[78 30] ; [110 152],[54.87567568 53.12432432] ; [133.12432432 128.87567568],1
s7,1,5e-06,20.889911,[66 38] ; [ 94 160],[46.48044693 57.51955307] ; [113.51955307 140.48044693],1
s4,1,8e-06,19.876967,[33 73] ; [ 31 233],[18.33513514 87.66486486] ; [ 45.66486486 218.33513514],1
s8,1,0.000576,11.851457,[57 52] ; [ 88 177],[42.25935829 66.74064171] ; [102.74064171 162.25935829],1
d4,1,0.001831,9.711845,[98 11] ; [199  64],[87.02419355 21.97580645] ; [209.97580645  53.02419355],0
a3,1,0.003959,8.302584,[89 20] ; [177  88],[77.52406417 31.47593583] ; [188.47593583  76.52406417],0
s3,1,0.005056,7.859417,[72 35] ; [135 128],[59.86216216 47.13783784] ; [147.13783784 115.86216216],0
a2,1,0.008867,6.849437,[39 70] ; [ 60 205],[28.85294118 80.14705882] ; [ 70.14705882 194.85294118],0
p6,1,0.00913,6.797205,[34 74] ; [ 50 213],[24.45283019 83.54716981] ; [ 59.54716981 203.45283019],0
p12,1,0.00917,6.789414,[11 98] ; [  9 255],[  5.84450402 103.15549598] ; [ 14.15549598 249.84450402],0
p1,1,0.00917,6.789414,[11 98] ; [  9 255],[  5.84450402 103.15549598] ; [ 14.15549598 249.84450402],0
a5,1,0.018948,5.506271,[85 24] ; [174  91],[75.48395722 33.51604278] ; [183.51604278  81.48395722],0
p5,1,0.022913,5.175069,[10 99] ; [  9 252],[  5.5972973 103.4027027] ; [ 13.4027027 247.5972973],0
p4,1,0.026993,4.89125,[59 49] ; [111 153],[49.35483871 58.64516129] ; [120.64516129 143.35483871],0
n6,1,0.027768,4.842405,[96 12] ; [210  55],[88.60053619 19.39946381] ; [217.39946381  47.60053619],0
p9,1,0.027819,4.839261,[91 16] ; [196  67],[82.9972973 24.0027027] ; [204.0027027  58.9972973],0
p10,1,0.034154,4.486974,[87 20] ; [185  77],[78.87262873 28.12737127] ; [193.12737127  68.87262873],0
d2,1,0.036317,4.382172,[62 46] ; [120 144],[52.83870968 55.16129032] ; [129.16129032 134.83870968],0
p11,1,0.042051,4.133152,[71 38] ; [200  65],[78.98128342 30.01871658] ; [192.01871658  72.98128342],0
d5,1,0.056517,3.636763,[94 15] ; [204  59],[87.3172043 21.6827957] ; [210.6827957  52.3172043],0
p3,1,0.059325,3.556156,[47 62] ; [ 87 178],[39.05347594 69.94652406] ; [ 94.94652406 170.05347594],0
d1,1,0.07855,3.094643,[66 43] ; [134 131],[58.28877005 50.71122995] ; [141.71122995 123.28877005],0
a4,1,0.108231,2.579861,[57 52] ; [114 150],[49.97050938 59.02949062] ; [121.02949062 142.97050938],0
u1,1,0.143958,2.135135,[27 82] ; [ 48 217],[21.85828877 87.14171123] ; [ 53.14171123 211.85828877],0
n1,1,0.167564,1.904602,[15 16] ; [27 52],[11.83636364 19.16363636] ; [30.16363636 48.83636364],0
s1,1,0.177078,1.821979,[ 7 99] ; [  9 253],[  4.60869565 101.39130435] ; [ 11.39130435 250.60869565],0
a7,1,0.184698,1.759415,[74 35] ; [197  67],[79.19302949 29.80697051] ; [191.80697051  72.19302949],0
v1,1,0.188074,1.732642,[56 52] ; [113 142],[50.28099174 57.71900826] ; [118.71900826 136.28099174],0
n2,1,0.260242,1.267467,[26  6] ; [56 23],[23.63963964  8.36036036] ; [58.36036036 20.63963964],0
b2,1,0.313056,1.01774,[28 38] ; [ 59 108],[24.64377682 41.35622318] ; [ 62.35622318 104.64377682],0
b3,1,0.313056,1.01774,[28 38] ; [ 59 108],[24.64377682 41.35622318] ; [ 62.35622318 104.64377682],0
b4,1,0.336106,0.925226,[70 39] ; [156 109],[65.86631016 43.13368984] ; [160.13368984 104.86631016],0
r3,1,0.356094,0.851622,[107   2] ; [263   2],[107.8342246   1.1657754] ; [262.1657754   2.8342246],0
p7,1,0.40583,0.690984,[52 55] ; [114 146],[48.39782016 58.60217984] ; [117.60217984 142.39782016],0
v4,1,0.410786,0.676525,[107   2] ; [254   9],[105.77688172   3.22311828] ; [255.22311828   7.77688172],0
d3,1,0.420531,0.64883,[76 33] ; [172  91],[72.66666667 36.33333333] ; [175.33333333  87.66666667],0
a8,1,0.430366,0.621834,[10 86] ; [ 33 210],[12.17699115 83.82300885] ; [ 30.82300885 212.17699115],0
n5,1,0.525839,0.402426,[77 31] ; [178  84],[74.43243243 33.56756757] ; [180.56756757  81.43243243],0
a1,1,0.58138,0.304008,[  5 104] ; [  9 256],[  4.0802139 104.9197861] ; [  9.9197861 255.0802139],0
a6,1,0.590856,0.28901,[75 34] ; [189  75],[77.14745308 31.85254692] ; [186.85254692  77.14745308],0
r2,1,0.602779,0.270825,[106   3] ; [259   5],[106.66219839   2.33780161] ; [258.33780161   5.66219839],0
u3,1,0.63299,0.228027,[14  6] ; [56 31],[13.08411215  6.91588785] ; [56.91588785 30.08411215],0
b5,1,0.651944,0.203458,[73 36] ; [171  94],[71.11229947 37.88770053] ; [172.88770053  92.11229947],0
p2,1,0.712883,0.135414,[81 28] ; [192  73],[79.56417112 29.43582888] ; [193.43582888  71.56417112],0
v3,1,0.717041,0.131346,[35 70] ; [ 88 161],[36.48305085 68.51694915] ; [ 86.51694915 162.48305085],0
v2,1,0.725995,0.122821,[56 50] ; [127 123],[54.48876404 51.51123596] ; [128.51123596 121.48876404],0
n4,1,0.731057,0.118143,[79 28] ; [191  74],[77.66129032 29.33870968] ; [192.33870968  72.66129032],0
u4,1,0.79428,0.067994,[  2 107] ; [  6 259],[  2.3315508 106.6684492] ; [  5.6684492 259.3315508],0
b1,1,0.850404,0.035571,[40 69] ; [100 165],[40.80213904 68.19786096] ; [ 99.19786096 165.80213904],0
r1,1,0.958664,0.002686,[89 18] ; [219  45],[88.83018868 18.16981132] ; [219.16981132  44.83018868],0
n3,1,0.96144,0.002337,[25  8] ; [58 19],[24.9  8.1] ; [58.1 18.9],0
u2,1,0.984385,0.000383,[11  8] ; [50 36],[11.03809524  7.96190476] ; [49.96190476 36.03809524],0
