Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.3e-05,19.039513,[31 40] ; [ 5 52],[19.96875 51.03125] ; [16.03125 40.96875],1
r3,1,0.007983,7.037293,[71  2] ; [48  9],[66.82307692  6.17692308] ; [52.17692308  4.82307692],0
a7,1,0.013767,6.067763,[58 15] ; [34 23],[51.66153846 21.33846154] ; [40.33846154 16.66153846],0
d5,1,0.013865,6.055267,[63 10] ; [39 18],[57.27692308 15.72307692] ; [44.72307692 12.27692308],0
r1,1,0.016024,5.800187,[58 14] ; [35 22],[51.90697674 20.09302326] ; [41.09302326 15.90697674],0
v1,1,0.018096,5.586874,[44 29] ; [22 34],[37.34883721 35.65116279] ; [28.65116279 27.34883721],0
u1,1,0.046377,3.967858,[14 59] ; [ 4 53],[10.10769231 62.89230769] ; [ 7.89230769 49.10769231],0
a8,1,0.052815,3.749778,[ 1 65] ; [ 5 49],[ 3.3 62.7] ; [ 2.7 51.3],0
p12,1,0.101412,2.683194,[ 6 66] ; [ 1 56],[ 3.90697674 68.09302326] ; [ 3.09302326 53.90697674],0
s4,1,0.106625,2.603541,[13 60] ; [17 40],[16.84615385 56.15384615] ; [13.15384615 43.84615385],0
d1,1,0.112501,2.51873,[46 27] ; [28 29],[41.55384615 31.44615385] ; [32.44615385 24.55384615],0
r2,1,0.115003,2.484091,[66  6] ; [47 10],[63.06976744  8.93023256] ; [49.93023256  7.06976744],0
b4,1,0.16459,1.931543,[46 27] ; [29 28],[42.11538462 30.88461538] ; [32.88461538 24.11538462],0
a2,1,0.185799,1.750621,[20 53] ; [10 47],[16.84615385 56.15384615] ; [13.15384615 43.84615385],0
a6,1,0.194491,1.68327,[55 18] ; [37 20],[51.66153846 21.33846154] ; [40.33846154 16.66153846],0
b1,1,0.24827,1.333013,[26 47] ; [26 31],[29.2 43.8] ; [22.8 34.2],0
a1,1,0.248717,1.330493,[ 2 71] ; [ 4 53],[ 3.36923077 69.63076923] ; [ 2.63076923 54.36923077],0
d4,1,0.267166,1.231238,[63 10] ; [45 12],[60.64615385 12.35384615] ; [47.35384615  9.64615385],0
p5,1,0.269548,1.219048,[ 6 66] ; [ 2 54],[ 4.5 67.5] ; [ 3.5 52.5],0
d3,1,0.276696,1.183247,[55 18] ; [38 19],[52.22307692 20.77692308] ; [40.77692308 16.22307692],0
p8,1,0.285049,1.142857,[39 33] ; [25 31],[36. 36.] ; [28. 28.],0
u2,1,0.287901,1.129412,[ 6 10] ; [9 7],[7.5 8.5] ; [7.5 8.5],0
b3,1,0.319008,0.99301,[15 23] ; [ 9 23],[13.02857143 24.97142857] ; [10.97142857 21.02857143],0
b2,1,0.319008,0.99301,[15 23] ; [ 9 23],[13.02857143 24.97142857] ; [10.97142857 21.02857143],0
s3,1,0.371984,0.797025,[36 36] ; [24 33],[33.48837209 38.51162791] ; [26.51162791 30.48837209],0
p10,1,0.390198,0.738324,[53 19] ; [38 19],[50.79069767 21.20930233] ; [40.20930233 16.79069767],0
