Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.00157,9.994139,[7 3] ; [78  3],[9.34065934 0.65934066] ; [75.65934066  5.34065934],0
s3,1,0.008026,7.027664,[2 8] ; [51 29],[5.88888889 4.11111111] ; [47.11111111 32.88888889],0
s7,1,0.009485,6.729167,[3 6] ; [57 19],[6.35294118 2.64705882] ; [53.64705882 22.35294118],0
s8,1,0.014386,5.990182,[2 8] ; [48 31],[5.61797753 4.38202247] ; [44.38202247 34.61797753],0
r1,1,0.015167,5.896917,[5 5] ; [68 14],[7.93478261 2.06521739] ; [65.06521739 16.93478261],0
a7,1,0.03138,4.632056,[4 6] ; [60 22],[6.95652174 3.04347826] ; [57.04347826 24.95652174],0
p6,1,0.059247,3.558325,[3 7] ; [49 31],[5.77777778 4.22222222] ; [46.22222222 33.77777778],0
r4,1,0.062496,3.469864,[7 3] ; [74  8],[8.80434783 1.19565217] ; [72.19565217  9.80434783],0
n4,1,0.062496,3.469864,[7 3] ; [74  8],[8.80434783 1.19565217] ; [72.19565217  9.80434783],0
n2,1,0.099232,2.717836,[1 2] ; [15  4],[2.18181818 0.81818182] ; [13.81818182  5.18181818],0
s2,1,0.108868,2.570576,[3 7] ; [46 35],[5.38461538 4.61538462] ; [43.61538462 37.38461538],0
p8,1,0.144637,2.127922,[6 4] ; [65 16],[7.8021978 2.1978022] ; [63.1978022 17.8021978],0
r3,1,0.256329,1.288474,[8 2] ; [74  7],[9.01098901 0.98901099] ; [72.98901099  8.01098901],0
d3,1,0.25978,1.269929,[5 5] ; [55 26],[6.59340659 3.40659341] ; [53.40659341 27.59340659],0
n5,1,0.325824,0.965425,[8 2] ; [74  8],[8.91304348 1.08695652] ; [73.08695652  8.91304348],0
v1,1,0.325913,0.965068,[5 5] ; [52 27],[6.40449438 3.59550562] ; [50.59550562 28.40449438],0
n3,1,0.328864,0.953366,[1 2] ; [12  7],[1.77272727 1.22727273] ; [11.22727273  7.77272727],0
a4,1,0.362452,0.829381,[3 7] ; [37 45],[4.34782609 5.65217391] ; [35.65217391 46.34782609],0
d2,1,0.392099,0.732424,[6 4] ; [37 44],[4.72527473 5.27472527] ; [38.27472527 42.72527473],0
a2,1,0.464358,0.535369,[1 9] ; [16 66],[1.84782609 8.15217391] ; [15.15217391 66.84782609],0
p2,1,0.499713,0.455545,[8 2] ; [71 10],[8.68131868 1.31868132] ; [70.31868132 10.68131868],0
d5,1,0.516133,0.421613,[7 3] ; [64 17],[7.8021978 2.1978022] ; [63.1978022 17.8021978],0
p1,1,0.538866,0.377645,[2 8] ; [24 58],[2.82608696 7.17391304] ; [23.17391304 58.82608696],0
p7,1,0.544937,0.366466,[7 3] ; [62 17],[7.75280899 2.24719101] ; [61.24719101 17.75280899],0
a5,1,0.566968,0.327781,[7 3] ; [64 18],[7.7173913 2.2826087] ; [63.2826087 18.7173913],0
u1,1,0.567565,0.326774,[1 9] ; [14 68],[1.63043478 8.36956522] ; [13.36956522 68.63043478],0
d1,1,0.606049,0.265968,[5 5] ; [48 34],[5.76086957 4.23913043] ; [47.23913043 34.76086957],0
a8,1,0.609772,0.260508,[2 7] ; [12 65],[1.46511628 7.53488372] ; [12.53488372 64.46511628],0
v3,1,0.620187,0.245604,[5 5] ; [46 33],[5.73033708 4.26966292] ; [45.26966292 33.73033708],0
p12,1,0.648425,0.207891,[3 7] ; [19 62],[2.41758242 7.58241758] ; [19.58241758 61.41758242],0
