Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5.3e-05,16.33345,[120 143] ; [ 37 109],[100.95599022 162.04400978] ; [56.04400978 89.95599022],1
p2,1,0.000107,15.004233,[240  29] ; [109  37],[226.21927711  42.78072289] ; [122.78072289  23.21927711],1
n5,1,0.000383,12.612677,[221  48] ; [96 48],[206.47215496  62.52784504] ; [110.52784504  33.47215496],1
b5,1,0.010512,6.545946,[172 100] ; [74 73],[159.69451074 112.30548926] ; [86.30548926 60.69451074],0
s8,1,0.01304,6.163654,[142 125] ; [59 87],[129.94430993 137.05569007] ; [71.05569007 74.94430993],0
p4,1,0.01481,5.93889,[179  88] ; [79 65],[167.60583942  99.39416058] ; [90.39416058 53.60583942],0
p3,1,0.019109,5.491543,[157 111] ; [68 78],[145.65217391 122.34782609] ; [79.34782609 66.65217391],0
p9,1,0.045661,3.994063,[235  29] ; [118  26],[228.41176471  35.58823529] ; [124.58823529  19.41176471],0
p8,1,0.046376,3.967903,[159 105] ; [72 72],[149.47058824 114.52941176] ; [81.52941176 62.47058824],0
p5,1,0.046888,3.949389,[ 38 231] ; [ 11 135],[ 31.76144578 237.23855422] ; [ 17.23855422 128.76144578],0
b3,1,0.050996,3.808417,[72 98] ; [27 63],[ 64.73076923 105.26923077] ; [34.26923077 55.73076923],0
b2,1,0.050996,3.808417,[72 98] ; [27 63],[ 64.73076923 105.26923077] ; [34.26923077 55.73076923],0
v3,1,0.051528,3.791021,[161 103] ; [74 71],[151.68704156 112.31295844] ; [83.31295844 61.68704156],0
r4,1,0.062831,3.461031,[264   8] ; [137  10],[260.3150358  11.6849642] ; [140.6849642   6.3150358],0
a4,1,0.063686,3.438687,[139 132] ; [61 85],[129.97601918 141.02398082] ; [70.02398082 75.97601918],0
n4,1,0.065041,3.40395,[223  48] ; [109  37],[215.76019185  55.23980815] ; [116.23980815  29.76019185],0
r3,1,0.095299,2.782501,[268   3] ; [139   5],[265.77590361   5.22409639] ; [141.22409639   2.77590361],0
d1,1,0.111124,2.53817,[184  88] ; [88 59],[176.57279236  95.42720764] ; [95.42720764 51.57279236],0
p7,1,0.114281,2.493999,[186  75] ; [91 52],[178.9529703  82.0470297] ; [98.0470297 44.9529703],0
u2,1,0.115415,2.478464,[36 23] ; [16 20],[32.29473684 26.70526316] ; [19.70526316 16.29473684],0
v4,1,0.126106,2.339802,[264   7] ; [137   8],[261.22836538   9.77163462] ; [139.77163462   5.22836538],0
p1,1,0.140296,2.174708,[ 26 244] ; [  8 138],[ 22.06730769 247.93269231] ; [ 11.93269231 134.06730769],0
u3,1,0.159419,1.979732,[38 21] ; [19 19],[34.67010309 24.32989691] ; [22.32989691 15.67010309],0
s7,1,0.161509,1.960042,[147 111] ; [69 70],[140.37279597 117.62720403] ; [75.62720403 63.37279597],0
s4,1,0.177911,1.814989,[ 33 235] ; [ 25 121],[ 37.54589372 230.45410628] ; [ 20.45410628 125.54589372],0
n1,1,0.182273,1.778992,[18 25] ; [ 8 22],[15.31506849 27.68493151] ; [10.68493151 19.31506849],0
p12,1,0.197297,1.662271,[ 31 236] ; [ 11 134],[ 27.2184466 239.7815534] ; [ 14.7815534 130.2184466],0
d3,1,0.209228,1.576758,[203  68] ; [101  45],[197.56354916  73.43645084] ; [106.43645084  39.56354916],0
s6,1,0.216141,1.529807,[189  79] ; [93 51],[183.4368932  84.5631068] ; [98.5631068 45.4368932],0
u4,1,0.233909,1.416935,[  9 263] ; [  2 145],[  7.14081146 264.85918854] ; [  3.85918854 143.14081146],0
a5,1,0.248176,1.333543,[225  47] ; [114  32],[220.59330144  51.40669856] ; [118.40669856  27.59330144],0
p11,1,0.274913,1.192069,[223  49] ; [114  33],[218.76849642  53.23150358] ; [118.23150358  28.76849642],0
n6,1,0.293325,1.104299,[234  34] ; [122  24],[230.45410628  37.54589372] ; [125.54589372  20.45410628],0
d4,1,0.294038,1.101039,[238  33] ; [122  23],[234.51923077  36.48076923] ; [125.48076923  19.51923077],0
a8,1,0.296337,1.090606,[ 41 197] ; [ 17 113],[ 37.51086957 200.48913043] ; [ 20.48913043 109.51086957],0
s2,1,0.31229,1.020965,[145 121] ; [72 74],[140.10194175 125.89805825] ; [76.89805825 69.10194175],0
a2,1,0.316792,1.002144,[ 81 191] ; [ 37 110],[ 76.60143198 195.39856802] ; [ 41.39856802 105.60143198],0
u1,1,0.327917,0.957105,[ 67 205] ; [ 30 117],[ 62.96897375 209.03102625] ; [ 34.03102625 112.96897375],0
p10,1,0.338096,0.917639,[227  38] ; [119  26],[223.63414634  41.36585366] ; [122.36585366  22.63414634],0
s5,1,0.340963,0.906807,[104 162] ; [48 92],[ 99.5862069 166.4137931] ; [52.4137931 87.5862069],0
a7,1,0.354372,0.85774,[206  65] ; [116  29],[209.76442308  61.23557692] ; [112.23557692  32.76442308],0
a3,1,0.360145,0.837388,[213  58] ; [109  37],[209.26139089  61.73860911] ; [112.73860911  33.26139089],0
d2,1,0.379706,0.771653,[149 121] ; [74 72],[144.73557692 125.26442308] ; [78.26442308 67.73557692],0
a1,1,0.430311,0.621985,[ 16 256] ; [  6 141],[ 14.28162291 257.71837709] ; [  7.71837709 139.28162291],0
b1,1,0.453242,0.562533,[ 90 182] ; [54 93],[ 93.4797136 178.5202864] ; [50.5202864 96.4797136],0
r2,1,0.462342,0.540219,[263   6] ; [140   5],[261.852657   7.147343] ; [141.147343   3.852657],0
d5,1,0.478249,0.502854,[232  39] ; [122  25],[229.50717703  41.49282297] ; [124.49282297  22.50717703],0
s3,1,0.512438,0.429085,[143 122] ; [82 61],[146.13970588 118.86029412] ; [78.86029412 64.13970588],0
n2,1,0.514248,0.425413,[34  9] ; [21  8],[32.84722222 10.15277778] ; [22.15277778  6.84722222],0
n3,1,0.523113,0.407751,[32 12] ; [23  6],[33.15068493 10.84931507] ; [21.84931507  7.15068493],0
s1,1,0.542064,0.371728,[  6 261] ; [  2 143],[  5.18446602 261.81553398] ; [  2.81553398 142.18446602],0
b4,1,0.614264,0.254012,[166 106] ; [86 61],[163.58949881 108.41050119] ; [88.41050119 58.58949881],0
a6,1,0.706497,0.141802,[197  73] ; [104  42],[195.36057692  74.63942308] ; [105.63942308  40.36057692],0
