Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.014218,6.010929,[54 18] ; [7 9],[49.90909091 22.09090909] ; [11.09090909  4.90909091],0
n4,1,0.034248,4.482257,[55 17] ; [8 8],[51.54545455 20.45454545] ; [11.45454545  4.54545455],0
d4,1,0.061664,3.492063,[60 12] ; [10  6],[57.27272727 14.72727273] ; [12.72727273  3.27272727],0
s8,1,0.090422,2.866844,[29 41] ; [ 3 13],[26.04651163 43.95348837] ; [ 5.95348837 10.04651163],0
p10,1,0.093269,2.817029,[58 13] ; [10  6],[55.49425287 15.50574713] ; [12.50574713  3.49425287],0
n6,1,0.094827,2.790462,[62 10] ; [11  5],[59.72727273 12.27272727] ; [13.27272727  2.72727273],0
n5,1,0.101821,2.676794,[55 17] ; [9 7],[52.36363636 19.63636364] ; [11.63636364  4.36363636],0
s3,1,0.107165,2.59554,[37 34] ; [ 4 10],[34.24705882 36.75294118] ; [6.75294118 7.24705882],0
r3,1,0.137329,2.207639,[67  5] ; [13  3],[65.45454545  6.54545455] ; [14.54545455  1.45454545],0
p9,1,0.150138,2.070845,[63  8] ; [12  4],[61.20689655  9.79310345] ; [13.79310345  2.20689655],0
d5,1,0.168582,1.895506,[53 19] ; [9 7],[50.72727273 21.27272727] ; [11.27272727  4.72727273],0
d3,1,0.171436,1.870339,[49 23] ; [8 8],[46.63636364 25.36363636] ; [10.36363636  5.63636364],0
b2,1,0.177733,1.816483,[13 29] ; [4 3],[14.57142857 27.42857143] ; [2.42857143 4.57142857],0
b3,1,0.177733,1.816483,[13 29] ; [4 3],[14.57142857 27.42857143] ; [2.42857143 4.57142857],0
s1,1,0.192761,1.696386,[ 3 69] ; [ 2 14],[ 4.09090909 67.90909091] ; [ 0.90909091 15.09090909],0
p4,1,0.288159,1.128205,[42 30] ; [7 9],[40.09090909 31.90909091] ; [8.90909091 7.09090909],0
d1,1,0.288159,1.128205,[42 30] ; [7 9],[40.09090909 31.90909091] ; [8.90909091 7.09090909],0
p6,1,0.313176,1.017234,[14 57] ; [ 5 11],[15.50574713 55.49425287] ; [ 3.49425287 12.50574713],0
v4,1,0.318845,0.993677,[68  4] ; [14  2],[67.09090909  4.90909091] ; [14.90909091  1.09090909],0
s6,1,0.342924,0.899471,[42 28] ; [7 8],[40.35294118 29.64705882] ; [8.64705882 6.35294118],0
s7,1,0.347558,0.882353,[30 38] ; [ 5 11],[28.33333333 39.66666667] ; [6.66666667 9.33333333],0
r4,1,0.403318,0.698413,[64  8] ; [13  3],[63.  9.] ; [14.  2.],0
n1,1,0.407094,0.687273,[7 8] ; [4 2],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
n3,1,0.407094,0.687273,[7 8] ; [4 2],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
a2,1,0.43437,0.611111,[12 60] ; [ 4 12],[13.09090909 58.90909091] ; [ 2.90909091 13.09090909],0
b4,1,0.441264,0.592992,[42 30] ; [11  5],[43.36363636 28.63636364] ; [9.63636364 6.36363636],0
a4,1,0.443393,0.587486,[26 46] ; [7 8],[27.31034483 44.68965517] ; [5.68965517 9.31034483],0
r1,1,0.443495,0.587223,[56 16] ; [11  5],[54.81818182 17.18181818] ; [12.18181818  3.81818182],0
n2,1,0.445009,0.583333,[10  5] ; [5 1],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
a5,1,0.457234,0.552657,[52 20] ; [13  3],[53.18181818 18.81818182] ; [11.81818182  4.18181818],0
b5,1,0.476092,0.507802,[43 29] ; [8 8],[41.72727273 30.27272727] ; [9.27272727 6.72727273],0
v3,1,0.476867,0.50602,[24 46] ; [7 9],[25.23255814 44.76744186] ; [ 5.76744186 10.23255814],0
u4,1,0.488738,0.479303,[ 2 70] ; [ 1 15],[ 2.45454545 69.54545455] ; [ 0.54545455 15.45454545],0
u1,1,0.50993,0.434211,[ 9 63] ; [ 3 13],[ 9.81818182 62.18181818] ; [ 2.18181818 13.81818182],0
v1,1,0.510866,0.432294,[37 33] ; [7 9],[35.81395349 34.18604651] ; [8.18604651 7.81395349],0
a3,1,0.549331,0.358516,[42 30] ; [10  5],[43.03448276 28.96551724] ; [8.96551724 6.03448276],0
s4,1,0.551606,0.354449,[ 8 63] ; [ 1 15],[ 7.34482759 63.65517241] ; [ 1.65517241 14.34482759],0
s5,1,0.582573,0.302094,[13 54] ; [ 2 13],[12.25609756 54.74390244] ; [ 2.74390244 12.25609756],0
a7,1,0.606785,0.264883,[54 18] ; [11  5],[53.18181818 18.81818182] ; [11.81818182  4.18181818],0
s2,1,0.614396,0.253822,[33 37] ; [6 9],[32.11764706 37.88235294] ; [6.88235294 8.11764706],0
