Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1.7e-05,18.47919,[36  9] ; [10 22],[26.88311688 18.11688312] ; [19.11688312 12.88311688],1
p11,1,0.00127,10.38587,[30 16] ; [ 9 23],[23. 23.] ; [16. 16.],0
p2,1,0.002133,9.431302,[32 12] ; [12 20],[25.47368421 18.52631579] ; [18.52631579 13.47368421],0
b4,1,0.005997,7.551095,[33 13] ; [13 19],[27.12820513 18.87179487] ; [18.87179487 13.12820513],0
p7,1,0.016957,5.700786,[21 22] ; [ 7 25],[16.05333333 26.94666667] ; [11.94666667 20.05333333],0
a1,1,0.017161,5.67982,[ 2 44] ; [ 7 25],[ 5.30769231 40.69230769] ; [ 3.69230769 28.30769231],0
p8,1,0.021274,5.304212,[18 27] ; [ 5 27],[13.44155844 31.55844156] ; [ 9.55844156 22.44155844],0
s7,1,0.032149,4.590512,[19 24] ; [ 6 24],[14.7260274 28.2739726] ; [10.2739726 19.7260274],0
v4,1,0.055579,3.664639,[35  9] ; [19 13],[31.26315789 12.73684211] ; [22.73684211  9.26315789],0
s1,1,0.067036,3.354139,[ 1 45] ; [ 4 28],[ 2.94871795 43.05128205] ; [ 2.05128205 29.94871795],0
u2,1,0.071254,3.253889,[9 7] ; [ 3 10],[6.62068966 9.37931034] ; [5.37931034 7.62068966],0
p5,1,0.078109,3.103811,[ 7 38] ; [ 1 31],[ 4.67532468 40.32467532] ; [ 3.32467532 28.67532468],0
a7,1,0.148846,2.084036,[27 19] ; [13 18],[23.8961039 22.1038961] ; [16.1038961 14.8961039],0
n2,1,0.162962,1.946524,[14  7] ; [ 8 10],[11.84615385  9.15384615] ; [10.15384615  7.84615385],0
n6,1,0.163508,1.941479,[29 16] ; [15 16],[26.05263158 18.94736842] ; [17.94736842 13.05263158],0
s2,1,0.17017,1.881448,[18 27] ; [ 8 24],[15.19480519 29.80519481] ; [10.80519481 21.19480519],0
p4,1,0.192858,1.695652,[18 28] ; [ 8 24],[15.33333333 30.66666667] ; [10.66666667 21.33333333],0
