Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,138.633075,[296  61] ; [ 44 107],[238.93700787 118.06299213] ; [101.06299213  49.93700787],1
n6,1,5e-06,20.703886,[303  54] ; [102  50],[284.05697446  72.94302554] ; [120.94302554  31.05697446],1
a5,1,2.8e-05,17.559384,[258 100] ; [81 72],[237.49902153 120.50097847] ; [101.50097847  51.49902153],1
p11,1,7e-05,15.805409,[291  68] ; [99 54],[273.45703125  85.54296875] ; [116.54296875  36.45703125],1
p3,1,7.4e-05,15.707642,[166 189] ; [ 42 109],[145.92885375 209.07114625] ; [62.07114625 88.92885375],1
p4,1,0.000123,14.742192,[202 152] ; [58 93],[182.25742574 171.74257426] ; [77.74257426 73.25742574],1
p2,1,0.000185,13.973774,[300  55] ; [105  45],[284.7029703  70.2970297] ; [120.2970297  29.7029703],1
s7,1,0.00021,13.741633,[105 235] ; [ 22 126],[ 88.48360656 251.51639344] ; [ 38.51639344 109.48360656],1
p10,1,0.000245,13.449471,[276  76] ; [94 56],[259.44223108  92.55776892] ; [110.55776892  39.44223108],1
a8,1,0.000407,12.500214,[ 48 278] ; [  5 138],[ 36.84008529 289.15991471] ; [ 16.15991471 126.84008529],1
a2,1,0.000465,12.25195,[ 86 273] ; [ 16 137],[ 71.51953125 287.48046875] ; [ 30.48046875 122.51953125],1
r4,1,0.001155,10.560966,[329  30] ; [125  28],[318.33203125  40.66796875] ; [135.66796875  17.33203125],0
a4,1,0.001862,9.68109,[160 197] ; [ 46 107],[144.2 212.8] ; [61.8 91.2],0
r1,1,0.003245,8.664411,[284  74] ; [102  50],[270.95686275  87.04313725] ; [115.04313725  36.95686275],0
s4,1,0.003767,8.393027,[ 41 311] ; [ 33 120],[ 51.58019802 300.41980198] ; [ 22.41980198 130.58019802],0
r2,1,0.0041,8.238792,[338  17] ; [134  18],[330.49309665  24.50690335] ; [141.50690335  10.49309665],0
v1,1,0.004385,8.117106,[174 178] ; [53 96],[159.48902196 192.51097804] ; [67.51097804 81.48902196],0
a3,1,0.004453,8.089041,[240 117] ; [82 70],[225.84282908 131.15717092] ; [96.15717092 55.84282908],0
p1,1,0.00566,7.655558,[ 31 325] ; [  3 148],[ 23.87376726 332.12623274] ; [ 10.12623274 140.87376726],0
n1,1,0.006016,7.545559,[28 39] ; [11 47],[20.904 46.096] ; [18.096 39.904],0
u1,1,0.008013,7.030611,[ 57 302] ; [ 11 142],[ 47.6796875 311.3203125] ; [ 20.3203125 132.6796875],0
p6,1,0.008501,6.924857,[109 241] ; [ 29 119],[ 96.98795181 253.01204819] ; [ 41.01204819 106.98795181],0
v3,1,0.010932,6.476334,[122 225] ; [ 34 111],[110.02439024 236.97560976] ; [45.97560976 99.02439024],0
p5,1,0.019802,5.429233,[ 33 323] ; [  5 146],[ 26.68244576 329.31755424] ; [ 11.31755424 139.68244576],0
p9,1,0.021788,5.262622,[283  68] ; [107  43],[273.23353293  77.76646707] ; [116.76646707  33.23353293],0
a6,1,0.026114,4.948427,[255 102] ; [94 59],[244.3 112.7] ; [104.7  48.3],0
d2,1,0.033436,4.523289,[157 199] ; [ 52 101],[146.17681729 209.82318271] ; [62.82318271 90.17681729],0
n2,1,0.038641,4.276578,[57 12] ; [38 19],[52.02380952 16.97619048] ; [42.97619048 14.02380952],0
p8,1,0.041601,4.151365,[169 181] ; [58 93],[158.58283433 191.41716567] ; [68.41716567 82.58283433],0
p7,1,0.045476,4.000884,[209 141] ; [74 74],[198.89558233 151.10441767] ; [84.10441767 63.89558233],0
d5,1,0.050795,3.815027,[283  75] ; [108  44],[274.46666667  83.53333333] ; [116.53333333  35.46666667],0
p12,1,0.054108,3.709356,[ 21 332] ; [  3 149],[ 16.77623762 336.22376238] ; [  7.22376238 144.77623762],0
b3,1,0.058725,3.573036,[ 67 133] ; [15 55],[ 60.74074074 139.25925926] ; [21.25925926 48.74074074],0
b2,1,0.058725,3.573036,[ 67 133] ; [15 55],[ 60.74074074 139.25925926] ; [21.25925926 48.74074074],0
v4,1,0.068451,3.319771,[340  18] ; [136  14],[335.4488189  22.5511811] ; [140.5511811   9.4488189],0
n3,1,0.077268,3.121458,[54 13] ; [38 19],[49.70967742 17.29032258] ; [42.29032258 14.70967742],0
d1,1,0.117895,2.445059,[189 170] ; [69 84],[180.90234375 178.09765625] ; [77.09765625 75.90234375],0
s6,1,0.180695,1.791896,[188 161] ; [72 80],[181.11776447 167.88223553] ; [78.88223553 73.11776447],0
b1,1,0.197662,1.659565,[134 225] ; [ 48 105],[127.61328125 231.38671875] ; [54.38671875 98.61328125],0
v2,1,0.282357,1.155711,[185 158] ; [71 75],[179.56646217 163.43353783] ; [76.43353783 69.56646217],0
s3,1,0.326524,0.962633,[155 199] ; [59 92],[150.01188119 203.98811881] ; [63.98811881 87.01188119],0
a7,1,0.408739,0.682466,[267  91] ; [108  44],[263.23529412  94.76470588] ; [111.76470588  40.23529412],0
s1,1,0.520368,0.413164,[ 10 343] ; [  6 147],[ 11.16205534 341.83794466] ; [  4.83794466 148.16205534],0
d4,1,0.526773,0.400613,[286  71] ; [118  34],[283.35559921  73.64440079] ; [120.64440079  31.35559921],0
s2,1,0.531719,0.391105,[125 231] ; [ 49 103],[121.93700787 234.06299213] ; [52.06299213 99.93700787],0
u2,1,0.60932,0.261167,[59 58] ; [38 32],[60.68983957 56.31016043] ; [36.31016043 33.68983957],0
d3,1,0.731563,0.117682,[242 115] ; [100  51],[240.34251969 116.65748031] ; [101.65748031  49.34251969],0
b5,1,0.761373,0.09222,[221 138] ; [92 61],[219.46679688 139.53320312] ; [93.53320312 59.46679688],0
b4,1,0.761527,0.092098,[214 145] ; [89 64],[212.45507812 146.54492188] ; [90.54492188 62.45507812],0
a1,1,0.86926,0.027093,[ 13 346] ; [  6 147],[ 13.32226562 345.67773438] ; [  5.67773438 147.32226562],0
s5,1,0.926138,0.008594,[ 84 262] ; [ 37 113],[ 84.40725806 261.59274194] ; [ 36.59274194 113.40725806],0
u3,1,0.949561,0.004002,[61 57] ; [36 33],[61.20855615 56.79144385] ; [35.79144385 33.20855615],0
