Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,38.042888,[56 44] ; [ 22 107],[34.06113537 65.93886463] ; [43.93886463 85.06113537],1
v1,1,1e-06,23.467777,[63 37] ; [41 91],[44.82758621 55.17241379] ; [59.17241379 72.82758621],1
d5,1,0.008575,6.90921,[77 26] ; [77 55],[67.49787234 35.50212766] ; [86.50212766 45.49787234],0
p11,1,0.026071,4.951324,[81 22] ; [87 46],[73.3220339 29.6779661] ; [94.6779661 38.3220339],0
a3,1,0.028935,4.771465,[56 47] ; [52 78],[47.74248927 55.25751073] ; [60.25751073 69.74248927],0
n6,1,0.030143,4.701111,[85 16] ; [96 37],[78.12393162 22.87606838] ; [102.87606838  30.12393162],0
a4,1,0.036417,4.377474,[25 78] ; [ 18 114],[18.84680851 84.15319149] ; [ 24.15319149 107.84680851],0
r1,1,0.044017,4.055928,[77 26] ; [83 50],[69.83050847 33.16949153] ; [90.16949153 42.83050847],0
r3,1,0.059725,3.545007,[97  4] ; [118  14],[93.19742489  7.80257511] ; [121.80257511  10.19742489],0
s8,1,0.060844,3.51423,[38 65] ; [34 99],[31.42372881 71.57627119] ; [40.57627119 92.42372881],0
d3,1,0.061764,3.489385,[66 37] ; [68 63],[58.98290598 44.01709402] ; [75.01709402 55.98290598],0
d4,1,0.074307,3.185221,[77 25] ; [86 47],[70.74893617 31.25106383] ; [92.25106383 40.74893617],0
p7,1,0.075635,3.156298,[64 34] ; [68 59],[57.49333333 40.50666667] ; [74.50666667 52.49333333],0
s1,1,0.087247,2.924444,[ 2 98] ; [  9 123],[ 4.74137931 95.25862069] ; [  6.25862069 125.74137931],0
d1,1,0.096444,2.763389,[40 63] ; [38 95],[34.04237288 68.95762712] ; [43.95762712 89.04237288],0
p5,1,0.133009,2.257029,[13 89] ; [  9 121],[ 9.67241379 92.32758621] ; [ 12.32758621 117.67241379],0
b1,1,0.139014,2.188835,[30 73] ; [51 82],[35.35169492 67.64830508] ; [45.64830508 87.35169492],0
p6,1,0.162838,1.947671,[37 61] ; [38 93],[32.09606987 65.90393013] ; [42.90393013 88.09606987],0
b4,1,0.177745,1.816379,[64 39] ; [71 62],[58.91949153 44.08050847] ; [76.08050847 56.91949153],0
u3,1,0.225325,1.470131,[23 24] ; [48 32],[26.27559055 20.72440945] ; [44.72440945 35.27559055],0
r4,1,0.226414,1.463248,[91 12] ; [110  23],[87.72457627 15.27542373] ; [113.27542373  19.72457627],0
p2,1,0.237506,1.395336,[81 21] ; [96 36],[77.15384615 24.84615385] ; [99.84615385 32.15384615],0
n3,1,0.240737,1.376276,[20  6] ; [22 13],[17.90163934  8.09836066] ; [24.09836066 10.90163934],0
p12,1,0.254829,1.296634,[ 5 95] ; [  3 130],[ 3.43347639 96.56652361] ; [  4.56652361 128.43347639],0
v4,1,0.261622,1.260155,[97  6] ; [119  13],[94.67234043  8.32765957] ; [121.32765957  10.67234043],0
s6,1,0.311096,1.026019,[60 38] ; [72 60],[56.24347826 41.75652174] ; [75.75652174 56.24347826],0
b5,1,0.314738,1.010687,[60 43] ; [86 47],[63.72033898 39.27966102] ; [82.27966102 50.72033898],0
a7,1,0.320515,0.986845,[72 29] ; [86 46],[68.48927039 32.51072961] ; [89.51072961 42.48927039],0
n4,1,0.364968,0.820725,[65 37] ; [77 56],[61.63404255 40.36595745] ; [80.36595745 52.63404255],0
p9,1,0.415046,0.6643,[77 22] ; [95 35],[74.3580786 24.6419214] ; [97.6419214 32.3580786],0
p10,1,0.432671,0.615644,[72 27] ; [89 42],[69.3 29.7] ; [91.7 39.3],0
p4,1,0.586006,0.296624,[48 53] ; [58 74],[45.94849785 55.05150215] ; [60.05150215 71.94849785],0
u2,1,0.588148,0.293246,[23 23] ; [44 36],[24.46031746 21.53968254] ; [42.53968254 37.46031746],0
a8,1,0.608588,0.262236,[10 89] ; [ 15 107],[11.19909502 87.80090498] ; [ 13.80090498 108.19909502],0
s3,1,0.622228,0.242748,[53 48] ; [73 58],[54.85344828 46.14655172] ; [71.14655172 59.85344828],0
a6,1,0.644967,0.212304,[55 48] ; [67 66],[53.24576271 49.75423729] ; [68.75423729 64.24576271],0
d2,1,0.650307,0.205513,[24 78] ; [ 28 105],[22.57021277 79.42978723] ; [ 29.42978723 103.57021277],0
s2,1,0.676814,0.173735,[44 58] ; [61 72],[45.57446809 56.42553191] ; [59.42553191 73.57446809],0
u1,1,0.721468,0.127091,[  3 100] ; [  5 128],[ 3.49152542 99.50847458] ; [  4.50847458 128.49152542],0
n5,1,0.757642,0.095221,[67 34] ; [85 47],[65.88841202 35.11158798] ; [86.11158798 45.88841202],0
p1,1,0.757681,0.095189,[ 9 94] ; [ 13 118],[ 9.68376068 93.31623932] ; [ 12.31623932 118.68376068],0
n2,1,0.775097,0.081633,[17  8] ; [25 10],[17.5  7.5] ; [24.5 10.5],0
s4,1,0.779094,0.07868,[18 84] ; [ 25 106],[18.82403433 83.17596567] ; [ 24.17596567 106.82403433],0
p8,1,0.796492,0.066507,[43 57] ; [59 73],[43.96551724 56.03448276] ; [58.03448276 73.96551724],0
