Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1e-06,24.461196,[ 14 305] ; [5 9],[ 18.2012012 300.7987988] ; [ 0.7987988 13.2012012],1
p3,1,0.000244,13.458688,[100 219] ; [11  3],[106.33333333 212.66666667] ; [4.66666667 9.33333333],1
s1,1,0.000271,13.261012,[  9 308] ; [ 3 11],[ 11.49244713 305.50755287] ; [ 0.50755287 13.49244713],1
s7,1,0.001254,10.409738,[ 92 212] ; [10  4],[ 97.50943396 206.49056604] ; [4.49056604 9.50943396],0
p4,1,0.006547,7.393158,[132 184] ; [11  3],[136.93333333 179.06666667] ; [6.06666667 7.93333333],0
s8,1,0.017967,5.599369,[ 89 231] ; [8 6],[ 92.93413174 227.06586826] ; [4.06586826 9.93413174],0
p12,1,0.018817,5.518447,[  9 310] ; [ 2 12],[ 10.53753754 308.46246246] ; [ 0.46246246 13.53753754],0
p6,1,0.043339,4.082135,[ 70 247] ; [6 7],[ 73.00606061 243.99393939] ; [ 2.99393939 10.00606061],0
s6,1,0.044911,4.021996,[140 177] ; [10  4],[143.65558912 173.34441088] ; [6.34441088 7.65558912],0
p8,1,0.077995,3.106204,[129 189] ; [9 5],[132.18072289 185.81927711] ; [5.81927711 8.18072289],0
v2,1,0.121151,2.40238,[111 194] ; [ 2 11],[108.38050314 196.61949686] ; [4.61949686 8.38050314],0
n2,1,0.12567,2.345193,[67 37] ; [2 4],[65.23636364 38.76363636] ; [3.76363636 2.23636364],0
p7,1,0.127748,2.319662,[159 155] ; [10  4],[161.78658537 152.21341463] ; [7.21341463 6.78658537],0
a7,1,0.128634,2.308914,[221  98] ; [7 7],[218.41441441 100.58558559] ; [9.58558559 4.41441441],0
n5,1,0.243959,1.357572,[200 116] ; [11  3],[202.04848485 113.95151515] ; [8.95151515 5.04848485],0
a4,1,0.244775,1.352879,[117 202] ; [ 3 11],[114.95495495 204.04504505] ; [5.04504505 8.95495495],0
u1,1,0.245725,1.347446,[ 36 284] ; [ 3 11],[ 37.36526946 282.63473054] ; [ 1.63473054 12.36526946],0
a8,1,0.252144,1.311386,[ 34 266] ; [ 3 11],[ 35.35031847 264.64968153] ; [ 1.64968153 12.35031847],0
d1,1,0.255103,1.295139,[156 164] ; [9 5],[158.08383234 161.91616766] ; [6.91616766 7.08383234],0
s2,1,0.27238,1.204724,[114 205] ; [ 3 11],[112.08108108 206.91891892] ; [4.91891892 9.08108108],0
b4,1,0.289646,1.121266,[183 137] ; [6 8],[181.07784431 138.92215569] ; [7.92215569 6.07784431],0
a2,1,0.291587,1.11228,[ 58 262] ; [ 1 13],[ 56.52694611 263.47305389] ; [ 2.47305389 11.52694611],0
u2,1,0.301495,1.067571,[61 58] ; [1 3],[59.98373984 59.01626016] ; [2.01626016 1.98373984],0
n1,1,0.306332,1.046425,[31 72] ; [3 3],[32.12844037 70.87155963] ; [1.87155963 4.12844037],0
n6,1,0.345842,0.888657,[233  87] ; [11  2],[234.47447447  85.52552553] ; [9.52552553 3.47447447],0
s3,1,0.356865,0.848894,[141 175] ; [8 6],[142.67878788 173.32121212] ; [6.32121212 7.67878788],0
n4,1,0.393235,0.728916,[216 103] ; [11  3],[217.45645646 101.54354354] ; [9.54354354 4.45645646],0
