Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,8e-06,19.985568,[12  1] ; [ 9 31],[5.1509434 7.8490566] ; [15.8490566 24.1509434],1
s2,1,0.001519,10.054853,[10  3] ; [12 31],[5.10714286 7.89285714] ; [16.89285714 26.10714286],0
s6,1,0.007,7.272987,[9 4] ; [12 31],[4.875 8.125] ; [16.125 26.875],0
s3,1,0.013225,6.138761,[9 3] ; [15 28],[5.23636364 6.76363636] ; [18.76363636 24.23636364],0
p2,1,0.016486,5.75027,[11  3] ; [17 24],[7.12727273 6.87272727] ; [20.87272727 20.12727273],0
p9,1,0.018751,5.524587,[11  2] ; [20 22],[7.32727273 5.67272727] ; [23.67272727 18.32727273],0
v4,1,0.022605,5.198615,[12  1] ; [25 18],[8.58928571 4.41071429] ; [28.41071429 14.58928571],0
p8,1,0.044419,4.040549,[6 8] ; [ 7 35],[ 3.25 10.75] ; [ 9.75 32.25],0
n5,1,0.050384,3.828644,[11  2] ; [24 20],[7.98245614 5.01754386] ; [27.01754386 16.98245614],0
n2,1,0.067889,3.333333,[5 1] ; [10 14],[3. 3.] ; [12. 12.],0
p6,1,0.088661,2.898519,[5 9] ; [ 6 35],[ 2.8 11.2] ; [ 8.2 32.8],0
p4,1,0.114169,2.495544,[8 6] ; [14 28],[5.5 8.5] ; [16.5 25.5],0
v1,1,0.117185,2.454545,[7 5] ; [14 28],[4.66666667 7.33333333] ; [16.33333333 25.66666667],0
u3,1,0.124283,2.3625,[3 1] ; [3 7],[1.71428571 2.28571429] ; [4.28571429 5.71428571],0
s5,1,0.149931,2.072951,[5 8] ; [ 8 34],[3.07272727 9.92727273] ; [ 9.92727273 32.07272727],0
p11,1,0.160253,1.971841,[10  4] ; [22 22],[7.72413793 6.27586207] ; [24.27586207 19.72413793],0
b3,1,0.183725,1.767231,[ 2 11] ; [ 9 16],[3.76315789 9.23684211] ; [ 7.23684211 17.76315789],0
b2,1,0.183725,1.767231,[ 2 11] ; [ 9 16],[3.76315789 9.23684211] ; [ 7.23684211 17.76315789],0
p10,1,0.196375,1.669134,[9 4] ; [21 22],[6.96428571 6.03571429] ; [23.03571429 19.96428571],0
r3,1,0.197703,1.659259,[11  3] ; [25 17],[9. 5.] ; [27. 15.],0
p7,1,0.217948,1.517833,[5 8] ; [ 9 33],[3.30909091 9.69090909] ; [10.69090909 31.30909091],0
b1,1,0.219675,1.506494,[5 9] ; [24 20],[7. 7.] ; [22. 22.],0
n4,1,0.238064,1.39202,[11  3] ; [27 17],[9.17241379 4.82758621] ; [28.82758621 15.17241379],0
d3,1,0.341488,0.904838,[11  3] ; [39  5],[12.06896552  1.93103448] ; [37.93103448  6.06896552],0
r2,1,0.361094,0.834085,[10  2] ; [28 12],[8.76923077 3.23076923] ; [29.23076923 10.76923077],0
a8,1,0.382159,0.763747,[ 1 12] ; [ 1 40],[ 0.48148148 12.51851852] ; [ 1.51851852 39.48148148],0
b5,1,0.431156,0.619708,[9 5] ; [23 21],[7.72413793 6.27586207] ; [24.27586207 19.72413793],0
v2,1,0.488775,0.479223,[9 5] ; [22 19],[7.89090909 6.10909091] ; [23.10909091 17.89090909],0
u1,1,0.515947,0.421987,[ 1 13] ; [ 6 38],[ 1.68965517 12.31034483] ; [ 5.31034483 38.68965517],0
n1,1,0.517309,0.419255,[2 4] ; [ 5 19],[1.4 4.6] ; [ 5.6 18.4],0
a5,1,0.553953,0.350282,[11  3] ; [31 13],[10.13793103  3.86206897] ; [31.86206897 12.13793103],0
n6,1,0.567282,0.327251,[9 4] ; [26 17],[8.125 4.875] ; [26.875 16.125],0
u2,1,0.596701,0.28,[1 3] ; [4 6],[1.42857143 2.57142857] ; [3.57142857 6.42857143],0
a1,1,0.651508,0.204004,[ 1 13] ; [ 5 39],[ 1.44827586 12.55172414] ; [ 4.55172414 39.44827586],0
a3,1,0.656264,0.198094,[10  4] ; [34 10],[10.62068966  3.37931034] ; [33.37931034 10.62068966],0
r1,1,0.693629,0.155185,[5 8] ; [14 29],[4.41071429 8.58928571] ; [14.58928571 28.41071429],0
p3,1,0.701105,0.147325,[ 4 10] ; [14 27],[4.58181818 9.41818182] ; [13.41818182 27.58181818],0
d2,1,0.72158,0.126984,[10  4] ; [32 10],[10.5  3.5] ; [31.5 10.5],0
b4,1,0.729283,0.119771,[9 5] ; [26 18],[8.44827586 5.55172414] ; [26.55172414 17.44827586],0
a6,1,0.778565,0.079068,[8 6] ; [27 17],[8.44827586 5.55172414] ; [26.55172414 17.44827586],0
v3,1,0.780453,0.07769,[ 4 10] ; [14 29],[4.42105263 9.57894737] ; [13.57894737 29.42105263],0
a4,1,0.811533,0.056858,[8 6] ; [23 20],[7.61403509 6.38596491] ; [23.38596491 19.61403509],0
s4,1,0.858994,0.031561,[ 2 12] ; [ 7 36],[ 2.21052632 11.78947368] ; [ 6.78947368 36.21052632],0
a2,1,0.919159,0.010301,[ 3 11] ; [10 34],[ 3.13793103 10.86206897] ; [ 9.86206897 34.13793103],0
a7,1,0.919772,0.010145,[9 5] ; [27 16],[8.84210526 5.15789474] ; [27.15789474 15.84210526],0
n3,1,0.924393,0.009006,[3 3] ; [11 12],[2.89655172 3.10344828] ; [11.10344828 11.89655172],0
p5,1,0.975203,0.000966,[ 2 12] ; [ 6 37],[ 1.96491228 12.03508772] ; [ 6.03508772 36.96491228],0
