Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5e-06,20.982566,[ 6 19] ; [51 16],[15.48913043  9.51086957] ; [41.51086957 25.48913043],1
d3,1,0.002008,9.542035,[12 13] ; [54 13],[17.93478261  7.06521739] ; [48.06521739 18.93478261],0
u1,1,0.002545,9.107693,[ 1 24] ; [24 44],[ 6.72043011 18.27956989] ; [18.27956989 49.72043011],0
r2,1,0.006323,7.455835,[21  4] ; [66  1],[23.64130435  1.35869565] ; [63.35869565  3.64130435],0
r4,1,0.008457,6.933971,[18  7] ; [63  5],[21.77419355  3.22580645] ; [59.22580645  8.77419355],0
r1,1,0.012794,6.197342,[17  8] ; [60  7],[20.92391304  4.07608696] ; [56.07608696 10.92391304],0
d5,1,0.015211,5.89186,[16  9] ; [58  9],[20.10869565  4.89130435] ; [53.89130435 13.10869565],0
v4,1,0.023047,5.16499,[21  4] ; [66  2],[23.38709677  1.61290323] ; [63.61290323  4.38709677],0
a2,1,0.028228,4.814118,[ 3 22] ; [24 44],[ 7.25806452 17.74193548] ; [19.74193548 48.25806452],0
b1,1,0.03356,4.516976,[19  6] ; [35 33],[14.51612903 10.48387097] ; [39.48387097 28.51612903],0
a5,1,0.053836,3.71779,[14 11] ; [52 16],[17.74193548  7.25806452] ; [48.25806452 19.74193548],0
n4,1,0.072251,3.231131,[21  3] ; [46 21],[17.67032967  6.32967033] ; [49.32967033 17.67032967],0
b3,1,0.09539,2.780981,[8 7] ; [11 27],[5.37735849 9.62264151] ; [13.62264151 24.37735849],0
b2,1,0.09539,2.780981,[8 7] ; [11 27],[5.37735849 9.62264151] ; [13.62264151 24.37735849],0
b4,1,0.098672,2.726878,[18  7] ; [36 32],[14.51612903 10.48387097] ; [39.48387097 28.51612903],0
n5,1,0.104106,2.641486,[20  4] ; [44 23],[16.87912088  7.12087912] ; [47.12087912 19.87912088],0
p6,1,0.138559,2.193889,[ 8 17] ; [33 34],[11.14130435 13.85869565] ; [29.85869565 37.14130435],0
p4,1,0.193452,1.691134,[17  8] ; [36 32],[14.24731183 10.75268817] ; [38.75268817 29.24731183],0
p9,1,0.225705,1.467727,[18  7] ; [55 11],[20.05494505  4.94505495] ; [52.94505495 13.05494505],0
s2,1,0.229123,1.446295,[16  9] ; [52 16],[18.27956989  6.72043011] ; [49.72043011 18.27956989],0
d1,1,0.233017,1.422353,[12 13] ; [42 26],[14.51612903 10.48387097] ; [39.48387097 28.51612903],0
s3,1,0.265723,1.238693,[15 10] ; [49 19],[17.20430108  7.79569892] ; [46.79569892 21.20430108],0
p10,1,0.27732,1.180178,[14 11] ; [45 21],[16.20879121  8.79120879] ; [42.79120879 23.20879121],0
d4,1,0.287558,1.131019,[18  7] ; [55 12],[19.83695652  5.16304348] ; [53.16304348 13.83695652],0
u3,1,0.323727,0.97383,[3 4] ; [11  6],[4.08333333 2.91666667] ; [9.91666667 7.08333333],0
n1,1,0.365898,0.817547,[10  6] ; [11 12],[8.61538462 7.38461538] ; [12.38461538 10.61538462],0
b5,1,0.366294,0.816198,[14 11] ; [45 23],[15.86021505  9.13978495] ; [43.13978495 24.86021505],0
p8,1,0.392571,0.730964,[11 14] ; [23 44],[ 9.23913043 15.76086957] ; [24.76086957 42.23913043],0
s8,1,0.442309,0.590285,[14 11] ; [44 24],[15.59139785  9.40860215] ; [42.40860215 25.59139785],0
v3,1,0.495498,0.464565,[ 7 17] ; [24 41],[ 8.35955056 15.64044944] ; [22.64044944 42.35955056],0
n6,1,0.497948,0.459306,[17  6] ; [54 13],[18.14444444  4.85555556] ; [52.85555556 14.14444444],0
