Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,33.611919,[58 15] ; [ 9 30],[43.66964286 29.33035714] ; [23.33035714 15.66964286],1
s7,1,1.4e-05,18.86669,[43 25] ; [ 7 30],[32.38095238 35.61904762] ; [17.61904762 19.38095238],1
p10,1,0.000196,13.86751,[58 14] ; [18 21],[49.2972973 22.7027027] ; [26.7027027 12.2972973],1
s6,1,0.000783,11.281582,[49 22] ; [14 25],[40.66363636 30.33636364] ; [22.33636364 16.66363636],1
p8,1,0.000879,11.067289,[52 19] ; [16 23],[43.89090909 27.10909091] ; [24.10909091 14.89090909],1
v2,1,0.001343,10.281859,[41 29] ; [10 28],[33.05555556 36.94444444] ; [17.94444444 20.05555556],0
s8,1,0.003719,8.415938,[35 37] ; [ 8 31],[27.89189189 44.10810811] ; [15.10810811 23.89189189],0
p6,1,0.005721,7.636061,[40 33] ; [10 27],[33.18181818 39.81818182] ; [16.81818182 20.18181818],0
n6,1,0.006379,7.439963,[63 10] ; [25 14],[57.35714286 15.64285714] ; [30.64285714  8.35714286],0
n1,1,0.009108,6.801432,[8 6] ; [ 1 11],[4.84615385 9.15384615] ; [4.15384615 7.84615385],0
b3,1,0.015873,5.816937,[20 28] ; [ 3 20],[15.54929577 32.45070423] ; [ 7.45070423 15.54929577],0
b2,1,0.015873,5.816937,[20 28] ; [ 3 20],[15.54929577 32.45070423] ; [ 7.45070423 15.54929577],0
p9,1,0.023592,5.124368,[57 15] ; [23 16],[51.89189189 20.10810811] ; [28.10810811 10.89189189],0
a1,1,0.030045,4.706714,[ 1 72] ; [ 4 35],[ 3.25892857 69.74107143] ; [ 1.74107143 37.25892857],0
s5,1,0.040934,4.178748,[26 45] ; [ 7 32],[21.3 49.7] ; [11.7 27.3],0
s2,1,0.042244,4.125419,[39 34] ; [13 26],[33.89285714 39.10714286] ; [18.10714286 20.89285714],0
p11,1,0.051568,3.78972,[59 14] ; [25 14],[54.75 18.25] ; [29.25  9.75],0
v3,1,0.064623,3.414564,[28 45] ; [ 8 30],[23.67567568 49.32432432] ; [12.32432432 25.67567568],0
p5,1,0.068455,3.319673,[15 56] ; [ 3 36],[11.61818182 59.38181818] ; [ 6.38181818 32.61818182],0
v1,1,0.092709,2.826691,[38 35] ; [13 24],[33.84545455 39.15454545] ; [17.15454545 19.84545455],0
s4,1,0.106549,2.604675,[14 59] ; [ 3 36],[11.08035714 61.91964286] ; [ 5.91964286 33.08035714],0
d2,1,0.122685,2.382704,[23 50] ; [ 7 32],[19.55357143 53.44642857] ; [10.44642857 28.55357143],0
r4,1,0.141943,2.156763,[61 12] ; [28 11],[58.00892857 14.99107143] ; [30.99107143  8.00892857],0
v4,1,0.162959,1.946551,[66  5] ; [33  6],[63.9  7.1] ; [35.1  3.9],0
r2,1,0.178203,1.812551,[64  8] ; [31  8],[61.62162162 10.37837838] ; [33.37837838  5.62162162],0
n3,1,0.191785,1.703855,[10  4] ; [11  1],[11.30769231  2.69230769] ; [9.69230769 2.30769231],0
p1,1,0.195409,1.676356,[12 61] ; [ 3 36],[ 9.77678571 63.22321429] ; [ 5.22321429 33.77678571],0
s3,1,0.229731,1.442528,[47 26] ; [20 18],[44.06306306 28.93693694] ; [22.93693694 15.06306306],0
r3,1,0.242794,1.364299,[67  6] ; [33  6],[65.17857143  7.82142857] ; [34.82142857  4.17857143],0
a5,1,0.265776,1.23842,[38 35] ; [16 23],[35.19642857 37.80357143] ; [18.80357143 20.19642857],0
a6,1,0.289782,1.120633,[45 28] ; [20 19],[42.36607143 30.63392857] ; [22.63392857 16.36607143],0
a4,1,0.307317,1.042172,[17 55] ; [ 6 33],[14.91891892 57.08108108] ; [ 8.08108108 30.91891892],0
p4,1,0.345791,0.888841,[46 27] ; [21 18],[43.66964286 29.33035714] ; [23.33035714 15.66964286],0
p3,1,0.383293,0.760114,[40 33] ; [18 21],[37.80357143 35.19642857] ; [20.19642857 18.80357143],0
a2,1,0.40805,0.684476,[ 7 66] ; [ 2 37],[ 5.86607143 67.13392857] ; [ 3.13392857 35.86607143],0
d4,1,0.432556,0.61595,[35 37] ; [22 17],[36.97297297 35.02702703] ; [20.02702703 18.97297297],0
r1,1,0.437991,0.601539,[52 21] ; [25 14],[50.1875 22.8125] ; [26.8125 12.1875],0
d1,1,0.545104,0.366161,[ 6 67] ; [ 2 37],[ 5.21428571 67.78571429] ; [ 2.78571429 36.21428571],0
b5,1,0.582981,0.301441,[41 32] ; [24 15],[42.36607143 30.63392857] ; [22.63392857 16.36607143],0
a3,1,0.621606,0.243616,[42 31] ; [20 18],[40.77477477 32.22522523] ; [21.22522523 16.77477477],0
u3,1,0.628449,0.23417,[16 15] ; [ 8 10],[15.18367347 15.81632653] ; [8.81632653 9.18367347],0
b1,1,0.647694,0.20882,[37 36] ; [18 21],[35.84821429 37.15178571] ; [19.15178571 19.84821429],0
b4,1,0.736473,0.113251,[38 35] ; [19 20],[37.15178571 35.84821429] ; [19.84821429 19.15178571],0
p12,1,0.737355,0.112465,[ 7 66] ; [ 3 36],[ 6.51785714 66.48214286] ; [ 3.48214286 35.51785714],0
p2,1,0.744749,0.105997,[60 13] ; [33  6],[60.61607143 12.38392857] ; [32.38392857  6.61607143],0
n2,1,0.793117,0.068783,[10  4] ; [8 4],[9.69230769 4.30769231] ; [8.30769231 3.69230769],0
a8,1,0.806342,0.060098,[ 8 58] ; [ 4 34],[ 7.61538462 58.38461538] ; [ 4.38461538 33.61538462],0
s1,1,0.815623,0.054372,[ 3 69] ; [ 2 37],[ 3.24324324 68.75675676] ; [ 1.75675676 37.24324324],0
u2,1,0.822912,0.050087,[16 14] ; [9 9],[15.625 14.375] ; [9.375 8.625],0
a7,1,0.877897,0.023604,[46 27] ; [24 15],[45.625 27.375] ; [24.375 14.625],0
d3,1,0.883031,0.021646,[31 42] ; [16 23],[30.63392857 42.36607143] ; [16.36607143 22.63392857],0
