Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.5e-05,18.760635,[18 12] ; [12 59],[ 8.91089109 21.08910891] ; [21.08910891 49.91089109],1
s3,1,0.003045,8.780067,[17 12] ; [19 51],[10.54545455 18.45454545] ; [25.45454545 44.54545455],0
p4,1,0.00488,7.923443,[13 18] ; [11 58],[ 7.44 23.56] ; [16.56 52.44],0
v3,1,0.010326,6.57778,[12 18] ; [11 57],[ 7.04081633 22.95918367] ; [15.95918367 52.04081633],0
p9,1,0.01197,6.31536,[20 11] ; [25 42],[14.23469388 16.76530612] ; [30.76530612 36.23469388],0
s7,1,0.013649,6.082991,[12 16] ; [12 53],[ 7.22580645 20.77419355] ; [16.77419355 48.22580645],0
s6,1,0.016149,5.786589,[16 13] ; [21 50],[10.73 18.27] ; [26.27 44.73],0
p11,1,0.020996,5.327119,[19 12] ; [26 45],[13.67647059 17.32352941] ; [31.32352941 39.67647059],0
n2,1,0.021421,5.292173,[11  1] ; [18 15],[7.73333333 4.26666667] ; [21.26666667 11.73333333],0
r1,1,0.027131,4.882483,[23  8] ; [36 35],[17.93137255 13.06862745] ; [41.06862745 29.93137255],0
s8,1,0.030432,4.684719,[11 19] ; [12 59],[ 6.83168317 23.16831683] ; [16.16831683 54.83168317],0
n1,1,0.042254,4.125,[9 3] ; [13 19],[6. 6.] ; [16. 16.],0
r2,1,0.043924,4.059466,[29  2] ; [53 16],[25.42  5.58] ; [56.58 12.42],0
p8,1,0.050098,3.838179,[ 9 22] ; [ 9 61],[ 5.52475248 25.47524752] ; [12.47524752 57.52475248],0
v4,1,0.051725,3.784643,[26  5] ; [46 25],[21.88235294  9.11764706] ; [50.11764706 20.88235294],0
s5,1,0.055616,3.663526,[ 8 19] ; [ 9 60],[ 4.78125 22.21875] ; [12.21875 56.78125],0
a4,1,0.074791,3.174603,[16 14] ; [24 46],[12. 18.] ; [28. 42.],0
p10,1,0.083042,3.004335,[16 15] ; [23 46],[12.09 18.91] ; [26.91 42.09],0
s4,1,0.119198,2.42783,[ 7 23] ; [ 8 63],[ 4.45544554 25.54455446] ; [10.54455446 60.45544554],0
p6,1,0.122404,2.386284,[ 6 25] ; [ 6 64],[ 3.68316832 27.31683168] ; [ 8.31683168 61.68316832],0
p7,1,0.125939,2.341862,[10 19] ; [14 56],[ 7.03030303 21.96969697] ; [16.96969697 53.03030303],0
r4,1,0.146228,2.111159,[23  8] ; [42 29],[19.75490196 11.24509804] ; [45.24509804 25.75490196],0
u3,1,0.147299,2.1,[7 3] ; [14 18],[5. 5.] ; [16. 16.],0
a2,1,0.153192,2.040177,[ 8 23] ; [10 61],[ 5.47058824 25.52941176] ; [12.52941176 58.47058824],0
a3,1,0.181449,1.785714,[21  9] ; [39 31],[18. 12.] ; [42. 28.],0
b3,1,0.195648,1.67457,[11 12] ; [15 32],[ 8.54285714 14.45714286] ; [17.45714286 29.54285714],0
b2,1,0.195648,1.67457,[11 12] ; [15 32],[ 8.54285714 14.45714286] ; [17.45714286 29.54285714],0
n3,1,0.196243,1.670118,[9 3] ; [16 14],[7.14285714 4.85714286] ; [17.85714286 12.14285714],0
b1,1,0.227259,1.457937,[13 18] ; [39 32],[15.80392157 15.19607843] ; [36.19607843 34.80392157],0
n6,1,0.235583,1.406831,[22  9] ; [41 29],[19.33663366 11.66336634] ; [43.66336634 26.33663366],0
d4,1,0.241711,1.37059,[18 13] ; [49 21],[20.56435644 10.43564356] ; [46.43564356 23.56435644],0
a5,1,0.245885,1.346536,[20 11] ; [37 34],[17.32352941 13.67647059] ; [39.67647059 31.32352941],0
r3,1,0.286628,1.135393,[23  8] ; [45 26],[20.66666667 10.33333333] ; [47.33333333 23.66666667],0
p5,1,0.294861,1.097291,[ 4 25] ; [ 5 65],[ 2.63636364 26.36363636] ; [ 6.36363636 63.63636364],0
p1,1,0.366008,0.817174,[ 5 26] ; [ 7 64],[ 3.64705882 27.35294118] ; [ 8.35294118 62.64705882],0
u1,1,0.366008,0.817174,[ 5 26] ; [ 7 64],[ 3.64705882 27.35294118] ; [ 8.35294118 62.64705882],0
p3,1,0.386634,0.749502,[ 9 22] ; [15 56],[ 7.29411765 23.70588235] ; [16.70588235 54.29411765],0
b5,1,0.440172,0.595833,[20 11] ; [40 31],[18.23529412 12.76470588] ; [41.76470588 29.23529412],0
a1,1,0.451859,0.565984,[ 2 29] ; [ 8 63],[ 3.03921569 27.96078431] ; [ 6.96078431 64.03921569],0
a8,1,0.479307,0.500441,[ 2 28] ; [ 8 63],[ 2.97029703 27.02970297] ; [ 7.02970297 63.97029703],0
a7,1,0.542601,0.370741,[15 16] ; [39 32],[16.41176471 14.58823529] ; [37.58823529 33.41176471],0
d5,1,0.627394,0.235611,[17 14] ; [42 28],[18.10891089 12.89108911] ; [40.89108911 29.10891089],0
s1,1,0.641129,0.217268,[ 5 26] ; [ 9 62],[ 4.25490196 26.74509804] ; [ 9.74509804 61.25490196],0
n5,1,0.668543,0.183311,[19 12] ; [46 24],[19.95049505 11.04950495] ; [45.04950495 24.95049505],0
u2,1,0.703004,0.145366,[4 6] ; [15 17],[4.52380952 5.47619048] ; [14.47619048 17.52380952],0
n4,1,0.70555,0.142762,[20 11] ; [43 28],[19.14705882 11.85294118] ; [43.85294118 27.14705882],0
d3,1,0.751606,0.100186,[14 17] ; [34 36],[14.73267327 16.26732673] ; [33.26732673 36.73267327],0
a6,1,0.826102,0.04827,[18 13] ; [39 31],[17.4950495 13.5049505] ; [39.5049505 30.4950495],0
b4,1,0.888448,0.019675,[17 14] ; [40 31],[17.32352941 13.67647059] ; [39.67647059 31.32352941],0
d1,1,0.918026,0.010593,[13 18] ; [29 42],[12.76470588 18.23529412] ; [29.23529412 41.76470588],0
d2,1,0.968439,0.001565,[14 17] ; [31 37],[14.09090909 16.90909091] ; [30.90909091 37.09090909],0
