Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.005103,7.842593,[2 1] ; [ 1 17],[0.42857143 2.57142857] ; [ 2.57142857 15.42857143],0
u2,1,0.023286,5.147059,[2 1] ; [ 2 16],[0.57142857 2.42857143] ; [ 3.42857143 14.57142857],0
p10,1,0.031203,4.641758,[4 1] ; [12 27],[1.81818182 3.18181818] ; [14.18181818 24.81818182],0
p7,1,0.049738,3.850267,[3 2] ; [ 8 32],[1.22222222 3.77777778] ; [ 9.77777778 30.22222222],0
s6,1,0.073818,3.196023,[3 2] ; [ 9 31],[1.33333333 3.66666667] ; [10.66666667 29.33333333],0
p9,1,0.086272,2.942602,[4 1] ; [15 23],[2.20930233 2.79069767] ; [16.79069767 21.20930233],0
p11,1,0.089686,2.88,[4 1] ; [16 24],[2.22222222 2.77777778] ; [17.77777778 22.22222222],0
s7,1,0.133444,2.251969,[2 2] ; [ 7 32],[0.8372093 3.1627907] ; [ 8.1627907 30.8372093],0
r2,1,0.138102,2.198986,[1 4] ; [21 17],[2.55813953 2.44186047] ; [19.44186047 18.55813953],0
v3,1,0.168041,1.900338,[2 3] ; [ 6 34],[0.88888889 4.11111111] ; [ 7.11111111 32.88888889],0
b5,1,0.170481,1.878706,[1 4] ; [21 19],[2.44444444 2.55555556] ; [19.55555556 20.44444444],0
n1,1,0.185877,1.75,[2 1] ; [ 5 13],[1. 2.] ; [ 6. 12.],0
u1,1,0.204894,1.607143,[1 4] ; [ 2 38],[0.33333333 4.66666667] ; [ 2.66666667 37.33333333],0
p6,1,0.223994,1.478596,[1 4] ; [ 2 36],[0.34883721 4.65116279] ; [ 2.65116279 35.34883721],0
p8,1,0.23568,1.40625,[2 3] ; [ 7 33],[1. 4.] ; [ 8. 32.],0
r1,1,0.277006,1.181723,[3 2] ; [14 26],[1.88888889 3.11111111] ; [15.11111111 24.88888889],0
r4,1,0.310494,1.028571,[2 3] ; [ 8 32],[1.11111111 3.88888889] ; [ 8.88888889 31.11111111],0
b4,1,0.332922,0.9375,[4 1] ; [23 17],[3. 2.] ; [24. 16.],0
p5,1,0.354448,0.85747,[1 4] ; [ 3 37],[0.44444444 4.55555556] ; [ 3.55555556 36.44444444],0
s1,1,0.354448,0.85747,[1 4] ; [ 3 37],[0.44444444 4.55555556] ; [ 3.55555556 36.44444444],0
s2,1,0.354448,0.85747,[1 4] ; [ 3 37],[0.44444444 4.55555556] ; [ 3.55555556 36.44444444],0
n2,1,0.368066,0.810185,[2 1] ; [ 7 11],[1.28571429 1.71428571] ; [ 7.71428571 10.28571429],0
n5,1,0.384488,0.756303,[4 1] ; [24 16],[3.11111111 1.88888889] ; [24.88888889 15.11111111],0
d2,1,0.419998,0.650321,[3 2] ; [16 23],[2.15909091 2.84090909] ; [16.84090909 22.15909091],0
b3,1,0.447521,0.576923,[2 2] ; [ 8 18],[1.33333333 2.66666667] ; [ 8.66666667 17.33333333],0
b2,1,0.447521,0.576923,[2 2] ; [ 8 18],[1.33333333 2.66666667] ; [ 8.66666667 17.33333333],0
a3,1,0.487804,0.481368,[2 3] ; [22 17],[2.72727273 2.27272727] ; [21.27272727 17.72727273],0
v2,1,0.497305,0.460684,[2 3] ; [10 29],[1.36363636 3.63636364] ; [10.63636364 28.36363636],0
s5,1,0.502335,0.45,[1 4] ; [ 4 36],[0.55555556 4.44444444] ; [ 4.44444444 35.55555556],0
a8,1,0.518074,0.417725,[1 4] ; [ 4 35],[0.56818182 4.43181818] ; [ 4.43181818 34.56818182],0
p4,1,0.560962,0.338041,[2 3] ; [11 29],[1.44444444 3.55555556] ; [11.55555556 28.44444444],0
a7,1,0.598071,0.277915,[3 2] ; [19 21],[2.44444444 2.55555556] ; [19.55555556 20.44444444],0
b1,1,0.598071,0.277915,[2 3] ; [21 19],[2.55555556 2.44444444] ; [20.44444444 19.55555556],0
p1,1,0.641838,0.216346,[1 4] ; [ 5 35],[0.66666667 4.33333333] ; [ 5.33333333 34.66666667],0
s4,1,0.641838,0.216346,[1 4] ; [ 5 35],[0.66666667 4.33333333] ; [ 5.33333333 34.66666667],0
v1,1,0.76717,0.087663,[2 3] ; [13 26],[1.70454545 3.29545455] ; [13.29545455 25.70454545],0
a4,1,0.76717,0.087663,[2 3] ; [13 26],[1.70454545 3.29545455] ; [13.29545455 25.70454545],0
p2,1,0.857514,0.032234,[2 3] ; [14 25],[1.81818182 3.18181818] ; [14.18181818 24.81818182],0
p3,1,0.890357,0.019003,[1 4] ; [ 7 33],[0.88888889 4.11111111] ; [ 7.11111111 32.88888889],0
d4,1,0.913435,0.011817,[3 2] ; [25 15],[3.11111111 1.88888889] ; [24.88888889 15.11111111],0
a5,1,0.91502,0.011387,[3 2] ; [23 17],[2.88888889 2.11111111] ; [23.11111111 16.88888889],0
d5,1,0.91502,0.011387,[3 2] ; [23 17],[2.88888889 2.11111111] ; [23.11111111 16.88888889],0
