Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.393286,[20 29] ; [63 14],[32.27777778 16.72222222] ; [50.72222222 26.27777778],1
v2,1,0.002157,9.410521,[10 35] ; [37 36],[17.92372881 27.07627119] ; [29.07627119 43.92372881],0
v4,1,0.002894,8.872834,[29 20] ; [64 13],[36.16666667 12.83333333] ; [56.83333333 20.16666667],0
r2,1,0.003209,8.684581,[33 14] ; [69  7],[38.97560976  8.02439024] ; [63.02439024 12.97560976],0
r3,1,0.003214,8.681895,[30 19] ; [65 12],[36.94444444 12.05555556] ; [58.05555556 18.94444444],0
a7,1,0.011875,6.329427,[22 27] ; [52 25],[28.77777778 20.22222222] ; [45.22222222 31.77777778],0
p1,1,0.015964,5.806827,[ 8 41] ; [ 3 74],[ 4.27777778 44.72222222] ; [ 6.72222222 70.27777778],0
s8,1,0.031637,4.618076,[ 6 43] ; [22 55],[10.88888889 38.11111111] ; [17.11111111 59.88888889],0
b2,1,0.034342,4.477582,[15 17] ; [11 35],[10.66666667 21.33333333] ; [15.33333333 30.66666667],0
b3,1,0.034342,4.477582,[15 17] ; [11 35],[10.66666667 21.33333333] ; [15.33333333 30.66666667],0
v3,1,0.034986,4.445881,[ 8 39] ; [25 47],[13.03361345 33.96638655] ; [19.96638655 52.03361345],0
s6,1,0.041988,4.135694,[14 35] ; [36 41],[19.44444444 29.55555556] ; [30.55555556 46.44444444],0
p10,1,0.067393,3.345393,[18 29] ; [42 34],[22.92682927 24.07317073] ; [37.07317073 38.92682927],0
s7,1,0.079796,3.069056,[ 8 38] ; [23 49],[12.08474576 33.91525424] ; [18.91525424 53.08474576],0
a2,1,0.086978,2.929434,[ 5 44] ; [17 60],[ 8.55555556 40.44444444] ; [13.44444444 63.55555556],0
p11,1,0.126062,2.340337,[18 31] ; [39 38],[22.16666667 26.83333333] ; [34.83333333 42.16666667],0
u2,1,0.140526,2.172186,[ 8 14] ; [15 11],[10.54166667 11.45833333] ; [12.45833333 13.54166667],0
a1,1,0.146335,2.110048,[ 7 42] ; [ 5 72],[ 4.66666667 44.33333333] ; [ 7.33333333 69.66666667],0
u1,1,0.155197,2.020408,[ 3 46] ; [11 66],[ 5.44444444 43.55555556] ; [ 8.55555556 68.44444444],0
n4,1,0.159564,1.978356,[27 22] ; [52 25],[30.72222222 18.27777778] ; [48.27777778 28.72222222],0
a4,1,0.194384,1.684072,[15 33] ; [33 44],[18.432 29.568] ; [29.568 47.432],0
d4,1,0.202842,1.621796,[33 16] ; [59 17],[36.064 12.936] ; [55.936 20.064],0
d1,1,0.222589,1.487603,[20 29] ; [40 37],[23.33333333 25.66666667] ; [36.66666667 40.33333333],0
a3,1,0.230369,1.438582,[27 22] ; [50 26],[30.184 18.816] ; [46.816 29.184],0
u3,1,0.247349,1.338213,[ 7 15] ; [13 14],[ 8.97959184 13.02040816] ; [11.02040816 15.97959184],0
s3,1,0.260534,1.265916,[13 35] ; [28 48],[15.87096774 32.12903226] ; [25.12903226 50.87096774],0
p12,1,0.287165,1.132867,[ 2 47] ; [ 7 70],[ 3.5 45.5] ; [ 5.5 71.5],0
p3,1,0.304773,1.053191,[10 39] ; [22 55],[12.44444444 36.55555556] ; [19.55555556 57.44444444],0
n3,1,0.361755,0.83179,[11 11] ; [17 10],[12.57142857  9.42857143] ; [15.42857143 11.57142857],0
