Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.9e-05,17.474855,[46  6] ; [5 9],[40.18181818 11.81818182] ; [10.81818182  3.18181818],1
b1,1,0.007218,7.217779,[11 42] ; [8 6],[15.02985075 37.97014925] ; [ 3.97014925 10.02985075],0
p2,1,0.01129,6.419135,[43  9] ; [7 7],[39.39393939 12.60606061] ; [10.60606061  3.39393939],0
b4,1,0.043392,4.080075,[41 12] ; [7 7],[37.97014925 15.02985075] ; [10.02985075  3.97014925],0
a7,1,0.063969,3.431363,[40 13] ; [7 7],[37.17910448 15.82089552] ; [9.82089552 4.17910448],0
s8,1,0.082417,3.016581,[25 28] ; [ 3 11],[22.14925373 30.85074627] ; [5.85074627 8.14925373],0
s2,1,0.084553,2.975141,[36 17] ; [6 8],[33.2238806 19.7761194] ; [8.7761194 5.2238806],0
n1,1,0.094638,2.793651,[ 5 10] ; [5 2],[6.81818182 8.18181818] ; [3.18181818 3.81818182],0
p11,1,0.164969,1.92808,[37 16] ; [7 7],[34.80597015 18.19402985] ; [9.19402985 4.80597015],0
p4,1,0.254573,1.298032,[25 28] ; [9 5],[26.89552239 26.10447761] ; [7.10447761 6.89552239],0
s1,1,0.274709,1.193079,[ 3 50] ; [ 2 12],[ 3.95522388 49.04477612] ; [ 1.04477612 12.95522388],0
d5,1,0.29219,1.109504,[43 10] ; [13  1],[44.29850746  8.70149254] ; [11.70149254  2.29850746],0
d1,1,0.29545,1.094621,[31 22] ; [6 8],[29.26865672 23.73134328] ; [7.73134328 6.26865672],0
v4,1,0.295932,1.092437,[48  3] ; [12  2],[47.07692308  3.92307692] ; [12.92307692  1.07692308],0
d3,1,0.296407,1.090288,[38 15] ; [8 6],[36.3880597 16.6119403] ; [9.6119403 4.3880597],0
n3,1,0.305507,1.05,[11  4] ; [3 3],[10.  5.] ; [4. 2.],0
s6,1,0.329381,0.951329,[44  9] ; [10  4],[42.71641791 10.28358209] ; [11.28358209  2.71641791],0
u3,1,0.372929,0.793882,[13  8] ; [2 3],[12.11538462  8.88461538] ; [2.88461538 2.11538462],0
a4,1,0.405364,0.692357,[20 33] ; [7 7],[21.35820896 31.64179104] ; [5.64179104 8.35820896],0
d2,1,0.429441,0.624336,[24 29] ; [8 6],[25.31343284 27.68656716] ; [6.68656716 7.31343284],0
d4,1,0.432247,0.616779,[49  4] ; [12  2],[48.25373134  4.74626866] ; [12.74626866  1.25373134],0
v1,1,0.449419,0.572117,[24 27] ; [5 9],[22.75384615 28.24615385] ; [6.24615385 7.75384615],0
p1,1,0.506637,0.441008,[ 7 44] ; [ 1 13],[ 6.27692308 44.72307692] ; [ 1.72307692 12.27692308],0
a6,1,0.506786,0.440698,[28 25] ; [6 8],[26.89552239 26.10447761] ; [7.10447761 6.89552239],0
p7,1,0.554811,0.348768,[30 21] ; [7 7],[29.03076923 21.96923077] ; [7.96923077 6.03076923],0
p8,1,0.567116,0.327532,[23 29] ; [5 9],[22.06060606 29.93939394] ; [5.93939394 8.06060606],0
u1,1,0.569329,0.323807,[ 8 45] ; [ 3 11],[ 8.70149254 44.29850746] ; [ 2.29850746 11.70149254],0
a2,1,0.569329,0.323807,[ 8 45] ; [ 3 11],[ 8.70149254 44.29850746] ; [ 2.29850746 11.70149254],0
r4,1,0.569329,0.323807,[45  8] ; [11  3],[44.29850746  8.70149254] ; [11.70149254  2.29850746],0
v2,1,0.590399,0.289721,[26 27] ; [8 6],[26.89552239 26.10447761] ; [7.10447761 6.89552239],0
n2,1,0.603743,0.269388,[9 6] ; [5 2],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
a8,1,0.614795,0.253252,[ 2 45] ; [ 1 12],[ 2.35 44.65] ; [ 0.65 12.35],0
u2,1,0.618757,0.247619,[11 10] ; [2 3],[10.5 10.5] ; [2.5 2.5],0
n6,1,0.619652,0.246357,[37 15] ; [9 5],[36.24242424 15.75757576] ; [9.75757576 4.24242424],0
