Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.004663,8.005671,[24 68] ; [24 24],[31.54285714 60.45714286] ; [16.45714286 31.54285714],0
r4,1,0.019698,5.438502,[84  8] ; [37 11],[79.51428571 12.48571429] ; [41.48571429  6.51428571],0
p9,1,0.031135,4.645476,[76 14] ; [33 15],[71.08695652 18.91304348] ; [37.91304348 10.08695652],0
p10,1,0.038453,4.284881,[71 19] ; [30 18],[65.86956522 24.13043478] ; [35.13043478 12.86956522],0
a7,1,0.039784,4.227053,[74 18] ; [31 17],[69. 23.] ; [36. 12.],0
u1,1,0.067696,3.33803,[16 76] ; [ 3 45],[12.48571429 79.51428571] ; [ 6.51428571 41.48571429],0
p3,1,0.070679,3.267171,[37 55] ; [27 21],[42.05714286 49.94285714] ; [21.94285714 26.05714286],0
b3,1,0.076399,3.139891,[11 38] ; [12 17],[14.44871795 34.55128205] ; [ 8.55128205 20.44871795],0
b2,1,0.076399,3.139891,[11 38] ; [12 17],[14.44871795 34.55128205] ; [ 8.55128205 20.44871795],0
r2,1,0.076575,3.136141,[84  5] ; [41  7],[81.20437956  7.79562044] ; [43.79562044  4.20437956],0
v4,1,0.078709,3.091356,[87  4] ; [42  6],[84.45323741  6.54676259] ; [44.54676259  3.45323741],0
a4,1,0.098682,2.726722,[40 52] ; [14 34],[35.48571429 56.51428571] ; [18.51428571 29.48571429],0
u2,1,0.112498,2.518776,[18 12] ; [17  4],[20.58823529  9.41176471] ; [14.41176471  6.58823529],0
p1,1,0.145741,2.116276,[ 5 86] ; [ 6 42],[ 7.20143885 83.79856115] ; [ 3.79856115 44.20143885],0
a3,1,0.159886,1.975302,[61 31] ; [26 22],[57.17142857 34.82857143] ; [29.82857143 18.17142857],0
u3,1,0.174125,1.847063,[19 11] ; [17  4],[21.17647059  8.82352941] ; [14.82352941  6.17647059],0
r3,1,0.217357,1.521739,[90  2] ; [45  3],[88.71428571  3.28571429] ; [46.28571429  1.71428571],0
p11,1,0.232258,1.426979,[63 29] ; [28 20],[59.8 32.2] ; [31.2 16.8],0
n4,1,0.244335,1.355407,[38 54] ; [15 33],[34.82857143 57.17142857] ; [18.17142857 29.82857143],0
p4,1,0.285377,1.141304,[43 49] ; [27 21],[46. 46.] ; [24. 24.],0
n1,1,0.314296,1.012535,[ 6 20] ; [ 7 12],[ 7.51111111 18.48888889] ; [ 5.48888889 13.51111111],0
a1,1,0.334875,0.929952,[ 4 88] ; [ 4 44],[ 5.25714286 86.74285714] ; [ 2.74285714 45.25714286],0
n3,1,0.341097,0.906303,[21  5] ; [13  6],[19.64444444  6.35555556] ; [14.35555556  4.64444444],0
s1,1,0.352703,0.863707,[ 5 87] ; [ 1 47],[ 3.94285714 88.05714286] ; [ 2.05714286 45.94285714],0
d1,1,0.354867,0.855978,[50 42] ; [30 18],[52.57142857 39.42857143] ; [27.42857143 20.57142857],0
s2,1,0.363219,0.826733,[59 33] ; [27 21],[56.51428571 35.48571429] ; [29.48571429 18.51428571],0
v1,1,0.430422,0.621684,[35 53] ; [22 25],[37.15555556 50.84444444] ; [19.84444444 27.15555556],0
d5,1,0.431554,0.618638,[76 16] ; [37 11],[74.25714286 17.74285714] ; [38.74285714  9.25714286],0
n2,1,0.466608,0.529996,[18  8] ; [15  4],[19.06666667  6.93333333] ; [13.93333333  5.06666667],0
b4,1,0.490127,0.476248,[61 31] ; [29 19],[59.14285714 32.85714286] ; [30.85714286 17.14285714],0
p6,1,0.495336,0.464914,[28 62] ; [12 35],[26.27737226 63.72262774] ; [13.72262774 33.27737226],0
d3,1,0.499611,0.455763,[70 22] ; [34 14],[68.34285714 23.65714286] ; [35.65714286 12.34285714],0
