Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,30.769507,[1 4] ; [55  2],[4.51612903 0.48387097] ; [51.48387097  5.51612903],1
n6,1,9e-06,19.785805,[2 3] ; [55  2],[4.59677419 0.40322581] ; [52.40322581  4.59677419],1
p8,1,0.001052,10.734178,[2 3] ; [52  5],[4.35483871 0.64516129] ; [49.64516129  7.35483871],0
s2,1,0.012538,6.233151,[1 4] ; [42 15],[3.46774194 1.53225806] ; [39.53225806 17.46774194],0
p6,1,0.020776,5.345455,[1 4] ; [39 16],[3.33333333 1.66666667] ; [36.66666667 18.33333333],0
s5,1,0.027584,4.853888,[1 4] ; [36 16],[3.24561404 1.75438596] ; [33.75438596 18.24561404],0
s6,1,0.036742,4.36233,[3 2] ; [51  5],[4.42622951 0.57377049] ; [49.57377049  6.42622951],0
s3,1,0.036878,4.356057,[2 3] ; [46 11],[3.87096774 1.12903226] ; [44.12903226 12.87096774],0
v1,1,0.03977,4.227687,[2 3] ; [45 11],[3.85245902 1.14754098] ; [43.14754098 12.85245902],0
d5,1,0.130134,2.290904,[3 2] ; [49  8],[4.19354839 0.80645161] ; [47.80645161  9.19354839],0
d2,1,0.140147,2.176345,[1 4] ; [31 26],[2.58064516 2.41935484] ; [29.41935484 27.58064516],0
d1,1,0.19791,1.65773,[2 3] ; [39 18],[3.30645161 1.69354839] ; [37.69354839 19.30645161],0
s7,1,0.219024,1.510758,[4 1] ; [51  3],[4.66101695 0.33898305] ; [50.33898305  3.66101695],0
a4,1,0.23836,1.39027,[1 4] ; [27 30],[2.25806452 2.74193548] ; [25.74193548 31.25806452],0
b2,1,0.240284,1.378929,[1 4] ; [20 22],[2.23404255 2.76595745] ; [18.76595745 23.23404255],0
b3,1,0.240284,1.378929,[1 4] ; [20 22],[2.23404255 2.76595745] ; [18.76595745 23.23404255],0
b5,1,0.349543,0.875114,[3 2] ; [22 35],[2.01612903 2.98387097] ; [22.98387097 34.01612903],0
a6,1,0.393251,0.728865,[2 3] ; [34 23],[2.90322581 2.09677419] ; [33.09677419 23.90322581],0
p4,1,0.415506,0.662991,[4 1] ; [52  5],[4.51612903 0.48387097] ; [51.48387097  5.51612903],0
v3,1,0.61936,0.246769,[2 2] ; [35 21],[2.46666667 1.53333333] ; [34.53333333 21.46666667],0
p12,1,0.698123,0.150432,[1 4] ; [16 41],[1.37096774 3.62903226] ; [15.62903226 41.37096774],0
p7,1,0.743641,0.106952,[4 1] ; [47  8],[4.25 0.75] ; [46.75  8.25],0
d3,1,0.75697,0.095767,[4 1] ; [42 15],[3.70967742 1.29032258] ; [42.29032258 14.70967742],0
p1,1,0.75697,0.095767,[1 4] ; [15 42],[1.29032258 3.70967742] ; [14.70967742 42.29032258],0
u1,1,0.806112,0.060243,[1 4] ; [ 9 48],[0.80645161 4.19354839] ; [ 9.19354839 47.80645161],0
a3,1,0.806112,0.060243,[4 1] ; [48  9],[4.19354839 0.80645161] ; [47.80645161  9.19354839],0
b4,1,0.808884,0.058499,[3 2] ; [31 26],[2.74193548 2.25806452] ; [31.25806452 25.74193548],0
b1,1,0.867451,0.027855,[2 3] ; [25 32],[2.17741935 2.82258065] ; [24.82258065 32.17741935],0
a5,1,0.885549,0.020718,[4 1] ; [44 13],[3.87096774 1.12903226] ; [44.12903226 12.87096774],0
a8,1,0.950781,0.00381,[1 4] ; [10 43],[0.94827586 4.05172414] ; [10.05172414 42.94827586],0
p3,1,0.969622,0.00145,[4 1] ; [46 11],[4.03225806 0.96774194] ; [45.96774194 11.03225806],0
