Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,6.1e-05,16.085481,[ 86 180] ; [38 26],[ 99.95151515 166.04848485] ; [24.04848485 39.95151515],1
p5,1,0.00094,10.942176,[ 26 242] ; [16 48],[ 33.90361446 234.09638554] ; [ 8.09638554 55.90361446],1
s7,1,0.00339,8.584808,[108 152] ; [38 23],[118.25545171 141.74454829] ; [27.74454829 33.25545171],0
p2,1,0.017329,5.662706,[225  45] ; [45 19],[218.26347305  51.73652695] ; [51.73652695 12.26347305],0
s6,1,0.019013,5.500302,[164  98] ; [50 14],[171.98773006  90.01226994] ; [42.01226994 21.98773006],0
u1,1,0.019315,5.472803,[ 32 238] ; [15 50],[ 37.88059701 232.11940299] ; [ 9.11940299 55.88059701],0
b1,1,0.037108,4.34545,[103 167] ; [34 31],[110.41791045 159.58208955] ; [26.58208955 38.41791045],0
n4,1,0.038158,4.297985,[199  70] ; [56  9],[205.3742515  63.6257485] ; [49.6257485 15.3742515],0
s8,1,0.077108,3.124829,[ 96 172] ; [31 34],[102.21021021 165.78978979] ; [24.78978979 40.21021021],0
u2,1,0.105567,2.619357,[45 53] ; [12  6],[48.15517241 49.84482759] ; [8.84482759 9.15517241],0
p3,1,0.107433,2.591586,[113 156] ; [34 30],[118.74774775 150.25225225] ; [28.25225225 35.74774775],0
a3,1,0.144856,2.125603,[171  97] ; [47 17],[175.97590361  92.02409639] ; [42.02409639 21.97590361],0
a1,1,0.148059,2.092137,[  7 263] ; [ 4 61],[  8.86567164 261.13432836] ; [ 2.13432836 62.86567164],0
r1,1,0.164168,1.935412,[187  81] ; [51 14],[191.54354354  76.45645646] ; [46.45645646 18.54354354],0
u3,1,0.180159,1.796314,[48 49] ; [12  6],[50.60869565 46.39130435] ; [9.39130435 8.60869565],0
s2,1,0.188455,1.729651,[120 148] ; [35 30],[124.74474474 143.25525526] ; [30.25525526 34.74474474],0
n2,1,0.195609,1.67486,[55 25] ; [12  2],[57.0212766 22.9787234] ; [9.9787234 4.0212766],0
p1,1,0.232479,1.42563,[ 24 245] ; [ 9 56],[ 26.57784431 242.42215569] ; [ 6.42215569 58.57784431],0
s4,1,0.241647,1.370959,[ 59 206] ; [10 54],[ 55.5775076 209.4224924] ; [13.4224924 50.5775076],0
b4,1,0.255544,1.292735,[154 116] ; [32 33],[149.91044776 120.08955224] ; [36.08955224 28.91044776],0
r4,1,0.268457,1.224614,[231  39] ; [59  6],[233.73134328  36.26865672] ; [56.26865672  8.73134328],0
p9,1,0.27793,1.177185,[214  50] ; [48 16],[210.87804878  53.12195122] ; [51.12195122 12.87804878],0
n5,1,0.28355,1.149996,[207  62] ; [54 11],[210.20658683  58.79341317] ; [50.79341317 14.20658683],0
d3,1,0.290123,1.119052,[163 106] ; [44 21],[166.71556886 102.28443114] ; [40.28443114 24.71556886],0
p6,1,0.306033,1.047717,[ 91 178] ; [26 38],[ 94.51351351 174.48648649] ; [22.48648649 41.51351351],0
