Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,29.905615,[17 35] ; [43  7],[30.58823529 21.41176471] ; [29.41176471 20.58823529],1
p11,1,0.000302,13.058202,[20 32] ; [37 13],[29.05882353 22.94117647] ; [27.94117647 22.05882353],1
v4,1,0.00281,8.927219,[35 17] ; [44  4],[41.08 10.92] ; [37.92 10.08],0
p8,1,0.005256,7.789131,[11 40] ; [24 26],[17.67326733 33.32673267] ; [17.32673267 32.67326733],0
u2,1,0.014692,5.953083,[12 14] ; [17  4],[16.04255319  9.95744681] ; [12.95744681  8.04255319],0
s8,1,0.021157,5.313797,[ 6 46] ; [15 35],[10.70588235 41.29411765] ; [10.29411765 39.70588235],0
r3,1,0.026093,4.949867,[35 17] ; [43  7],[39.76470588 12.23529412] ; [38.23529412 11.76470588],0
v2,1,0.031672,4.616177,[12 38] ; [21 26],[17.01030928 32.98969072] ; [15.98969072 31.01030928],0
p2,1,0.034315,4.47893,[28 24] ; [37 13],[33.1372549 18.8627451] ; [31.8627451 18.1372549],0
d2,1,0.046971,3.946429,[13 39] ; [ 5 45],[ 9.17647059 42.82352941] ; [ 8.82352941 41.17647059],0
p7,1,0.05889,3.568361,[20 32] ; [27 20],[24.68686869 27.31313131] ; [22.31313131 24.68686869],0
a7,1,0.105429,2.621441,[25 27] ; [32 18],[29.05882353 22.94117647] ; [27.94117647 22.05882353],0
n4,1,0.113071,2.510769,[30 22] ; [21 29],[26. 26.] ; [25. 25.],0
u3,1,0.134111,2.244266,[13 14] ; [14  6],[15.5106383 11.4893617] ; [11.4893617  8.5106383],0
r4,1,0.137266,2.208344,[29 23] ; [35 15],[32.62745098 19.37254902] ; [31.37254902 18.62745098],0
d3,1,0.142954,2.145867,[16 36] ; [22 27],[19.56435644 32.43564356] ; [18.43564356 30.56435644],0
a6,1,0.143291,2.142253,[28 24] ; [34 16],[31.60784314 20.39215686] ; [30.39215686 19.60784314],0
n5,1,0.167714,1.903262,[21 31] ; [26 22],[24.44 27.56] ; [22.56 25.44],0
s7,1,0.18757,1.7366,[10 37] ; [16 32],[12.86315789 34.13684211] ; [13.13684211 34.86315789],0
b3,1,0.217681,1.519595,[10 21] ; [ 4 19],[ 8.03703704 22.96296296] ; [ 5.96296296 17.03703704],0
b2,1,0.217681,1.519595,[10 21] ; [ 4 19],[ 8.03703704 22.96296296] ; [ 5.96296296 17.03703704],0
n1,1,0.226765,1.461039,[11 13] ; [3 9],[ 9.33333333 14.66666667] ; [4.66666667 7.33333333],0
n2,1,0.240545,1.377398,[16  8] ; [11  2],[17.51351351  6.48648649] ; [9.48648649 3.51351351],0
v1,1,0.252619,1.308761,[18 34] ; [22 26],[20.8 31.2] ; [19.2 28.8],0
p4,1,0.292047,1.110161,[16 36] ; [20 29],[18.53465347 33.46534653] ; [17.46534653 31.53465347],0
b5,1,0.310275,1.029503,[26 26] ; [30 20],[28.54901961 23.45098039] ; [27.45098039 22.54901961],0
s2,1,0.323326,0.975445,[14 38] ; [18 32],[16.31372549 35.68627451] ; [15.68627451 34.31372549],0
a1,1,0.324204,0.971911,[ 6 46] ; [ 3 47],[ 4.58823529 47.41176471] ; [ 4.41176471 45.58823529],0
s6,1,0.331072,0.9447,[17 35] ; [21 29],[19.37254902 32.62745098] ; [18.62745098 31.37254902],0
a3,1,0.365651,0.81839,[25 26] ; [29 21],[27.26732673 23.73267327] ; [26.73267327 23.26732673],0
r1,1,0.388079,0.744954,[30 22] ; [33 17],[32.11764706 19.88235294] ; [30.88235294 19.11764706],0
s1,1,0.428203,0.627692,[ 4 48] ; [ 2 48],[ 3.05882353 48.94117647] ; [ 2.94117647 47.05882353],0
