Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,86.173926,[ 41 121] ; [226  98],[89. 73.] ; [178. 146.],1
p6,1,0.0,61.225146,[ 26 135] ; [173 152],[65.92386831 95.07613169] ; [133.07613169 191.92386831],1
p2,1,0.0,41.270359,[113  49] ; [300  26],[137.10245902  24.89754098] ; [275.89754098  50.10245902],1
p4,1,2e-06,22.971593,[84 77] ; [241  85],[107.44353183  53.55646817] ; [217.55646817 108.44353183],1
p10,1,2e-06,22.685098,[117  43] ; [292  33],[134.92783505  25.07216495] ; [274.07216495  50.92783505],1
p3,1,4e-06,21.362359,[63 99] ; [199 127],[86.97540984 75.02459016] ; [175.02459016 150.97540984],1
r3,1,0.000193,13.893267,[152  10] ; [323   2],[158.00821355   3.99178645] ; [316.99178645   8.00821355],1
p11,1,0.000478,12.197684,[110  52] ; [268  59],[125.22699387  36.77300613] ; [252.77300613  74.22699387],1
s5,1,0.000546,11.952188,[ 51 104] ; [160 162],[68.5639413 86.4360587] ; [142.4360587 179.5639413],1
p9,1,0.002756,8.962076,[130  30] ; [295  30],[140.20618557  19.79381443] ; [284.79381443  40.20618557],0
n5,1,0.003807,8.373616,[115  47] ; [267  57],[127.33333333  34.66666667] ; [254.66666667  69.33333333],0
s7,1,0.006855,7.310486,[84 72] ; [210 105],[97.37579618 58.62420382] ; [196.62420382 118.37579618],0
p5,1,0.016201,5.780969,[ 13 148] ; [ 52 274],[ 21.48870637 139.51129363] ; [ 43.51129363 282.48870637],0
a8,1,0.018719,5.5276,[ 15 130] ; [ 57 241],[ 23.56659142 121.43340858] ; [ 48.43340858 249.56659142],0
a3,1,0.039834,4.224948,[110  51] ; [251  75],[119.3449692  41.6550308] ; [241.6550308  84.3449692],0
s8,1,0.042152,4.129089,[82 79] ; [197 128],[92.42592593 68.57407407] ; [186.57407407 138.42592593],0
b1,1,0.06575,3.386063,[ 52 110] ; [133 194],[ 61.28834356 100.71165644] ; [123.71165644 203.28834356],0
d3,1,0.071465,3.249052,[108  54] ; [242  83],[116.42710472  45.57289528] ; [233.57289528  91.42710472],0
d4,1,0.077366,3.119384,[130  32] ; [280  44],[136.66666667  25.33333333] ; [273.33333333  50.66666667],0
v1,1,0.078479,3.096124,[80 75] ; [193 128],[88.89705882 66.10294118] ; [184.10294118 136.89705882],0
a1,1,0.10046,2.698229,[  4 158] ; [ 19 308],[  7.6196319 154.3803681] ; [ 15.3803681 311.6196319],0
d5,1,0.110004,2.554161,[131  31] ; [280  44],[137.  25.] ; [274.  50.],0
n1,1,0.120522,2.410524,[23 25] ; [17 35],[19.2 28.8] ; [20.8 31.2],0
b5,1,0.150365,2.068548,[107  55] ; [194 133],[99.71779141 62.28220859] ; [201.28220859 125.71779141],0
r4,1,0.173577,1.851776,[155   7] ; [320   7],[157.36196319   4.63803681] ; [317.63803681   9.36196319],0
n4,1,0.184736,1.759103,[125  37] ; [268  58],[130.46311475  31.53688525] ; [262.53688525  63.46311475],0
b4,1,0.198223,1.655422,[102  60] ; [186 141],[95.41104294 66.58895706] ; [192.58895706 134.41104294],0
s3,1,0.207596,1.588115,[106  51] ; [236  87],[111.8625  45.1375] ; [230.1375  92.8625],0
a4,1,0.208643,1.580815,[71 90] ; [163 162],[77.51851852 83.48148148] ; [156.48148148 168.51851852],0
a2,1,0.222244,1.489821,[ 40 122] ; [ 98 229],[ 45.71779141 116.28220859] ; [ 92.28220859 234.71779141],0
s1,1,0.240287,1.378909,[  9 150] ; [ 11 313],[  6.58385093 152.41614907] ; [ 13.41614907 310.58385093],0
s2,1,0.25534,1.29385,[99 60] ; [220 106],[104.57938144  54.42061856] ; [214.42061856 111.57938144],0
a5,1,0.259004,1.274075,[121  41] ; [259  68],[125.88957055  36.11042945] ; [254.11042945  72.88957055],0
v4,1,0.263139,1.252168,[155   7] ; [317   8],[157.01026694   4.98973306] ; [314.98973306  10.01026694],0
n6,1,0.298431,1.081191,[138  24] ; [285  37],[141.58264463  20.41735537] ; [281.41735537  40.58264463],0
v2,1,0.36772,0.811355,[86 67] ; [192 125],[90.49787234 62.50212766] ; [187.50212766 129.49787234],0
a7,1,0.39699,0.717424,[117  45] ; [247  79],[120.83606557  41.16393443] ; [243.16393443  82.83606557],0
p12,1,0.457336,0.552406,[ 20 142] ; [ 33 293],[ 17.5942623 144.4057377] ; [ 35.4057377 290.5942623],0
s4,1,0.465413,0.532846,[ 30 129] ; [ 70 252],[ 33.05613306 125.94386694] ; [ 66.94386694 255.05613306],0
d1,1,0.502911,0.448788,[98 64] ; [208 119],[101.37423313  60.62576687] ; [204.62576687 122.37423313],0
r2,1,0.532047,0.390481,[159   3] ; [314   9],[157.99175258   4.00824742] ; [315.00824742   7.99175258],0
u1,1,0.583193,0.301101,[ 36 126] ; [ 80 247],[ 38.42944785 123.57055215] ; [ 77.57055215 249.42944785],0
p1,1,0.664222,0.188436,[ 17 145] ; [ 30 294],[ 15.66666667 146.33333333] ; [ 31.33333333 292.66666667],0
n2,1,0.68949,0.159638,[37 12] ; [41 11],[37.84158416 11.15841584] ; [40.15841584 11.84158416],0
u2,1,0.711529,0.136755,[32 19] ; [44 30],[31.008 19.992] ; [44.992 29.008],0
b2,1,0.724995,0.123757,[34 58] ; [ 79 123],[35.36054422 56.63945578] ; [ 77.63945578 124.36054422],0
b3,1,0.724995,0.123757,[34 58] ; [ 79 123],[35.36054422 56.63945578] ; [ 77.63945578 124.36054422],0
n3,1,0.728982,0.120048,[36 13] ; [39 12],[36.75 12.25] ; [38.25 12.75],0
a6,1,0.729401,0.119662,[113  49] ; [221 103],[111.33333333  50.66666667] ; [222.66666667 101.33333333],0
v3,1,0.778598,0.079044,[63 91] ; [134 183],[64.4118896 89.5881104] ; [132.5881104 184.4118896],0
u3,1,0.798022,0.065489,[34 18] ; [50 24],[34.66666667 17.33333333] ; [49.33333333 24.66666667],0
d2,1,0.819844,0.051868,[84 77] ; [166 159],[82.81893004 78.18106996] ; [167.18106996 157.81893004],0
u4,1,0.834809,0.043488,[  5 157] ; [  9 318],[  4.63803681 157.36196319] ; [  9.36196319 317.63803681],0
