Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,30.47521,[ 8 71] ; [21 15],[19.92173913 59.07826087] ; [ 9.07826087 26.92173913],1
s6,1,7.7e-05,15.619851,[15 64] ; [20 16],[24.04347826 54.95652174] ; [10.95652174 25.04347826],1
s8,1,0.000134,14.580927,[ 6 73] ; [13 23],[13.05217391 65.94782609] ; [ 5.94782609 30.05217391],1
s7,1,0.001319,10.315632,[13 61] ; [16 18],[19.87037037 54.12962963] ; [ 9.12962963 24.87037037],0
a6,1,0.027774,4.842053,[33 46] ; [23 13],[38.46956522 40.53043478] ; [17.53043478 18.46956522],0
d4,1,0.031563,4.622102,[45 34] ; [28  8],[50.14782609 28.85217391] ; [22.85217391 13.14782609],0
p9,1,0.045772,3.989984,[37 38] ; [25 11],[41.89189189 33.10810811] ; [20.10810811 15.89189189],0
p7,1,0.052361,3.764186,[23 52] ; [17 17],[27.52293578 47.47706422] ; [12.47706422 21.52293578],0
b3,1,0.088645,2.898808,[18 24] ; [ 5 18],[14.86153846 27.13846154] ; [ 8.13846154 14.86153846],0
b2,1,0.088645,2.898808,[18 24] ; [ 5 18],[14.86153846 27.13846154] ; [ 8.13846154 14.86153846],0
u2,1,0.098025,2.737379,[11 24] ; [7 5],[13.40425532 21.59574468] ; [4.59574468 7.40425532],0
r3,1,0.148539,2.087191,[38 39] ; [23 13],[41.56637168 35.43362832] ; [19.43362832 16.56637168],0
p11,1,0.162761,1.948382,[35 44] ; [21 15],[38.46956522 40.53043478] ; [17.53043478 18.46956522],0
p3,1,0.165079,1.927078,[15 62] ; [11 24],[17.875 59.125] ; [ 8.125 26.875],0
d3,1,0.181417,1.785975,[35 43] ; [21 15],[38.31578947 39.68421053] ; [17.68421053 18.31578947],0
d1,1,0.183896,1.765857,[25 54] ; [16 20],[28.16521739 50.83478261] ; [12.83478261 23.16521739],0
s1,1,0.189497,1.721524,[ 5 73] ; [ 5 31],[ 6.84210526 71.15789474] ; [ 3.15789474 32.84210526],0
n1,1,0.198273,1.655052,[13 28] ; [8 8],[15.10526316 25.89473684] ; [ 5.89473684 10.10526316],0
d2,1,0.199955,1.642705,[25 53] ; [16 20],[28.05263158 49.94736842] ; [12.94736842 23.05263158],0
a3,1,0.244685,1.353397,[43 35] ; [24 12],[45.84210526 32.15789474] ; [21.15789474 14.84210526],0
a4,1,0.253989,1.301227,[22 56] ; [14 22],[24.63157895 53.36842105] ; [11.36842105 24.63157895],0
p2,1,0.270831,1.212536,[38 38] ; [22 14],[40.71428571 35.28571429] ; [19.28571429 16.71428571],0
n6,1,0.293114,1.105263,[46 30] ; [18 18],[43.42857143 32.57142857] ; [20.57142857 15.42857143],0
p10,1,0.339866,0.910936,[37 39] ; [21 15],[39.35714286 36.64285714] ; [18.64285714 17.35714286],0
v1,1,0.360216,0.83714,[24 53] ; [14 21],[26.125 50.875] ; [11.875 23.125],0
b1,1,0.398456,0.712982,[44 35] ; [17 19],[41.90434783 37.09565217] ; [19.09565217 16.90434783],0
u3,1,0.401031,0.705233,[10 25] ; [5 7],[11.17021277 23.82978723] ; [3.82978723 8.17021277],0
d5,1,0.408694,0.682596,[44 35] ; [23 13],[46.02608696 32.97391304] ; [20.97391304 15.02608696],0
b5,1,0.426347,0.632754,[42 37] ; [22 14],[43.96521739 35.03478261] ; [20.03478261 15.96521739],0
s4,1,0.449921,0.570852,[11 68] ; [ 7 29],[12.36521739 66.63478261] ; [ 5.63478261 30.36521739],0
b4,1,0.473005,0.514946,[43 36] ; [17 19],[41.2173913 37.7826087] ; [18.7826087 17.2173913],0
r2,1,0.474563,0.511332,[39 35] ; [21 14],[40.73394495 33.26605505] ; [19.26605505 15.73394495],0
r1,1,0.484928,0.487759,[19 59] ; [11 25],[20.52631579 57.47368421] ; [ 9.47368421 26.52631579],0
v4,1,0.496885,0.461583,[46 32] ; [23 12],[47.62831858 30.37168142] ; [21.37168142 13.62831858],0
p4,1,0.601934,0.272089,[24 53] ; [13 23],[25.21238938 51.78761062] ; [11.78761062 24.21238938],0
u1,1,0.690162,0.15891,[ 6 73] ; [ 2 34],[ 5.49565217 73.50434783] ; [ 2.50434783 33.49565217],0
