Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,3.3e-05,17.236269,[37  2] ; [1 3],[34.46511628  4.53488372] ; [3.53488372 0.46511628],1
a5,1,0.027462,4.861507,[30  9] ; [1 3],[28.11627907 10.88372093] ; [2.88372093 1.11627907],0
p2,1,0.031874,4.605263,[34  4] ; [2 2],[32.57142857  5.42857143] ; [3.42857143 0.57142857],0
a6,1,0.040652,4.19045,[29 10] ; [1 3],[27.20930233 11.79069767] ; [2.79069767 1.20930233],0
s1,1,0.042434,4.117808,[ 1 38] ; [1 3],[ 1.81395349 37.18604651] ; [0.18604651 3.81395349],0
n6,1,0.067564,3.341223,[37  2] ; [2 1],[36.21428571  2.78571429] ; [2.78571429 0.21428571],0
s3,1,0.093138,2.819283,[12 25] ; [3 1],[13.53658537 23.46341463] ; [1.46341463 2.53658537],0
s5,1,0.112832,2.514107,[23 12] ; [1 3],[21.53846154 13.46153846] ; [2.46153846 1.53846154],0
a8,1,0.179848,1.79888,[ 2 32] ; [1 3],[ 2.68421053 31.31578947] ; [0.31578947 3.68421053],0
v1,1,0.203628,1.616162,[21 15] ; [1 3],[19.8 16.2] ; [2.2 1.8],0
p6,1,0.249014,1.328828,[21 17] ; [1 3],[19.9047619 18.0952381] ; [2.0952381 1.9047619],0
v4,1,0.267625,1.228878,[35  3] ; [3 1],[34.38095238  3.61904762] ; [3.61904762 0.38095238],0
b3,1,0.350807,0.870536,[13 13] ; [1 3],[12.13333333 13.86666667] ; [1.86666667 2.13333333],0
b2,1,0.350807,0.870536,[13 13] ; [1 3],[12.13333333 13.86666667] ; [1.86666667 2.13333333],0
v3,1,0.36757,0.811862,[18 19] ; [1 3],[17.14634146 19.85365854] ; [1.85365854 2.14634146],0
r3,1,0.395194,0.722902,[34  4] ; [3 1],[33.47619048  4.52380952] ; [3.52380952 0.47619048],0
p8,1,0.434401,0.611027,[27 12] ; [2 2],[26.30232558 12.69767442] ; [2.69767442 1.30232558],0
a3,1,0.434401,0.611027,[27 12] ; [2 2],[26.30232558 12.69767442] ; [2.69767442 1.30232558],0
r1,1,0.457244,0.552632,[26 12] ; [2 2],[25.33333333 12.66666667] ; [2.66666667 1.33333333],0
a4,1,0.472921,0.515142,[17 22] ; [1 3],[16.3255814 22.6744186] ; [1.6744186 2.3255814],0
d3,1,0.472921,0.515142,[22 17] ; [3 1],[22.6744186 16.3255814] ; [2.3255814 1.6744186],0
s7,1,0.481518,0.495424,[12 25] ; [2 2],[12.63414634 24.36585366] ; [1.36585366 2.63414634],0
a1,1,0.503178,0.448227,[ 5 34] ; [1 3],[ 5.44186047 33.55813953] ; [0.55813953 3.44186047],0
a7,1,0.505366,0.443651,[26 13] ; [2 2],[25.39534884 13.60465116] ; [2.60465116 1.39534884],0
s2,1,0.530736,0.392982,[13 25] ; [2 2],[13.57142857 24.42857143] ; [1.42857143 2.57142857],0
u2,1,0.648807,0.207407,[8 4] ; [1 1],[7.71428571 4.28571429] ; [1.28571429 0.71428571],0
b1,1,0.728973,0.120057,[16 23] ; [2 2],[16.3255814 22.6744186] ; [1.6744186 2.3255814],0
r4,1,0.729995,0.119116,[32  7] ; [3 1],[31.74418605  7.25581395] ; [3.25581395 0.74418605],0
b4,1,0.734814,0.114737,[26 13] ; [3 1],[26.30232558 12.69767442] ; [2.69767442 1.30232558],0
r2,1,0.749934,0.101587,[31  7] ; [3 1],[30.76190476  7.23809524] ; [3.23809524 0.76190476],0
d1,1,0.80579,0.060448,[22 17] ; [2 2],[21.76744186 17.23255814] ; [2.23255814 1.76744186],0
p1,1,0.810899,0.057249,[12 27] ; [1 3],[11.79069767 27.20930233] ; [1.20930233 2.79069767],0
s6,1,0.853988,0.033868,[24 10] ; [3 1],[24.15789474  9.84210526] ; [2.84210526 1.15789474],0
d2,1,0.883232,0.021572,[21 18] ; [2 2],[20.86046512 18.13953488] ; [2.13953488 1.86046512],0
u1,1,0.930907,0.007517,[ 9 30] ; [1 3],[ 9.06976744 29.93023256] ; [0.93023256 3.06976744],0
d4,1,0.930907,0.007517,[30  9] ; [3 1],[29.93023256  9.06976744] ; [3.06976744 0.93023256],0
d5,1,0.977675,0.000783,[29 10] ; [3 1],[29.02325581  9.97674419] ; [2.97674419 1.02325581],0
