Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.300135,[48 11] ; [ 3 11],[41.21917808 17.78082192] ; [9.78082192 4.21917808],1
r2,1,0.012307,6.266045,[51  8] ; [8 6],[47.68493151 11.31506849] ; [11.31506849  2.68493151],0
u3,1,0.012691,6.211635,[16  6] ; [1 5],[13.35714286  8.64285714] ; [3.64285714 2.35714286],0
d5,1,0.014304,6.000233,[45 14] ; [6 8],[41.21917808 17.78082192] ; [9.78082192 4.21917808],0
p9,1,0.01958,5.448989,[31 24] ; [ 3 11],[27.10144928 27.89855072] ; [6.89855072 7.10144928],0
p10,1,0.019929,5.418068,[32 25] ; [ 3 11],[28.09859155 28.90140845] ; [6.90140845 7.09859155],0
r3,1,0.030417,4.685589,[52  7] ; [9 5],[49.30136986  9.69863014] ; [11.69863014  2.30136986],0
p1,1,0.04532,4.006677,[ 3 56] ; [ 3 11],[ 4.84931507 54.15068493] ; [ 1.15068493 12.84931507],0
r1,1,0.066171,3.375527,[37 22] ; [5 9],[33.94520548 25.05479452] ; [8.05479452 5.94520548],0
d2,1,0.110582,2.545881,[24 35] ; [9 5],[26.67123288 32.32876712] ; [6.32876712 7.67123288],0
s2,1,0.147371,2.099252,[25 34] ; [ 3 11],[22.63013699 36.36986301] ; [5.36986301 8.63013699],0
n2,1,0.162111,1.954422,[18 10] ; [2 4],[16.47058824 11.52941176] ; [3.52941176 2.47058824],0
s1,1,0.163036,1.94584,[ 5 54] ; [ 3 11],[ 6.46575342 52.53424658] ; [ 1.53424658 12.46575342],0
b5,1,0.167071,1.909032,[41 18] ; [7 7],[38.79452055 20.20547945] ; [9.20547945 4.79452055],0
n6,1,0.173411,1.853208,[33 26] ; [5 9],[30.71232877 28.28767123] ; [7.28767123 6.71232877],0
b4,1,0.200422,1.639299,[31 28] ; [10  4],[33.1369863 25.8630137] ; [7.8630137 6.1369863],0
v1,1,0.217533,1.520574,[23 36] ; [ 3 11],[21.01369863 37.98630137] ; [4.98630137 9.01369863],0
u2,1,0.262125,1.257498,[13  9] ; [2 4],[11.78571429 10.21428571] ; [3.21428571 2.78571429],0
n5,1,0.292436,1.108374,[21 37] ; [ 3 11],[19.33333333 38.66666667] ; [4.66666667 9.33333333],0
n1,1,0.338352,0.916667,[ 8 19] ; [3 3],[ 9. 18.] ; [2. 4.],0
a6,1,0.364832,0.821193,[29 30] ; [5 9],[27.47945205 31.52054795] ; [6.52054795 7.47945205],0
s4,1,0.442584,0.589572,[14 45] ; [ 2 12],[12.93150685 46.06849315] ; [ 3.06849315 10.93150685],0
v2,1,0.556142,0.346428,[24 30] ; [5 9],[23.02941176 30.97058824] ; [5.97058824 8.02941176],0
v3,1,0.569015,0.324333,[13 43] ; [4 9],[13.79710145 42.20289855] ; [3.20289855 9.79710145],0
p11,1,0.569709,0.323169,[26 33] ; [5 9],[25.05479452 33.94520548] ; [5.94520548 8.05479452],0
s7,1,0.644717,0.212626,[13 40] ; [4 9],[13.65151515 39.34848485] ; [3.34848485 9.65151515],0
s3,1,0.648937,0.207242,[25 34] ; [5 9],[24.24657534 34.75342466] ; [5.75342466 8.24657534],0
d4,1,0.662684,0.190279,[43 16] ; [11  3],[43.64383562 15.35616438] ; [10.35616438  3.64383562],0
d3,1,0.671649,0.179679,[29 30] ; [6 8],[28.28767123 30.71232877] ; [6.71232877 7.28767123],0
s6,1,0.674126,0.176813,[28 29] ; [6 8],[27.29577465 29.70422535] ; [6.70422535 7.29577465],0
p6,1,0.68285,0.166935,[11 47] ; [ 2 12],[10.47222222 47.52777778] ; [ 2.52777778 11.47222222],0
p8,1,0.692211,0.156702,[15 44] ; [4 9],[15.56944444 43.43055556] ; [3.43055556 9.56944444],0
a3,1,0.700051,0.148418,[37 22] ; [8 6],[36.36986301 22.63013699] ; [8.63013699 5.36986301],0
b1,1,0.756386,0.096242,[28 31] ; [6 8],[27.47945205 31.52054795] ; [6.52054795 7.47945205],0
a4,1,0.789996,0.070924,[23 36] ; [6 8],[23.43835616 35.56164384] ; [5.56164384 8.43835616],0
n3,1,0.7903,0.070714,[15 13] ; [3 2],[15.27272727 12.72727273] ; [2.72727273 2.27272727],0
s5,1,0.812563,0.056226,[14 41] ; [ 4 10],[14.34782609 40.65217391] ; [ 3.65217391 10.34782609],0
p4,1,0.833232,0.044335,[19 39] ; [5 9],[19.33333333 38.66666667] ; [4.66666667 9.33333333],0
b3,1,0.849286,0.036111,[ 9 21] ; [3 6],[ 9.23076923 20.76923077] ; [2.76923077 6.23076923],0
b2,1,0.849286,0.036111,[ 9 21] ; [3 6],[ 9.23076923 20.76923077] ; [2.76923077 6.23076923],0
p7,1,0.857494,0.032244,[18 40] ; [ 4 10],[17.72222222 40.27777778] ; [4.27777778 9.72222222],0
a7,1,0.864079,0.029304,[31 28] ; [7 7],[30.71232877 28.28767123] ; [7.28767123 6.71232877],0
d1,1,0.881564,0.022197,[24 35] ; [6 8],[24.24657534 34.75342466] ; [5.75342466 8.24657534],0
a5,1,0.934588,0.006736,[33 26] ; [8 6],[33.1369863 25.8630137] ; [7.8630137 6.1369863],0
a2,1,0.943346,0.00505,[ 8 51] ; [ 2 12],[ 8.08219178 50.91780822] ; [ 1.91780822 12.08219178],0
p3,1,0.951278,0.003733,[12 46] ; [ 3 11],[12.08333333 45.91666667] ; [ 2.91666667 11.08333333],0
