Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,49.286589,[324  12] ; [77 27],[306.21818182  29.78181818] ; [94.78181818  9.21818182],1
r3,1,0.0,44.067773,[324  13] ; [78 26],[307.19727891  29.80272109] ; [94.80272109  9.19727891],1
p8,1,0.0,40.704119,[166 168] ; [15 89],[138.02283105 195.97716895] ; [42.97716895 61.02283105],1
p10,1,0.0,40.363662,[285  54] ; [55 47],[261.36054422  77.63945578] ; [78.63945578 23.36054422],1
p9,1,0.0,39.977082,[285  50] ; [56 45],[262.00688073  72.99311927] ; [78.99311927 22.00688073],1
p4,1,0.0,34.627952,[189 150] ; [23 79],[162.96598639 176.03401361] ; [49.03401361 52.96598639],1
p7,1,0.0,32.991555,[195 143] ; [25 75],[169.7716895 168.2283105] ; [50.2283105 49.7716895],1
r4,1,0.0,31.74624,[308  32] ; [71 33],[290.22522523  49.77477477] ; [88.77477477 15.22522523],1
p11,1,0.0,26.478811,[284  56] ; [62 42],[264.95495495  75.04504505] ; [81.04504505 22.95495495],1
s6,1,4.8e-05,16.524176,[220 113] ; [45 58],[202.39678899 130.60321101] ; [62.60321101 40.39678899],1
v1,1,9e-05,15.338915,[175 153] ; [31 69],[157.86915888 170.13084112] ; [48.13084112 51.86915888],1
d5,1,0.000187,13.952818,[285  55] ; [69 34],[271.69300226  68.30699774] ; [82.30699774 20.69300226],1
a1,1,0.000407,12.499215,[ 10 330] ; [12 92],[ 16.84684685 323.15315315] ; [ 5.15315315 98.84684685],1
n6,1,0.002702,8.998473,[291  46] ; [76 27],[281.08863636  55.91136364] ; [85.91136364 17.08863636],0
s5,1,0.0067,7.351678,[ 99 232] ; [16 83],[ 88.52325581 242.47674419] ; [26.47674419 72.52325581],0
s2,1,0.006956,7.284372,[163 173] ; [34 68],[151.12328767 184.87671233] ; [45.87671233 56.12328767],0
v2,1,0.00882,6.858976,[183 141] ; [42 59],[171.52941176 152.47058824] ; [53.47058824 47.52941176],0
p3,1,0.015414,5.868515,[153 186] ; [33 71],[142.33408578 196.66591422] ; [43.66591422 60.33408578],0
r1,1,0.015556,5.852386,[274  63] ; [73 31],[265.16780045  71.83219955] ; [81.83219955 22.16780045],0
b1,1,0.01585,5.819396,[125 215] ; [52 52],[135.54054054 204.45945946] ; [41.45945946 62.54054054],0
s1,1,0.019937,5.417394,[  9 325] ; [ 8 95],[ 12.99313501 321.00686499] ; [ 4.00686499 98.99313501],0
s3,1,0.026312,4.935407,[187 146] ; [44 57],[177.24193548 155.75806452] ; [53.75806452 47.24193548],0
r2,1,0.027115,4.883468,[315  21] ; [87 13],[309.79816514  26.20183486] ; [92.20183486  7.79816514],0
a5,1,0.033307,4.529927,[261  79] ; [69 35],[252.7027027  87.2972973] ; [77.2972973 26.7027027],0
u4,1,0.033731,4.50831,[  3 337] ; [  4 100],[  5.36036036 334.63963964] ; [  1.63963964 102.36036036],0
s7,1,0.048387,3.896482,[151 173] ; [35 64],[142.46808511 181.53191489] ; [43.53191489 55.46808511],0
b5,1,0.050628,3.820523,[213 127] ; [54 50],[204.45945946 135.54054054] ; [62.54054054 41.45945946],0
d3,1,0.067826,3.334857,[225 115] ; [58 45],[217.20090293 122.79909707] ; [65.79909707 37.20090293],0
d4,1,0.123279,2.375162,[274  65] ; [76 27],[268.43891403  70.56108597] ; [81.56108597 21.43891403],0
n3,1,0.137297,2.207991,[47 16] ; [23 15],[43.66336634 19.33663366] ; [26.33663366 11.66336634],0
n1,1,0.167228,1.907621,[25 36] ; [22 18],[28.38613861 32.61386139] ; [18.61386139 21.38613861],0
