Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.498901,[1 7] ; [68  7],[6.65060241 1.34939759] ; [62.34939759 12.65060241],1
r2,1,0.00016,14.254436,[4 3] ; [72  3],[6.48780488 0.51219512] ; [69.51219512  5.48780488],1
s4,1,0.000522,12.033863,[4 4] ; [ 6 69],[0.96385542 7.03614458] ; [ 9.03614458 65.96385542],1
p5,1,0.017643,5.631231,[2 6] ; [ 3 72],[0.48192771 7.51807229] ; [ 4.51807229 70.48192771],0
r1,1,0.027515,4.858177,[3 5] ; [56 19],[5.68674699 2.31325301] ; [53.31325301 21.68674699],0
b1,1,0.032147,4.590655,[6 2] ; [27 48],[3.18072289 4.81927711] ; [29.81927711 45.18072289],0
n4,1,0.054876,3.685855,[4 4] ; [60 15],[6.1686747 1.8313253] ; [57.8313253 17.1686747],0
s7,1,0.080862,3.047481,[5 2] ; [27 45],[2.83544304 4.16455696] ; [29.16455696 42.83544304],0
s2,1,0.090942,2.857614,[4 4] ; [17 58],[2.02409639 5.97590361] ; [18.97590361 56.02409639],0
n6,1,0.133023,2.256868,[5 3] ; [63 12],[6.55421687 1.44578313] ; [61.44578313 13.55421687],0
d4,1,0.166433,1.914783,[4 4] ; [55 20],[5.68674699 2.31325301] ; [53.31325301 21.68674699],0
p9,1,0.16928,1.889308,[5 3] ; [62 13],[6.45783133 1.54216867] ; [60.54216867 14.45783133],0
a3,1,0.20696,1.592565,[4 4] ; [53 21],[5.56097561 2.43902439] ; [51.43902439 22.56097561],0
p3,1,0.250832,1.318663,[3 5] ; [44 31],[4.53012048 3.46987952] ; [42.46987952 32.53012048],0
d2,1,0.269975,1.216875,[2 6] ; [34 41],[3.46987952 4.53012048] ; [32.53012048 42.46987952],0
p11,1,0.30086,1.070377,[5 3] ; [59 16],[6.1686747 1.8313253] ; [57.8313253 17.1686747],0
n5,1,0.311912,1.022564,[7 1] ; [53 22],[5.78313253 2.21686747] ; [54.21686747 20.78313253],0
v3,1,0.33985,0.910998,[2 6] ; [31 42],[3.25925926 4.74074074] ; [29.74074074 43.25925926],0
d1,1,0.355076,0.855232,[3 5] ; [41 34],[4.24096386 3.75903614] ; [39.75903614 35.24096386],0
n1,1,0.374857,0.7875,[3 2] ; [ 6 10],[2.14285714 2.85714286] ; [6.85714286 9.14285714],0
b4,1,0.394232,0.725848,[3 5] ; [40 35],[4.14457831 3.85542169] ; [38.85542169 36.14457831],0
b5,1,0.40733,0.686581,[6 2] ; [45 30],[4.91566265 3.08433735] ; [46.08433735 28.91566265],0
p12,1,0.418032,0.655842,[1 7] ; [ 4 71],[0.48192771 7.51807229] ; [ 4.51807229 70.48192771],0
u2,1,0.446248,0.580165,[3 1] ; [12 10],[2.30769231 1.69230769] ; [12.69230769  9.30769231],0
p8,1,0.447483,0.577018,[6 2] ; [46 29],[5.01204819 2.98795181] ; [46.98795181 28.01204819],0
p10,1,0.515186,0.423521,[5 3] ; [55 20],[5.78313253 2.21686747] ; [54.21686747 20.78313253],0
s3,1,0.573172,0.317405,[3 5] ; [21 54],[2.31325301 5.68674699] ; [21.68674699 53.31325301],0
d5,1,0.590117,0.290162,[5 3] ; [53 21],[5.65853659 2.34146341] ; [52.34146341 21.65853659],0
u1,1,0.592166,0.286974,[2 6] ; [13 62],[1.44578313 6.55421687] ; [13.55421687 61.44578313],0
d3,1,0.598412,0.277397,[6 2] ; [48 25],[5.33333333 2.66666667] ; [48.66666667 24.33333333],0
p4,1,0.63247,0.228726,[6 2] ; [50 25],[5.39759036 2.60240964] ; [50.60240964 24.39759036],0
b2,1,0.646587,0.21023,[4 2] ; [25 19],[3.48 2.52] ; [25.52 18.48],0
b3,1,0.646587,0.21023,[4 2] ; [25 19],[3.48 2.52] ; [25.52 18.48],0
p7,1,0.660014,0.193507,[6 1] ; [59 16],[5.54878049 1.45121951] ; [59.45121951 15.54878049],0
n2,1,0.677856,0.172549,[4 1] ; [12  5],[3.63636364 1.36363636] ; [12.36363636  4.63636364],0
s8,1,0.692019,0.156908,[3 5] ; [23 52],[2.5060241 5.4939759] ; [23.4939759 51.5060241],0
a6,1,0.692019,0.156908,[5 3] ; [52 23],[5.4939759 2.5060241] ; [51.5060241 23.4939759],0
a4,1,0.724361,0.124353,[3 5] ; [33 42],[3.46987952 4.53012048] ; [32.53012048 42.46987952],0
v2,1,0.731283,0.117937,[5 3] ; [41 32],[4.54320988 3.45679012] ; [41.45679012 31.54320988],0
a2,1,0.810937,0.057225,[2 6] ; [16 59],[1.73493976 6.26506024] ; [16.26506024 58.73493976],0
a7,1,0.826412,0.048095,[6 2] ; [58 16],[6.24390244 1.75609756] ; [57.75609756 16.24390244],0
v1,1,0.85749,0.032246,[4 4] ; [40 35],[4.24096386 3.75903614] ; [39.75903614 35.24096386],0
u3,1,0.866784,0.028139,[2 2] ; [10 12],[1.84615385 2.15384615] ; [10.15384615 11.84615385],0
a5,1,0.873056,0.025529,[5 3] ; [49 26],[5.20481928 2.79518072] ; [48.79518072 26.20481928],0
n3,1,0.904552,0.014379,[4 1] ; [14  3],[4.09090909 0.90909091] ; [13.90909091  3.09090909],0
