Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.314392,[196  68] ; [28 37],[179.74468085  84.25531915] ; [44.25531915 20.74468085],1
p10,1,4e-06,21.414602,[214  48] ; [36 30],[199.69512195  62.30487805] ; [50.30487805 15.69512195],1
r3,1,0.00026,13.339405,[254   9] ; [56 10],[247.81155015  15.18844985] ; [62.18844985  3.81155015],1
p9,1,0.000382,12.618583,[225  38] ; [44 22],[215.03647416  47.96352584] ; [53.96352584 12.03647416],1
n4,1,0.000676,11.553819,[203  61] ; [37 29],[192.  72.] ; [48. 18.],1
b1,1,0.002633,9.045523,[ 84 181] ; [34 32],[ 94.47129909 170.52870091] ; [23.52870091 42.47129909],0
p11,1,0.005119,7.837041,[202  63] ; [39 27],[192.94561934  72.05438066] ; [48.05438066 17.94561934],0
s6,1,0.015097,5.905161,[174  89] ; [33 33],[165.47416413  97.52583587] ; [41.52583587 24.47416413],0
d5,1,0.015426,5.867199,[219  45] ; [46 20],[212.  52.] ; [53. 13.],0
s7,1,0.026884,4.898218,[117 139] ; [18 42],[109.36708861 146.63291139] ; [25.63291139 34.36708861],0
v2,1,0.03177,4.610889,[141 113] ; [25 37],[133.43037975 120.56962025] ; [32.56962025 29.43037975],0
b2,1,0.032847,4.553729,[64 96] ; [ 7 27],[ 58.55670103 101.44329897] ; [12.44329897 21.55670103],0
b3,1,0.032847,4.553729,[64 96] ; [ 7 27],[ 58.55670103 101.44329897] ; [12.44329897 21.55670103],0
a2,1,0.049037,3.874081,[ 71 194] ; [10 56],[ 64.8489426 200.1510574] ; [16.1510574 49.8489426],0
s5,1,0.052756,3.751645,[ 81 177] ; [12 51],[ 74.74766355 183.25233645] ; [18.25233645 44.74766355],0
r4,1,0.053311,3.734138,[230  35] ; [51 15],[224.96978852  40.03021148] ; [56.03021148  9.96978852],0
p4,1,0.057625,3.604445,[139 126] ; [26 40],[132.09969789 132.90030211] ; [32.90030211 33.09969789],0
u2,1,0.059825,3.542223,[37 37] ; [16  6],[40.85416667 33.14583333] ; [12.14583333  9.85416667],0
s2,1,0.064957,3.406062,[136 125] ; [26 40],[129.30275229 131.69724771] ; [32.69724771 33.30275229],0
v3,1,0.071357,3.251527,[ 89 169] ; [14 48],[ 83.04375 174.95625] ; [19.95625 42.04375],0
d1,1,0.073618,3.200456,[145 120] ; [28 38],[138.50453172 126.49546828] ; [34.49546828 31.50453172],0
p6,1,0.088723,2.897387,[ 75 188] ; [12 54],[ 69.54711246 193.45288754] ; [17.45288754 48.54711246],0
a5,1,0.095691,2.775933,[185  80] ; [39 27],[179.33534743  85.66465257] ; [44.66465257 21.33534743],0
n1,1,0.107817,2.585927,[25 46] ; [ 4 19],[21.90425532 49.09574468] ; [ 7.09574468 15.90425532],0
r1,1,0.128641,2.308823,[202  61] ; [44 21],[197.25  65.75] ; [48.75 16.25],0
d2,1,0.14374,2.137454,[126 137] ; [25 41],[120.70820669 142.29179331] ; [30.29179331 35.70820669],0
s8,1,0.175266,1.837317,[100 165] ; [19 47],[ 95.27190332 169.72809668] ; [23.72809668 42.27190332],0
a4,1,0.184372,1.762023,[124 140] ; [25 41],[119.2 144.8] ; [29.8 36.2],0
p12,1,0.194019,1.686834,[ 14 251] ; [ 1 64],[ 12.04545455 252.95454545] ; [ 2.95454545 62.04545455],0
u1,1,0.235776,1.405674,[ 53 212] ; [ 9 57],[ 49.63746224 215.36253776] ; [12.36253776 53.63746224],0
r2,1,0.285562,1.140426,[245  18] ; [58  7],[242.95426829  20.04573171] ; [60.04573171  4.95426829],0
a3,1,0.305814,1.048667,[189  75] ; [43 23],[185.6  78.4] ; [46.4 19.6],0
u3,1,0.371064,0.800097,[41 34] ; [15  8],[42.85714286 32.14285714] ; [13.14285714  9.85714286],0
p3,1,0.406617,0.688671,[103 162] ; [22 44],[100.0755287 164.9244713] ; [24.9244713 41.0755287],0
v1,1,0.417704,0.656765,[126 129] ; [28 36],[123.10344828 131.89655172] ; [30.89655172 33.10344828],0
v4,1,0.440707,0.594442,[250  14] ; [59  5],[248.70731707  15.29268293] ; [60.29268293  3.70731707],0
s4,1,0.450052,0.570522,[ 38 225] ; [12 54],[ 39.96960486 223.03039514] ; [10.03039514 55.96960486],0
n3,1,0.490024,0.476474,[56 16] ; [17  7],[54.75 17.25] ; [18.25  5.75],0
p7,1,0.504533,0.445388,[129 133] ; [29 36],[126.59327217 135.40672783] ; [31.40672783 33.59327217],0
d4,1,0.535873,0.383243,[206  58] ; [53 12],[207.82978723  56.17021277] ; [51.17021277 13.82978723],0
b4,1,0.550754,0.355968,[158 107] ; [42 24],[160.12084592 104.87915408] ; [39.87915408 26.12084592],0
a8,1,0.552115,0.353542,[ 31 207] ; [ 6 53],[ 29.64983165 208.35016835] ; [ 7.35016835 51.64983165],0
s3,1,0.560086,0.339556,[147 114] ; [34 31],[144.91104294 116.08895706] ; [36.08895706 28.91104294],0
a1,1,0.593939,0.284235,[  7 258] ; [ 1 65],[  6.40483384 258.59516616] ; [ 1.59516616 64.40483384],0
n2,1,0.659794,0.193774,[50 20] ; [16  8],[49.14893617 20.85106383] ; [16.85106383  7.14893617],0
d3,1,0.665253,0.187205,[182  82] ; [43 22],[180.54711246  83.45288754] ; [44.45288754 20.54711246],0
a7,1,0.727624,0.121304,[189  74] ; [46 20],[187.85714286  75.14285714] ; [47.14285714 18.85714286],0
p5,1,0.803334,0.062018,[ 14 250] ; [ 3 63],[ 13.6 250.4] ; [ 3.4 62.6],0
a6,1,0.842217,0.039624,[188  77] ; [46 20],[187.34138973  77.65861027] ; [46.65861027 19.34138973],0
s1,1,0.865778,0.028569,[  7 253] ; [ 2 63],[  7.2 252.8] ; [ 1.8 63.2],0
b5,1,0.892322,0.018324,[171  94] ; [42 24],[170.52870091  94.47129909] ; [42.47129909 23.52870091],0
p1,1,0.922219,0.009533,[ 13 252] ; [ 3 62],[ 12.84848485 252.15151515] ; [ 3.15151515 61.84848485],0
