Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.052659,[ 1 15] ; [76 19],[11.0990991  4.9009009] ; [65.9009009 29.0990991],1
r3,1,1e-06,24.501903,[ 5 11] ; [82 13],[12.54054054  3.45945946] ; [74.45945946 20.54054054],1
a1,1,1.9e-05,18.256028,[ 4 12] ; [ 1 94],[ 0.72072072 15.27927928] ; [ 4.27927928 90.72072072],1
r2,1,3.8e-05,16.984182,[7 9] ; [83 12],[12.97297297  3.02702703] ; [77.02702703 17.97297297],1
p11,1,0.00045,12.313265,[ 4 12] ; [67 28],[10.23423423  5.76576577] ; [60.76576577 34.23423423],1
p10,1,0.000854,11.120674,[ 3 12] ; [61 32],[8.88888889 6.11111111] ; [55.11111111 37.88888889],1
n6,1,0.000863,11.10106,[ 6 10] ; [74 21],[11.53153153  4.46846847] ; [68.46846847 26.53153153],1
p9,1,0.001086,10.675131,[ 4 11] ; [64 27],[9.62264151 5.37735849] ; [58.37735849 32.62264151],0
p2,1,0.001935,9.609855,[ 6 10] ; [72 23],[11.24324324  4.75675676] ; [66.75675676 28.24324324],0
n2,1,0.005904,7.579517,[3 8] ; [23  8],[6.80952381 4.19047619] ; [19.19047619 11.80952381],0
p7,1,0.008016,7.02989,[ 4 12] ; [57 37],[8.87272727 7.12727273] ; [52.12727273 41.87272727],0
n3,1,0.009614,6.70507,[4 7] ; [23  6],[7.425 3.575] ; [19.575  9.425],0
p8,1,0.011051,6.457131,[ 2 13] ; [45 48],[6.52777778 8.47222222] ; [40.47222222 52.52777778],0
r1,1,0.014712,5.950645,[ 4 12] ; [55 40],[8.5045045 7.4954955] ; [50.4954955 44.5045045],0
s7,1,0.027149,4.881324,[ 1 14] ; [31 57],[ 4.66019417 10.33980583] ; [27.33980583 60.66019417],0
u2,1,0.03246,4.574042,[ 1 10] ; [23 30],[4.125 6.875] ; [19.875 33.125],0
u3,1,0.041429,4.158372,[ 1 10] ; [22 31],[3.953125 7.046875] ; [19.046875 33.953125],0
s6,1,0.048994,3.875571,[ 4 12] ; [48 45],[7.63302752 8.36697248] ; [44.36697248 48.63302752],0
s8,1,0.056434,3.639204,[ 1 15] ; [27 67],[ 4.07272727 11.92727273] ; [23.92727273 70.07272727],0
d5,1,0.060529,3.522828,[ 3 13] ; [41 53],[6.4 9.6] ; [37.6 56.4],0
s5,1,0.082506,3.014835,[ 1 15] ; [24 68],[ 3.7037037 12.2962963] ; [21.2962963 70.7037037],0
v3,1,0.092479,2.830692,[ 1 15] ; [23 68],[ 3.58878505 12.41121495] ; [20.41121495 70.58878505],0
s1,1,0.101441,2.682739,[ 2 14] ; [ 3 90],[ 0.73394495 15.26605505] ; [ 4.26605505 88.73394495],0
p3,1,0.113111,2.510211,[ 3 13] ; [37 57],[ 5.81818182 10.18181818] ; [34.18181818 59.81818182],0
n5,1,0.119079,2.429396,[14  2] ; [65 30],[11.38738739  4.61261261] ; [67.61261261 27.38738739],0
p4,1,0.12912,2.303048,[ 4 12] ; [43 52],[6.77477477 9.22522523] ; [40.22522523 54.77477477],0
v2,1,0.151699,2.055085,[ 2 13] ; [28 61],[ 4.32692308 10.67307692] ; [25.67307692 63.32692308],0
a6,1,0.256304,1.28861,[7 9] ; [56 39],[9.08108108 6.91891892] ; [53.91891892 41.08108108],0
b1,1,0.256304,1.28861,[9 7] ; [39 56],[6.91891892 9.08108108] ; [41.08108108 53.91891892],0
a7,1,0.315737,1.006522,[ 6 10] ; [48 46],[7.85454545 8.14545455] ; [46.14545455 47.85454545],0
b2,1,0.374313,0.789298,[3 6] ; [10 40],[1.98305085 7.01694915] ; [11.01694915 38.98305085],0
b3,1,0.374313,0.789298,[3 6] ; [10 40],[1.98305085 7.01694915] ; [11.01694915 38.98305085],0
a3,1,0.428705,0.626329,[ 5 10] ; [42 53],[6.40909091 8.59090909] ; [40.59090909 54.40909091],0
n1,1,0.475263,0.509713,[5 6] ; [10 20],[4.02439024 6.97560976] ; [10.97560976 19.02439024],0
