Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.009344,6.755844,[ 4 10] ; [16  6],[7.77777778 6.22222222] ; [12.22222222  9.77777778],0
p8,1,0.032175,4.589161,[4 9] ; [ 1 21],[ 1.85714286 11.14285714] ; [ 3.14285714 18.85714286],0
p11,1,0.048398,3.896104,[6 8] ; [ 3 19],[ 3.5 10.5] ; [ 5.5 16.5],0
d5,1,0.101848,2.67637,[5 9] ; [14  8],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
p7,1,0.120347,2.412801,[5 9] ; [ 3 19],[ 3.11111111 10.88888889] ; [ 4.88888889 17.11111111],0
b3,1,0.131707,2.272269,[1 6] ; [8 9],[2.625 4.375] ; [ 6.375 10.625],0
b2,1,0.131707,2.272269,[1 6] ; [8 9],[2.625 4.375] ; [ 6.375 10.625],0
r3,1,0.132967,2.257514,[8 6] ; [ 7 15],[5.83333333 8.16666667] ; [ 9.16666667 12.83333333],0
n3,1,0.161192,1.96301,[4 3] ; [3 9],[2.57894737 4.42105263] ; [4.42105263 7.57894737],0
r2,1,0.163187,1.944444,[6 8] ; [14  7],[8. 6.] ; [12.  9.],0
d3,1,0.269887,1.217321,[5 9] ; [12 10],[6.61111111 7.38888889] ; [10.38888889 11.61111111],0
s5,1,0.296715,1.088898,[ 3 11] ; [ 2 20],[ 1.94444444 12.05555556] ; [ 3.05555556 18.94444444],0
p6,1,0.324127,0.972222,[ 2 12] ; [ 1 20],[ 1.2 12.8] ; [ 1.8 19.2],0
b5,1,0.341533,0.904668,[8 6] ; [ 9 13],[6.61111111 7.38888889] ; [10.38888889 11.61111111],0
b1,1,0.341533,0.904668,[6 8] ; [13  9],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
a4,1,0.383057,0.76087,[6 8] ; [ 6 15],[4.8 9.2] ; [ 7.2 13.8],0
s6,1,0.39638,0.719281,[5 9] ; [ 5 17],[ 3.88888889 10.11111111] ; [ 6.11111111 15.88888889],0
a6,1,0.400394,0.707143,[5 9] ; [11 11],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],0
n1,1,0.443939,0.586081,[2 6] ; [5 7],[2.8 5.2] ; [4.2 7.8],0
p4,1,0.464795,0.534323,[ 4 10] ; [ 4 18],[ 3.11111111 10.88888889] ; [ 4.88888889 17.11111111],0
p3,1,0.532706,0.389227,[ 2 12] ; [ 5 17],[ 2.72222222 11.27777778] ; [ 4.27777778 17.72222222],0
r4,1,0.532706,0.389227,[ 2 12] ; [ 5 17],[ 2.72222222 11.27777778] ; [ 4.27777778 17.72222222],0
p1,1,0.5456,0.36526,[ 1 13] ; [ 3 19],[ 1.55555556 12.44444444] ; [ 2.44444444 19.55555556],0
s7,1,0.556664,0.345513,[ 3 10] ; [ 3 17],[ 2.36363636 10.63636364] ; [ 3.63636364 16.36363636],0
d1,1,0.563341,0.333952,[5 9] ; [10 12],[5.83333333 8.16666667] ; [ 9.16666667 12.83333333],0
d2,1,0.580758,0.305011,[8 6] ; [10 11],[7.2 6.8] ; [10.8 10.2],0
a5,1,0.59256,0.286364,[7 7] ; [ 9 13],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],0
p10,1,0.628745,0.233766,[ 2 12] ; [ 2 20],[ 1.55555556 12.44444444] ; [ 2.44444444 19.55555556],0
d4,1,0.628745,0.233766,[10  4] ; [14  8],[9.33333333 4.66666667] ; [14.66666667  7.33333333],0
a2,1,0.628745,0.233766,[ 2 12] ; [ 2 20],[ 1.55555556 12.44444444] ; [ 2.44444444 19.55555556],0
a3,1,0.677726,0.172697,[7 7] ; [12  9],[7.6 6.4] ; [11.4  9.6],0
u2,1,0.681777,0.168132,[2 5] ; [2 8],[1.64705882 5.35294118] ; [2.35294118 7.64705882],0
n2,1,0.690328,0.15873,[2 6] ; [4 8],[2.4 5.6] ; [3.6 8.4],0
v2,1,0.693012,0.155844,[ 4 10] ; [ 5 17],[ 3.5 10.5] ; [ 5.5 16.5],0
s3,1,0.766242,0.088384,[ 4 10] ; [ 7 14],[4.4 9.6] ; [ 6.6 14.4],0
u3,1,0.787221,0.072857,[1 6] ; [1 9],[0.82352941 6.17647059] ; [1.17647059 8.82352941],0
v3,1,0.810366,0.057578,[ 3 11] ; [ 4 18],[ 2.72222222 11.27777778] ; [ 4.27777778 17.72222222],0
p2,1,0.810366,0.057578,[ 3 11] ; [ 4 18],[ 2.72222222 11.27777778] ; [ 4.27777778 17.72222222],0
a7,1,0.878482,0.023377,[6 8] ; [10 12],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],0
r1,1,0.878482,0.023377,[6 8] ; [10 12],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],0
n6,1,0.886436,0.020396,[5 9] ; [ 8 13],[5.2 8.8] ; [ 7.8 13.2],0
b4,1,0.907988,0.013358,[8 6] ; [13  9],[8.16666667 5.83333333] ; [12.83333333  9.16666667],0
v1,1,0.927197,0.008349,[ 3 11] ; [ 5 17],[ 3.11111111 10.88888889] ; [ 4.88888889 17.11111111],0
s2,1,0.927197,0.008349,[ 3 11] ; [ 5 17],[ 3.11111111 10.88888889] ; [ 4.88888889 17.11111111],0
s4,1,0.956201,0.003016,[ 2 12] ; [ 3 19],[ 1.94444444 12.05555556] ; [ 3.05555556 18.94444444],0
s1,1,0.956201,0.003016,[ 2 12] ; [ 3 19],[ 1.94444444 12.05555556] ; [ 3.05555556 18.94444444],0
