Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,5e-06,20.881045,[306  20] ; [25 10],[298.90858726  27.09141274] ; [32.09141274  2.90858726],1
a5,1,0.000573,11.86013,[257  70] ; [19 17],[248.62809917  78.37190083] ; [27.37190083  8.62809917],1
v3,1,0.003911,8.324513,[156 159] ; [ 8 26],[148.02292264 166.97707736] ; [15.97707736 18.02292264],0
d1,1,0.004157,8.214051,[224 104] ; [16 20],[216.26373626 111.73626374] ; [23.73626374 12.26373626],0
p3,1,0.004994,7.88177,[188 137] ; [12 24],[180.05540166 144.94459834] ; [19.94459834 16.05540166],0
s4,1,0.007447,7.161824,[ 63 259] ; [14 22],[ 69.25698324 252.74301676] ; [ 7.74301676 28.25698324],0
d2,1,0.008682,6.887112,[183 142] ; [12 24],[175.55401662 149.44598338] ; [19.44598338 16.55401662],0
s7,1,0.008757,6.871698,[241  74] ; [19 15],[234.67048711  80.32951289] ; [25.32951289  8.67048711],0
u1,1,0.010234,6.593737,[ 80 248] ; [ 2 34],[ 73.89010989 254.10989011] ; [ 8.10989011 27.89010989],0
r1,1,0.01387,6.054648,[280  48] ; [25 11],[274.83516484  53.16483516] ; [30.16483516  5.83516484],0
a4,1,0.016117,5.790077,[169 158] ; [11 25],[162.14876033 164.85123967] ; [17.85123967 18.14876033],0
d5,1,0.024864,5.033356,[274  51] ; [25 11],[269.18282548  55.81717452] ; [29.81717452  6.18282548],0
p5,1,0.027614,4.851982,[ 54 269] ; [ 1 35],[ 49.48467967 273.51532033] ; [ 5.51532033 30.48467967],0
n1,1,0.029337,4.747703,[29 31] ; [ 2 11],[25.47945205 34.52054795] ; [5.52054795 7.47945205],0
p4,1,0.033327,4.528916,[228  97] ; [19 17],[222.36842105 102.63157895] ; [24.63157895 11.36842105],0
p2,1,0.047364,3.932395,[284  42] ; [27  9],[280.0718232  45.9281768] ; [30.9281768  5.0718232],0
a2,1,0.050428,3.827186,[ 96 232] ; [ 5 31],[ 91.01098901 236.98901099] ; [ 9.98901099 26.01098901],0
a3,1,0.062362,3.473425,[261  65] ; [24 12],[256.65745856  69.34254144] ; [28.34254144  7.65745856],0
p12,1,0.075325,3.162996,[ 42 284] ; [ 1 35],[ 38.72375691 287.27624309] ; [ 4.27624309 31.72375691],0
