Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.028391,4.804183,[2 4] ; [ 11 133],[0.52 5.48] ; [ 12.48 131.52],0
s8,1,0.063183,3.451797,[4 2] ; [ 44 100],[1.92 4.08] ; [46.08 97.92],0
p4,1,0.071083,3.257838,[5 1] ; [65 77],[2.83783784 3.16216216] ; [67.16216216 74.83783784],0
s5,1,0.076665,3.134217,[3 3] ; [ 27 109],[1.26760563 4.73239437] ; [ 28.73239437 107.26760563],0
p3,1,0.137149,2.209664,[4 2] ; [52 90],[2.27027027 3.72972973] ; [53.72972973 88.27027027],0
p7,1,0.14238,2.152046,[5 1] ; [74 66],[3.24657534 2.75342466] ; [75.75342466 64.24657534],0
b4,1,0.159121,1.982557,[5 1] ; [78 66],[3.32 2.68] ; [79.68 64.32],0
s2,1,0.184259,1.762933,[1 5] ; [63 80],[2.57718121 3.42281879] ; [61.42281879 81.57718121],0
v3,1,0.185248,1.755009,[3 3] ; [34 99],[1.5971223 4.4028777] ; [35.4028777 97.5971223],0
a2,1,0.2372,1.397156,[2 4] ; [ 22 122],[0.96 5.04] ; [ 23.04 120.96],0
p10,1,0.248609,1.331103,[5 1] ; [85 57],[3.64864865 2.35135135] ; [86.35135135 55.64864865],0
s3,1,0.282401,1.155499,[2 4] ; [79 63],[3.28378378 2.71621622] ; [77.71621622 64.28378378],0
a5,1,0.313961,1.013937,[5 1] ; [91 53],[3.84 2.16] ; [92.16 51.84],0
b5,1,0.313961,1.013937,[5 1] ; [91 53],[3.84 2.16] ; [92.16 51.84],0
a6,1,0.341288,0.905588,[3 3] ; [98 45],[4.06711409 1.93288591] ; [96.93288591 46.06711409],0
d1,1,0.350262,0.872507,[4 2] ; [68 76],[2.88 3.12] ; [69.12 74.88],0
s7,1,0.383747,0.758664,[3 3] ; [44 90],[2.01428571 3.98571429] ; [44.98571429 89.01428571],0
b2,1,0.393239,0.728904,[2 3] ; [19 63],[1.20689655 3.79310345] ; [19.79310345 62.20689655],0
b3,1,0.393239,0.728904,[2 3] ; [19 63],[1.20689655 3.79310345] ; [19.79310345 62.20689655],0
b1,1,0.404657,0.694444,[4 2] ; [71 73],[3. 3.] ; [72. 72.],0
a4,1,0.420544,0.648793,[3 3] ; [49 95],[2.08 3.92] ; [49.92 94.08],0
v2,1,0.424354,0.638225,[4 2] ; [67 67],[3.04285714 2.95714286] ; [67.95714286 66.04285714],0
s6,1,0.536803,0.381496,[4 2] ; [77 66],[3.26174497 2.73825503] ; [77.73825503 65.26174497],0
r1,1,0.561538,0.337048,[4 2] ; [110  33],[4.59060403 1.40939597] ; [109.40939597  33.59060403],0
v4,1,0.593363,0.285123,[5 1] ; [127  14],[5.3877551 0.6122449] ; [126.6122449  14.3877551],0
d2,1,0.594833,0.282859,[3 3] ; [56 87],[2.37583893 3.62416107] ; [56.62416107 86.37583893],0
n5,1,0.629943,0.232138,[3 3] ; [57 85],[2.43243243 3.56756757] ; [57.56756757 84.43243243],0
d5,1,0.636523,0.223319,[5 1] ; [107  36],[4.51006711 1.48993289] ; [107.48993289  35.51006711],0
v1,1,0.702995,0.145375,[3 3] ; [59 81],[2.54794521 3.45205479] ; [59.45205479 80.54794521],0
p8,1,0.713551,0.134756,[2 4] ; [58 84],[2.43243243 3.56756757] ; [57.56756757 84.43243243],0
p6,1,0.792703,0.069065,[1 4] ; [ 35 104],[1.25 3.75] ; [ 34.75 104.25],0
a3,1,0.862708,0.029904,[4 2] ; [91 53],[3.8 2.2] ; [91.2 52.8],0
p11,1,0.889538,0.01929,[4 2] ; [92 52],[3.84 2.16] ; [92.16 51.84],0
r4,1,0.964881,0.001939,[5 1] ; [119  25],[4.96 1.04] ; [119.04  24.96],0
n4,1,0.973406,0.001111,[3 3] ; [73 71],[3.04 2.96] ; [72.96 71.04],0
s4,1,1.0,0.0,[1 5] ; [ 24 120],[1. 5.] ; [ 24. 120.],0
a7,1,1.0,0.0,[4 2] ; [96 48],[4. 2.] ; [96. 48.],0
