Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.288651,[27  4] ; [48 79],[14.71518987 16.28481013] ; [60.28481013 66.71518987],1
p8,1,0.001018,10.794425,[21 11] ; [44 86],[12.83950617 19.16049383] ; [52.16049383 77.83950617],0
p4,1,0.007075,7.253909,[18 14] ; [40 90],[11.45679012 20.54320988] ; [46.54320988 83.45679012],0
b1,1,0.007346,7.186455,[17 15] ; [37 94],[10.60122699 21.39877301] ; [43.39877301 87.60122699],0
u2,1,0.014035,6.033762,[13  5] ; [24 37],[8.43037975 9.56962025] ; [28.56962025 32.43037975],0
a8,1,0.024594,5.052256,[ 3 28] ; [  2 120],[ 1.0130719 29.9869281] ; [  3.9869281 118.0130719],0
p3,1,0.041389,4.160009,[13 19] ; [ 30 101],[ 8.44171779 23.55828221] ; [34.55828221 96.44171779],0
b3,1,0.052816,3.749737,[ 6 10] ; [ 9 49],[ 3.24324324 12.75675676] ; [11.75675676 46.24324324],0
b2,1,0.052816,3.749737,[ 6 10] ; [ 9 49],[ 3.24324324 12.75675676] ; [11.75675676 46.24324324],0
a1,1,0.056371,3.641064,[ 3 29] ; [  3 128],[ 1.17791411 30.82208589] ; [  4.82208589 126.17791411],0
s2,1,0.056688,3.631712,[15 17] ; [38 92],[10.4691358 21.5308642] ; [42.5308642 87.4691358],0
p11,1,0.060047,3.536081,[25  7] ; [79 52],[20.41717791 11.58282209] ; [83.58282209 47.41717791],0
b5,1,0.090175,2.871251,[24  8] ; [77 54],[19.82822086 12.17177914] ; [81.17177914 49.82822086],0
s8,1,0.103804,2.646112,[ 7 24] ; [ 15 116],[ 4.20987654 26.79012346] ; [ 17.79012346 113.20987654],0
p5,1,0.119262,2.426984,[ 3 29] ; [  4 125],[ 1.39130435 30.60869565] ; [  5.60869565 123.39130435],0
r3,1,0.131549,2.274126,[31  1] ; [115  16],[28.66257669  3.33742331] ; [117.33742331  13.66257669],0
r4,1,0.143396,2.14113,[27  5] ; [94 37],[23.75460123  8.24539877] ; [97.24539877 33.75460123],0
s6,1,0.167174,1.908106,[17 13] ; [56 75],[13.60248447 16.39751553] ; [59.39751553 71.60248447],0
p12,1,0.24418,1.356299,[ 2 30] ; [  3 128],[ 0.98159509 31.01840491] ; [  4.01840491 126.98159509],0
d3,1,0.255964,1.290458,[21  9] ; [77 54],[18.26086957 11.73913043] ; [79.73913043 51.26086957],0
p2,1,0.272752,1.202855,[25  7] ; [88 41],[22.45962733  9.54037267] ; [90.54037267 38.45962733],0
d2,1,0.294472,1.09906,[ 7 25] ; [41 90],[ 9.42331288 22.57668712] ; [38.57668712 92.42331288],0
a3,1,0.344372,0.894087,[14 18] ; [69 61],[16.39506173 15.60493827] ; [66.60493827 63.39506173],0
p10,1,0.345804,0.888797,[22 10] ; [77 52],[19.67701863 12.32298137] ; [79.32298137 49.67701863],0
v3,1,0.357348,0.847192,[ 5 26] ; [30 96],[ 6.91082803 24.08917197] ; [28.08917197 97.91082803],0
a7,1,0.361852,0.831455,[23  8] ; [86 45],[20.85802469 10.14197531] ; [88.14197531 42.85802469],0
a4,1,0.428885,0.625841,[10 22] ; [32 99],[ 8.24539877 23.75460123] ; [33.75460123 97.24539877],0
s4,1,0.431994,0.617457,[ 7 25] ; [ 21 110],[ 5.49693252 26.50306748] ; [ 22.50306748 108.49693252],0
b4,1,0.45895,0.548453,[16 16] ; [75 56],[17.86503067 14.13496933] ; [73.13496933 57.86503067],0
n2,1,0.469655,0.522787,[9 3] ; [32 18],[7.93548387 4.06451613] ; [33.06451613 16.93548387],0
n3,1,0.496116,0.463235,[7 5] ; [35 16],[8. 4.] ; [34. 17.],0
r1,1,0.525289,0.403497,[19 13] ; [85 45],[20.54320988 11.45679012] ; [83.45679012 46.54320988],0
a5,1,0.556388,0.345997,[15 17] ; [69 62],[16.49079755 15.50920245] ; [67.50920245 63.49079755],0
a2,1,0.598383,0.277442,[ 2 30] ; [ 12 119],[ 2.74846626 29.25153374] ; [ 11.25153374 119.74846626],0
v2,1,0.60971,0.260598,[15 16] ; [55 72],[13.73417722 17.26582278] ; [56.26582278 70.73417722],0
d4,1,0.665626,0.186761,[23  9] ; [99 32],[23.95092025  8.04907975] ; [98.04907975 32.95092025],0
n1,1,0.677929,0.172466,[3 9] ; [10 41],[2.47619048 9.52380952] ; [10.52380952 40.47619048],0
s1,1,0.695069,0.153653,[ 2 30] ; [  6 125],[ 1.57055215 30.42944785] ; [  6.42944785 124.57055215],0
d1,1,0.700638,0.147809,[12 20] ; [54 77],[12.95705521 19.04294479] ; [53.04294479 77.95705521],0
n6,1,0.707319,0.14097,[19 12] ; [85 46],[19.90123457 11.09876543] ; [84.09876543 46.90123457],0
n5,1,0.758166,0.094796,[11 21] ; [41 89],[10.27160494 21.72839506] ; [41.72839506 88.27160494],0
a6,1,0.759329,0.093858,[20 12] ; [78 53],[19.2392638 12.7607362] ; [78.7607362 52.2392638],0
p9,1,0.770501,0.085101,[23  9] ; [90 40],[22.32098765  9.67901235] ; [90.67901235 39.32098765],0
s5,1,0.840152,0.040682,[ 7 24] ; [ 27 102],[ 6.5875 24.4125] ; [ 27.4125 101.5875],0
v1,1,0.841965,0.039753,[11 20] ; [43 85],[10.52830189 20.47169811] ; [43.47169811 84.52830189],0
r2,1,0.842166,0.03965,[28  4] ; [112  18],[27.65432099  4.34567901] ; [112.34567901  17.65432099],0
u3,1,0.868258,0.027513,[10  8] ; [32 28],[9.69230769 8.30769231] ; [32.30769231 27.69230769],0
v4,1,0.905351,0.014138,[29  3] ; [116  13],[28.81987578  3.18012422] ; [116.18012422  12.81987578],0
d5,1,0.951806,0.003653,[21 10] ; [88 43],[20.85802469 10.14197531] ; [88.14197531 42.85802469],0
s3,1,0.959667,0.002558,[12 20] ; [49 80],[12.1242236 19.8757764] ; [48.8757764 80.1242236],0
u1,1,0.97587,0.000915,[ 2 30] ; [  8 123],[ 1.96319018 30.03680982] ; [  8.03680982 122.96319018],0
p1,1,0.994358,5e-05,[ 1 31] ; [  4 125],[ 0.99378882 31.00621118] ; [  4.00621118 124.99378882],0
