Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,23.060031,[32 32] ; [209  54],[47.16819572 16.83180428] ; [193.83180428  69.16819572],1
n5,1,8e-06,19.847077,[33 32] ; [208  58],[47.32628399 17.67371601] ; [193.67371601  72.32628399],1
r4,1,1.1e-05,19.372039,[45 20] ; [241  26],[55.9939759  9.0060241] ; [230.0060241  36.9939759],1
v4,1,1.8e-05,18.395731,[51 13] ; [254  12],[59.15151515  4.84848485] ; [245.84848485  20.15151515],1
p2,1,2.3e-05,17.959809,[35 29] ; [214  53],[48.14501511 15.85498489] ; [200.85498489  66.14501511],1
p9,1,3.7e-05,17.034671,[38 26] ; [216  44],[50.17283951 13.82716049] ; [203.82716049  56.17283951],1
p6,1,0.000154,14.319514,[ 3 60] ; [ 71 192],[14.3006135 48.6993865] ; [ 59.6993865 203.3006135],1
p11,1,0.000525,12.025549,[36 29] ; [205  62],[47.18373494 17.81626506] ; [193.81626506  73.18373494],1
n4,1,0.000665,11.585495,[39 26] ; [213  53],[49.48640483 15.51359517] ; [202.51359517  63.48640483],1
r3,1,0.00071,11.463759,[53 12] ; [251  15],[59.6978852  5.3021148] ; [244.3021148  21.6978852],1
s5,1,0.002403,9.213117,[ 8 54] ; [ 83 174],[17.68652038 44.31347962] ; [ 73.31347962 183.68652038],0
r2,1,0.002427,9.194628,[53 10] ; [249  13],[58.54153846  4.45846154] ; [243.45846154  18.54153846],0
d1,1,0.003712,8.419683,[31 34] ; [179  88],[41.11445783 23.88554217] ; [168.88554217  98.11445783],0
s6,1,0.005216,7.8029,[31 34] ; [174  88],[40.74923547 24.25076453] ; [164.25076453  97.74923547],0
b1,1,0.007045,7.261569,[32 33] ; [ 84 183],[22.71084337 42.28915663] ; [ 93.28915663 173.71084337],0
a1,1,0.012505,6.237872,[ 7 58] ; [  9 258],[ 3.13253012 61.86746988] ; [ 12.86746988 254.13253012],0
d4,1,0.013491,6.103555,[47 17] ; [230  37],[53.55891239 10.44108761] ; [223.44108761  43.55891239],0
u1,1,0.020613,5.359198,[ 5 60] ; [ 53 214],[11.35542169 53.64457831] ; [ 46.64457831 220.35542169],0
s4,1,0.026493,4.923569,[ 4 61] ; [ 45 218],[ 9.71036585 55.28963415] ; [ 39.28963415 223.71036585],0
s1,1,0.026579,4.917976,[ 5 58] ; [  6 255],[ 2.13888889 60.86111111] ; [  8.86111111 252.13888889],0
s2,1,0.029459,4.74058,[21 43] ; [126 137],[28.7706422 35.2293578] ; [118.2293578 144.7706422],0
s8,1,0.033857,4.501922,[17 48] ; [107 158],[24.42424242 40.57575758] ; [ 99.57575758 165.42424242],0
p7,1,0.047988,3.91041,[23 40] ; [130 128],[30.02803738 32.97196262] ; [122.97196262 135.02803738],0
r1,1,0.048952,3.876999,[47 18] ; [220  45],[52.59090909 12.40909091] ; [214.40909091  50.59090909],0
p8,1,0.049029,3.874376,[17 46] ; [105 155],[23.79566563 39.20433437] ; [ 98.20433437 161.79566563],0
s7,1,0.050117,3.837541,[19 41] ; [118 141],[25.76802508 34.23197492] ; [111.23197492 147.76802508],0
v1,1,0.075195,3.16581,[24 39] ; [132 129],[30.33333333 32.66666667] ; [125.66666667 135.33333333],0
b3,1,0.098585,2.728293,[ 9 27] ; [62 94],[13.3125 22.6875] ; [57.6875 98.3125],0
b2,1,0.098585,2.728293,[ 9 27] ; [62 94],[13.3125 22.6875] ; [57.6875 98.3125],0
