Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.9e-05,18.267909,[28  6] ; [ 2 11],[21.70212766 12.29787234] ; [8.29787234 4.70212766],1
n3,1,0.001744,9.801681,[14  1] ; [3 6],[10.625  4.375] ; [6.375 2.625],0
r1,1,0.002481,9.154813,[22 12] ; [ 2 11],[17.36170213 16.63829787] ; [6.63829787 6.36170213],0
p11,1,0.002481,9.154813,[22 12] ; [ 2 11],[17.36170213 16.63829787] ; [6.63829787 6.36170213],0
p2,1,0.005974,7.558148,[23 11] ; [ 3 10],[18.80851064 15.19148936] ; [7.19148936 5.80851064],0
s6,1,0.011989,6.312537,[16 18] ; [ 1 12],[12.29787234 21.70212766] ; [4.70212766 8.29787234],0
u2,1,0.0148,5.940092,[11  6] ; [1 7],[8.16 8.84] ; [3.84 4.16],0
n2,1,0.016583,5.740017,[13  3] ; [3 6],[10.24  5.76] ; [5.76 3.24],0
d5,1,0.019836,5.426228,[18 16] ; [ 2 11],[14.46808511 19.53191489] ; [5.53191489 7.46808511],0
p7,1,0.021895,5.254079,[20 13] ; [ 3 10],[16.5 16.5] ; [6.5 6.5],0
r2,1,0.022742,5.18812,[29  5] ; [7 6],[26.04255319  7.95744681] ; [9.95744681 3.04255319],0
p10,1,0.023739,5.113636,[18 15] ; [ 2 10],[14.66666667 18.33333333] ; [5.33333333 6.66666667],0
n5,1,0.05711,3.61937,[18 15] ; [11  2],[20.80434783 12.19565217] ; [8.19565217 4.80434783],0
b3,1,0.058274,3.585835,[ 4 13] ; [5 3],[ 6.12 10.88] ; [2.88 5.12],0
b2,1,0.058274,3.585835,[ 4 13] ; [5 3],[ 6.12 10.88] ; [2.88 5.12],0
p4,1,0.066681,3.362891,[15 19] ; [ 2 11],[12.29787234 21.70212766] ; [4.70212766 8.29787234],0
p3,1,0.082854,3.00801,[11 23] ; [ 1 12],[ 8.68085106 25.31914894] ; [3.31914894 9.68085106],0
p9,1,0.10487,2.62987,[20 13] ; [4 8],[17.6 15.4] ; [6.4 5.6],0
b5,1,0.123413,2.373463,[19 15] ; [4 9],[16.63829787 17.36170213] ; [6.36170213 6.63829787],0
b4,1,0.172995,1.8568,[18 16] ; [4 9],[15.91489362 18.08510638] ; [6.08510638 6.91489362],0
p8,1,0.2155,1.534091,[15 18] ; [3 9],[13.2 19.8] ; [4.8 7.2],0
s8,1,0.217089,1.523511,[ 8 26] ; [ 1 12],[ 6.5106383 27.4893617] ; [ 2.4893617 10.5106383],0
s2,1,0.217089,1.523511,[ 8 26] ; [ 1 12],[ 6.5106383 27.4893617] ; [ 2.4893617 10.5106383],0
s7,1,0.242713,1.364764,[ 7 24] ; [ 1 12],[ 5.63636364 25.36363636] ; [ 2.36363636 10.63636364],0
s3,1,0.244712,1.353243,[11 23] ; [ 2 11],[ 9.40425532 24.59574468] ; [3.59574468 9.40425532],0
n1,1,0.285049,1.142857,[ 5 10] ; [5 4],[6.25 8.75] ; [3.75 5.25],0
s1,1,0.296349,1.09055,[ 2 32] ; [ 2 11],[ 2.89361702 31.10638298] ; [ 1.10638298 11.89361702],0
b1,1,0.332917,0.937519,[21 13] ; [6 7],[19.53191489 14.46808511] ; [7.46808511 5.53191489],0
a5,1,0.374392,0.789035,[18 16] ; [5 8],[16.63829787 17.36170213] ; [6.36170213 6.63829787],0
v1,1,0.38673,0.749199,[12 21] ; [ 3 10],[10.76086957 22.23913043] ; [4.23913043 8.76086957],0
n4,1,0.478243,0.502867,[17 17] ; [8 5],[18.08510638 15.91489362] ; [6.91489362 6.08510638],0
p1,1,0.494566,0.466578,[ 5 29] ; [ 3 10],[ 5.78723404 28.21276596] ; [ 2.21276596 10.78723404],0
p6,1,0.511942,0.430096,[ 8 25] ; [ 2 11],[ 7.17391304 25.82608696] ; [ 2.82608696 10.17391304],0
a2,1,0.514034,0.425846,[ 3 31] ; [ 2 11],[ 3.61702128 30.38297872] ; [ 1.38297872 11.61702128],0
a3,1,0.619307,0.246843,[17 17] ; [5 7],[16.26086957 17.73913043] ; [5.73913043 6.26086957],0
a6,1,0.620725,0.24485,[21 13] ; [7 6],[20.25531915 13.74468085] ; [7.74468085 5.25531915],0
d3,1,0.653714,0.20125,[ 7 26] ; [ 2 11],[ 6.45652174 26.54347826] ; [ 2.54347826 10.45652174],0
s4,1,0.685446,0.164059,[ 4 30] ; [ 1 12],[ 3.61702128 30.38297872] ; [ 1.38297872 11.61702128],0
a8,1,0.796401,0.066568,[ 4 28] ; [ 2 11],[ 4.26666667 27.73333333] ; [ 1.73333333 11.26666667],0
v3,1,0.891778,0.018511,[ 8 24] ; [ 3 10],[ 7.82222222 24.17777778] ; [3.17777778 9.82222222],0
d2,1,0.927471,0.008286,[10 24] ; [4 9],[10.12765957 23.87234043] ; [3.87234043 9.12765957],0
a4,1,0.927471,0.008286,[10 24] ; [4 9],[10.12765957 23.87234043] ; [3.87234043 9.12765957],0
a7,1,0.955646,0.003093,[16 18] ; [6 7],[15.91489362 18.08510638] ; [6.08510638 6.91489362],0
