Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,25.166767,[ 58 105] ; [88 48],[79.59197324 83.40802676] ; [66.40802676 69.59197324],1
p2,1,3e-06,21.749937,[104  66] ; [116  20],[122.22222222  47.77777778] ; [97.77777778 38.22222222],1
p9,1,4e-06,21.184307,[103  64] ; [117  20],[120.85526316  46.14473684] ; [99.14473684 37.85526316],1
p3,1,6e-05,16.10333,[ 44 127] ; [65 71],[ 60.71335505 110.28664495] ; [48.28664495 87.71335505],1
r1,1,7.8e-05,15.614542,[104  67] ; [111  25],[119.75570033  51.24429967] ; [95.24429967 40.75570033],1
p7,1,0.000252,13.39542,[69 99] ; [84 51],[84.83168317 83.16831683] ; [68.16831683 66.83168317],1
p10,1,0.00028,13.199163,[97 69] ; [107  30],[111.76237624  54.23762376] ; [92.23762376 44.76237624],1
p4,1,0.000293,13.113594,[ 60 109] ; [77 60],[75.66339869 93.33660131] ; [61.33660131 75.66339869],1
v3,1,0.001211,10.473142,[ 33 132] ; [49 84],[ 45.40268456 119.59731544] ; [36.59731544 96.40268456],0
n4,1,0.001594,9.966133,[102  69] ; [105  32],[114.92532468  56.07467532] ; [92.07467532 44.92532468],0
r4,1,0.001688,9.860834,[122  49] ; [119  19],[133.36893204  37.63106796] ; [107.63106796  30.36893204],0
p8,1,0.002794,8.937389,[ 63 106] ; [73 61],[75.85478548 93.14521452] ; [60.14521452 73.85478548],0
a5,1,0.002935,8.847386,[100  71] ; [103  35],[112.33980583  58.66019417] ; [90.66019417 47.33980583],0
n5,1,0.003635,8.457529,[99 70] ; [102  35],[111.00980392  57.99019608] ; [89.99019608 47.00980392],0
n3,1,0.004661,8.006518,[34 28] ; [21  3],[39.65116279 22.34883721] ; [15.34883721  8.65116279],0
p11,1,0.007875,7.061745,[113  58] ; [110  28],[123.40776699  47.59223301] ; [99.59223301 38.40776699],0
s6,1,0.008769,6.869372,[ 49 121] ; [58 76],[ 59.83552632 110.16447368] ; [47.16447368 86.83552632],0
r3,1,0.020714,5.350686,[141  29] ; [125  11],[147.77777778  22.22222222] ; [118.22222222  17.77777778],0
r2,1,0.02079,5.344303,[141  27] ; [126  10],[147.55263158  20.44736842] ; [119.44736842  16.55263158],0
s8,1,0.021804,5.261397,[ 15 156] ; [ 24 113],[ 21.6525974 149.3474026] ; [ 17.3474026 119.6525974],0
u1,1,0.030381,4.687615,[ 11 160] ; [ 19 119],[ 16.60194175 154.39805825] ; [ 13.39805825 124.60194175],0
a3,1,0.033058,4.542775,[93 77] ; [92 46],[102.11038961  67.88961039] ; [82.88961039 55.11038961],0
n2,1,0.044412,4.040816,[36 27] ; [20  5],[40.09090909 22.90909091] ; [15.90909091  9.09090909],0
a4,1,0.04858,3.889824,[ 60 110] ; [64 74],[ 68.44155844 101.55844156] ; [55.55844156 82.44155844],0
p6,1,0.060186,3.532254,[ 33 135] ; [39 96],[ 39.92079208 128.07920792] ; [ 32.07920792 102.92079208],0
v4,1,0.060847,3.514136,[147  24] ; [127  10],[152.12337662  18.87662338] ; [121.87662338  15.12337662],0
d5,1,0.0779,3.108189,[122  48] ; [111  27],[128.6038961  41.3961039] ; [104.3961039  33.6038961],0
b2,1,0.08231,3.018686,[24 65] ; [32 49],[29.31764706 59.68235294] ; [26.68235294 54.31764706],0
b3,1,0.08231,3.018686,[24 65] ; [32 49],[29.31764706 59.68235294] ; [26.68235294 54.31764706],0
p5,1,0.098871,2.723667,[  8 162] ; [ 13 124],[ 11.6286645 158.3713355] ; [  9.3713355 127.6286645],0
d1,1,0.120919,2.405383,[79 92] ; [76 62],[85.77669903 85.22330097] ; [69.22330097 68.77669903],0
n6,1,0.121688,2.395463,[125  45] ; [111  26],[130.68403909  39.31596091] ; [105.31596091  31.68403909],0
u3,1,0.142167,2.154345,[33 44] ; [26 20],[36.93495935 40.06504065] ; [22.06504065 23.93495935],0
d4,1,0.145567,2.118102,[122  48] ; [109  29],[127.5  42.5] ; [103.5  34.5],0
a1,1,0.150688,2.06527,[ 11 160] ; [  4 134],[  8.30097087 162.69902913] ; [  6.69902913 131.30097087],0
s1,1,0.167322,1.90677,[  7 162] ; [  2 135],[  4.97058824 164.02941176] ; [  4.02941176 132.97058824],0
b5,1,0.179505,1.801717,[100  71] ; [91 47],[105.69902913  65.30097087] ; [85.30097087 52.69902913],0
n1,1,0.190611,1.712891,[16 46] ; [10 15],[18.52873563 43.47126437] ; [ 7.47126437 17.52873563],0
a8,1,0.239155,1.38557,[ 15 144] ; [ 17 105],[ 18.10676157 140.89323843] ; [ 13.89323843 108.10676157],0
a2,1,0.254161,1.300288,[ 24 147] ; [ 26 112],[ 27.66990291 143.33009709] ; [ 22.33009709 115.66990291],0
s5,1,0.283679,1.149381,[ 25 143] ; [ 26 107],[ 28.46511628 139.53488372] ; [ 22.53488372 110.46511628],0
b4,1,0.432264,0.616734,[94 77] ; [82 56],[97.39805825 73.60194175] ; [78.60194175 59.39805825],0
u4,1,0.441027,0.59361,[  1 170] ; [  2 136],[  1.66019417 169.33980583] ; [  1.33980583 136.66019417],0
d2,1,0.45839,0.549823,[ 66 102] ; [60 78],[69.17647059 98.82352941] ; [56.82352941 81.17647059],0
s2,1,0.51906,0.415761,[ 15 155] ; [ 15 121],[ 16.66666667 153.33333333] ; [ 13.33333333 122.66666667],0
a7,1,0.548565,0.359893,[113  56] ; [96 41],[115.42810458  53.57189542] ; [93.57189542 43.42810458],0
p1,1,0.567123,0.32752,[ 13 158] ; [ 13 125],[ 14.38834951 156.61165049] ; [ 11.61165049 126.38834951],0
