Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,46.666667,[ 3 25] ; [69 15],[18. 10.] ; [54. 30.],1
r2,1,3e-06,21.758038,[14 12] ; [77  6],[21.70642202  4.29357798] ; [69.29357798 13.70642202],1
r3,1,1.3e-05,19.000138,[12 16] ; [71 13],[20.75  7.25] ; [62.25 21.75],1
r1,1,7.2e-05,15.75,[ 7 21] ; [57 27],[16. 12.] ; [48. 36.],1
n6,1,0.000207,13.762105,[11 16] ; [66 18],[18.72972973  8.27027027] ; [58.27027027 25.72972973],1
p10,1,0.001007,10.814803,[ 5 22] ; [45 37],[12.3853211 14.6146789] ; [37.6146789 44.3853211],0
u3,1,0.010363,6.571429,[ 3 11] ; [20 12],[7. 7.] ; [16. 16.],0
u2,1,0.010778,6.501614,[ 2 12] ; [17 14],[5.91111111 8.08888889] ; [13.08888889 17.91111111],0
p1,1,0.027279,4.873067,[ 5 23] ; [ 4 80],[ 2.25 25.75] ; [ 6.75 77.25],0
v2,1,0.027669,4.8486,[ 6 21] ; [37 43],[10.85046729 16.14953271] ; [32.14953271 47.85046729],0
s6,1,0.031486,4.62627,[ 5 23] ; [33 49],[ 9.67272727 18.32727273] ; [28.32727273 53.67272727],0
p3,1,0.034244,4.482482,[ 3 25] ; [26 58],[ 7.25 20.75] ; [21.75 62.25],0
p9,1,0.036568,4.370416,[ 8 18] ; [44 37],[12.63551402 13.36448598] ; [39.36448598 41.63551402],0
d5,1,0.051568,3.78972,[14 14] ; [59 25],[18.25  9.75] ; [54.75 29.25],0
p7,1,0.052238,3.768118,[ 3 25] ; [24 59],[ 6.81081081 21.18918919] ; [20.18918919 62.81081081],0
d3,1,0.063575,3.441574,[10 18] ; [47 37],[14.25 13.75] ; [42.75 41.25],0
d4,1,0.072651,3.222094,[16 12] ; [63 21],[19.75  8.25] ; [59.25 24.75],0
p4,1,0.073911,3.193961,[ 4 24] ; [26 56],[ 7.63636364 20.36363636] ; [22.36363636 59.63636364],0
p11,1,0.080856,3.047619,[10 18] ; [46 38],[14. 14.] ; [42. 42.],0
s5,1,0.087184,2.925611,[ 2 26] ; [17 62],[ 4.97196262 23.02803738] ; [14.02803738 64.97196262],0
n3,1,0.094264,2.8,[6 9] ; [18  9],[8.57142857 6.42857143] ; [15.42857143 11.57142857],0
p8,1,0.105442,2.621244,[ 4 24] ; [25 59],[ 7.25 20.75] ; [21.75 62.25],0
