Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3.1e-05,17.33777,[15  1] ; [ 8 20],[8.36363636 7.63636364] ; [14.63636364 13.36363636],1
p7,1,0.006184,7.496007,[12  4] ; [ 9 19],[7.63636364 8.36363636] ; [13.36363636 14.63636364],0
b4,1,0.013991,6.039216,[ 6 10] ; [21  7],[9.81818182 6.18181818] ; [17.18181818 10.81818182],0
p5,1,0.035456,4.423056,[ 5 11] ; [ 2 26],[ 2.54545455 13.45454545] ; [ 4.45454545 23.54545455],0
u3,1,0.065584,3.390226,[4 3] ; [ 3 13],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],0
d5,1,0.066359,3.370855,[13  3] ; [15 13],[10.18181818  5.81818182] ; [17.81818182 10.18181818],0
s3,1,0.072267,3.230769,[8 8] ; [ 6 20],[ 5.33333333 10.66666667] ; [ 8.66666667 17.33333333],0
s4,1,0.07713,3.12437,[ 6 10] ; [ 4 24],[ 3.63636364 12.36363636] ; [ 6.36363636 21.63636364],0
p8,1,0.092393,2.832184,[8 8] ; [ 7 21],[ 5.45454545 10.54545455] ; [ 9.54545455 18.45454545],0
v4,1,0.098099,2.736173,[11  5] ; [12 16],[8.36363636 7.63636364] ; [14.63636364 13.36363636],0
a6,1,0.11769,2.447802,[9 7] ; [ 9 19],[6.54545455 9.45454545] ; [11.45454545 16.54545455],0
u2,1,0.133918,2.246483,[2 5] ; [10  6],[3.65217391 3.34782609] ; [8.34782609 7.65217391],0
p2,1,0.159469,1.979252,[13  3] ; [17 11],[10.90909091  5.09090909] ; [19.09090909  8.90909091],0
s5,1,0.179603,1.800907,[ 5 11] ; [ 4 24],[ 3.27272727 12.72727273] ; [ 5.72727273 22.27272727],0
s7,1,0.192884,1.695447,[6 8] ; [ 6 20],[4.2 9.8] ; [ 7.8 18.2],0
p6,1,0.200359,1.639759,[ 5 11] ; [ 4 23],[ 3.34883721 12.65116279] ; [ 5.65116279 21.34883721],0
b1,1,0.21,1.571429,[10  6] ; [12 16],[8. 8.] ; [14. 14.],0
a7,1,0.227098,1.458947,[ 5 11] ; [14 14],[6.90909091 9.09090909] ; [12.09090909 15.90909091],0
r4,1,0.249537,1.325893,[ 6 10] ; [ 6 22],[ 4.36363636 11.63636364] ; [ 7.63636364 20.36363636],0
n6,1,0.30276,1.061996,[13  3] ; [18  9],[11.53488372  4.46511628] ; [19.46511628  7.53488372],0
p10,1,0.339275,0.913167,[11  5] ; [14 12],[9.52380952 6.47619048] ; [15.47619048 10.52380952],0
p9,1,0.368803,0.807692,[12  4] ; [16 10],[10.66666667  5.33333333] ; [17.33333333  8.66666667],0
s2,1,0.424415,0.638058,[ 6 10] ; [ 7 20],[ 4.8372093 11.1627907] ; [ 8.1627907 18.8372093],0
a3,1,0.454107,0.560381,[9 7] ; [12 15],[7.81395349 8.18604651] ; [13.18604651 13.81395349],0
a4,1,0.469221,0.52381,[ 5 11] ; [ 6 22],[ 4. 12.] ; [ 7. 21.],0
v1,1,0.540751,0.37415,[ 6 10] ; [ 8 20],[ 5.09090909 10.90909091] ; [ 8.90909091 19.09090909],0
p1,1,0.552098,0.353571,[ 2 14] ; [ 2 26],[ 1.45454545 14.54545455] ; [ 2.54545455 25.45454545],0
v2,1,0.607437,0.263924,[7 9] ; [14 13],[7.81395349 8.18604651] ; [13.18604651 13.81395349],0
p12,1,0.620236,0.245536,[ 1 15] ; [ 3 25],[ 1.45454545 14.54545455] ; [ 2.54545455 25.45454545],0
s1,1,0.620236,0.245536,[ 1 15] ; [ 3 25],[ 1.45454545 14.54545455] ; [ 2.54545455 25.45454545],0
n5,1,0.634153,0.226471,[13  3] ; [21  7],[12.36363636  3.63636364] ; [21.63636364  6.36363636],0
v3,1,0.654301,0.200521,[ 5 11] ; [ 7 21],[ 4.36363636 11.63636364] ; [ 7.63636364 20.36363636],0
d1,1,0.654301,0.200521,[ 5 11] ; [ 7 21],[ 4.36363636 11.63636364] ; [ 7.63636364 20.36363636],0
d2,1,0.718381,0.130049,[ 6 10] ; [ 9 19],[ 5.45454545 10.54545455] ; [ 9.54545455 18.45454545],0
r3,1,0.743552,0.107029,[12  4] ; [19  8],[11.53488372  4.46511628] ; [19.46511628  7.53488372],0
d4,1,0.763781,0.090312,[11  5] ; [18 10],[10.54545455  5.45454545] ; [18.45454545  9.54545455],0
p11,1,0.763781,0.090312,[11  5] ; [18 10],[10.54545455  5.45454545] ; [18.45454545  9.54545455],0
s6,1,0.819524,0.052056,[8 8] ; [15 13],[8.36363636 7.63636364] ; [14.63636364 13.36363636],0
a5,1,0.819524,0.052056,[8 8] ; [13 15],[7.63636364 8.36363636] ; [13.36363636 14.63636364],0
b5,1,0.819524,0.052056,[8 8] ; [15 13],[8.36363636 7.63636364] ; [14.63636364 13.36363636],0
a8,1,0.865103,0.02886,[ 3 13] ; [ 4 20],[ 2.8 13.2] ; [ 4.2 19.8],0
r1,1,0.90571,0.014031,[ 6 10] ; [10 18],[ 5.81818182 10.18181818] ; [10.18181818 17.81818182],0
d3,1,0.906842,0.013694,[ 6 10] ; [11 17],[6.18181818 9.81818182] ; [10.81818182 17.18181818],0
b2,1,0.918931,0.010359,[4 8] ; [ 6 13],[3.87096774 8.12903226] ; [ 6.12903226 12.87096774],0
b3,1,0.918931,0.010359,[4 8] ; [ 6 13],[3.87096774 8.12903226] ; [ 6.12903226 12.87096774],0
s8,1,0.951226,0.003741,[ 5 11] ; [ 9 19],[ 5.09090909 10.90909091] ; [ 8.90909091 19.09090909],0
