Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.163036,[33 25] ; [102  12],[45.52325581 12.47674419] ; [89.47674419 24.52325581],1
p9,1,7e-06,20.246399,[23 32] ; [87 26],[36.01190476 18.98809524] ; [73.98809524 39.01190476],1
p10,1,1.2e-05,19.179516,[20 37] ; [78 33],[33.25 23.75] ; [64.75 46.25],1
r4,1,1.2e-05,19.17248,[26 32] ; [89 25],[38.77906977 19.22093023] ; [76.22093023 37.77906977],1
p2,1,4.6e-05,16.603928,[27 30] ; [87 24],[38.67857143 18.32142857] ; [75.32142857 35.67857143],1
v4,1,0.000242,13.470281,[37 20] ; [100  13],[45.93529412 11.06470588] ; [91.06470588 21.93529412],1
n6,1,0.000745,11.37238,[30 27] ; [88 25],[39.56470588 17.43529412] ; [78.43529412 34.56470588],1
r1,1,0.000984,10.856956,[24 34] ; [77 37],[34.05813953 23.94186047] ; [66.94186047 47.05813953],1
b1,1,0.006547,7.393256,[34 24] ; [42 72],[25.62790698 32.37209302] ; [50.37209302 63.62790698],0
u2,1,0.007761,7.087853,[ 7 22] ; [24 19],[12.48611111 16.51388889] ; [18.51388889 24.48611111],0
r2,1,0.009557,6.715589,[40 16] ; [99 14],[46.0591716  9.9408284] ; [92.9408284 20.0591716],0
s1,1,0.013029,6.165173,[ 6 52] ; [  2 109],[ 2.74556213 55.25443787] ; [  5.25443787 105.74556213],0
n2,1,0.024382,5.067267,[14 12] ; [29  7],[18.03225806  7.96774194] ; [24.96774194 11.03225806],0
v2,1,0.027166,4.88021,[16 40] ; [51 59],[22.60240964 33.39759036] ; [44.39759036 65.60240964],0
a1,1,0.030065,4.705545,[ 7 51] ; [  4 110],[ 3.70930233 54.29069767] ; [  7.29069767 106.70930233],0
n3,1,0.037248,4.339029,[12 13] ; [26  9],[15.83333333  9.16666667] ; [22.16666667 12.83333333],0
v1,1,0.041025,4.174974,[16 41] ; [50 63],[22.12941176 34.87058824] ; [43.87058824 69.12941176],0
d5,1,0.05676,3.629608,[30 28] ; [76 38],[35.74418605 22.25581395] ; [70.25581395 43.74418605],0
s5,1,0.079904,3.066859,[11 46] ; [35 74],[15.79518072 41.20481928] ; [30.20481928 78.79518072],0
s6,1,0.105022,2.627576,[18 39] ; [49 61],[22.86826347 34.13173653] ; [44.13173653 65.86826347],0
a5,1,0.158171,1.991627,[27 31] ; [66 48],[31.36046512 26.63953488] ; [61.63953488 52.36046512],0
a6,1,0.162858,1.94749,[21 37] ; [54 60],[25.29069767 32.70930233] ; [49.70930233 64.29069767],0
