Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-06,20.605449,[ 9 28] ; [14  1],[16.36538462 20.63461538] ; [6.63461538 8.36538462],1
p8,1,0.000559,11.90782,[ 8 31] ; [10  4],[13.24528302 25.75471698] ; [4.75471698 9.24528302],1
p3,1,0.000959,10.905734,[ 3 36] ; [7 8],[ 7.22222222 31.77777778] ; [ 2.77777778 12.22222222],1
s8,1,0.004326,8.141538,[ 3 36] ; [6 9],[ 6.5 32.5] ; [ 2.5 12.5],0
s3,1,0.010437,6.558757,[ 8 31] ; [8 6],[11.77358491 27.22641509] ; [4.22641509 9.77358491],0
s2,1,0.031012,4.652308,[ 7 32] ; [7 8],[10.11111111 28.88888889] ; [ 3.88888889 11.11111111],0
p6,1,0.069024,3.306075,[ 3 35] ; [ 4 11],[ 5.01886792 32.98113208] ; [ 1.98113208 13.01886792],0
b1,1,0.072797,3.218801,[18 21] ; [11  4],[20.94444444 18.05555556] ; [8.05555556 6.94444444],0
p10,1,0.107128,2.596091,[16 22] ; [10  5],[18.64150943 19.35849057] ; [7.35849057 7.64150943],0
a4,1,0.128403,2.311706,[ 4 35] ; [ 4 11],[ 5.77777778 33.22222222] ; [ 2.22222222 12.77777778],0
s7,1,0.128452,2.311111,[ 7 32] ; [5 8],[ 9. 30.] ; [ 3. 10.],0
p11,1,0.153675,2.035385,[15 24] ; [9 6],[17.33333333 21.66666667] ; [6.66666667 8.33333333],0
p9,1,0.175455,1.835702,[17 20] ; [10  5],[19.21153846 17.78846154] ; [7.78846154 7.21153846],0
n6,1,0.175455,1.835702,[17 20] ; [10  5],[19.21153846 17.78846154] ; [7.78846154 7.21153846],0
b5,1,0.176617,1.825866,[18 21] ; [10  5],[20.22222222 18.77777778] ; [7.77777778 7.22222222],0
p2,1,0.191763,1.704021,[21 18] ; [11  4],[23.11111111 15.88888889] ; [8.88888889 6.11111111],0
a3,1,0.202222,1.626255,[15 22] ; [9 6],[17.07692308 19.92307692] ; [6.92307692 8.07692308],0
a5,1,0.213652,1.546509,[ 9 30] ; [6 9],[10.83333333 28.16666667] ; [ 4.16666667 10.83333333],0
n1,1,0.238821,1.38754,[ 7 15] ; [3 2],[ 8.14814815 13.85185185] ; [1.85185185 3.14814815],0
n4,1,0.239763,1.381985,[22 16] ; [6 9],[20.0754717 17.9245283] ; [7.9245283 7.0754717],0
v2,1,0.27542,1.18955,[ 5 31] ; [ 4 11],[ 6.35294118 29.64705882] ; [ 2.64705882 12.35294118],0
n3,1,0.295722,1.093388,[12 10] ; [4 1],[13.03703704  8.96296296] ; [2.96296296 2.03703704],0
d3,1,0.323643,0.974167,[ 8 31] ; [ 5 10],[ 9.38888889 29.61111111] ; [ 3.61111111 11.38888889],0
r2,1,0.359358,0.840136,[19 19] ; [5 9],[17.53846154 20.46153846] ; [6.46153846 7.53846154],0
d2,1,0.425872,0.634054,[ 9 30] ; [ 2 13],[ 7.94444444 31.05555556] ; [ 3.05555556 11.94444444],0
s6,1,0.441105,0.593407,[ 9 30] ; [ 5 10],[10.11111111 28.88888889] ; [ 3.88888889 11.11111111],0
s4,1,0.476182,0.507595,[ 7 32] ; [ 4 11],[ 7.94444444 31.05555556] ; [ 3.05555556 11.94444444],0
v3,1,0.501674,0.451394,[ 5 33] ; [ 1 14],[ 4.30188679 33.69811321] ; [ 1.69811321 13.30188679],0
p1,1,0.519249,0.415385,[ 5 34] ; [ 1 14],[ 4.33333333 34.66666667] ; [ 1.66666667 13.33333333],0
v4,1,0.531786,0.390977,[18 20] ; [8 6],[19. 19.] ; [7. 7.],0
a6,1,0.571892,0.319527,[10 29] ; [ 5 10],[10.83333333 28.16666667] ; [ 4.16666667 10.83333333],0
a7,1,0.596097,0.280922,[13 25] ; [ 4 11],[12.18867925 25.81132075] ; [ 4.81132075 10.18867925],0
r3,1,0.629064,0.233332,[17 20] ; [8 7],[17.78846154 19.21153846] ; [7.21153846 7.78846154],0
a1,1,0.683553,0.166154,[ 4 35] ; [ 1 14],[ 3.61111111 35.38888889] ; [ 1.38888889 13.61111111],0
n5,1,0.69217,0.156746,[25 13] ; [9 6],[24.37735849 13.62264151] ; [9.62264151 5.37735849],0
u2,1,0.723582,0.125086,[ 6 17] ; [2 4],[ 6.34482759 16.65517241] ; [1.65517241 4.34482759],0
s1,1,0.771408,0.08441,[ 4 34] ; [ 2 13],[ 4.30188679 33.69811321] ; [ 1.69811321 13.30188679],0
v1,1,0.798662,0.065065,[11 26] ; [ 5 10],[11.38461538 25.61538462] ; [ 4.61538462 10.38461538],0
a8,1,0.813951,0.055381,[ 2 35] ; [ 1 13],[ 2.17647059 34.82352941] ; [ 0.82352941 13.17647059],0
u3,1,0.819477,0.052083,[ 5 19] ; [1 5],[ 4.8 19.2] ; [1.2 4.8],0
n2,1,0.879193,0.023102,[14  8] ; [3 2],[13.85185185  8.14814815] ; [3.14814815 1.85185185],0
b4,1,0.892513,0.018259,[19 20] ; [7 8],[18.77777778 20.22222222] ; [7.22222222 7.77777778],0
d4,1,0.917272,0.010789,[15 24] ; [6 9],[15.16666667 23.83333333] ; [5.83333333 9.16666667],0
r1,1,0.932166,0.007245,[ 8 30] ; [ 3 12],[ 7.88679245 30.11320755] ; [ 3.11320755 11.88679245],0
