Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.2e-05,18.012104,[ 48 104] ; [54 37],[63.80246914 88.19753086] ; [38.19753086 52.80246914],1
s6,1,0.001531,10.040896,[ 50 111] ; [48 46],[61.8745098 99.1254902] ; [36.1254902 57.8745098],0
a3,1,0.002533,9.116489,[85 76] ; [69 27],[96.47470817 64.52529183] ; [57.52529183 38.47470817],0
s5,1,0.006488,7.409398,[ 20 135] ; [25 69],[ 28.01204819 126.98795181] ; [16.98795181 77.01204819],0
r1,1,0.009457,6.734459,[97 65] ; [72 23],[106.52918288  55.47081712] ; [62.47081712 32.52918288],0
v3,1,0.010699,6.514656,[ 31 125] ; [32 61],[ 39.46987952 116.53012048] ; [23.53012048 69.46987952],0
r2,1,0.013028,6.165296,[135  25] ; [90  5],[141.17647059  18.82352941] ; [83.82352941 11.17647059],0
p2,1,0.015916,5.812144,[97 64] ; [72 24],[105.87159533  55.12840467] ; [63.12840467 32.87159533],0
v4,1,0.02413,5.085275,[133  28] ; [88  7],[138.98828125  22.01171875] ; [82.01171875 12.98828125],0
p9,1,0.025746,4.972967,[100  57] ; [74 22],[107.97628458  49.02371542] ; [66.02371542 29.97628458],0
a4,1,0.027183,4.879143,[ 47 114] ; [41 55],[ 55.12840467 105.87159533] ; [32.87159533 63.12840467],0
b3,1,0.027736,4.844407,[20 60] ; [21 27],[25.625 54.375] ; [15.375 32.625],0
b2,1,0.027736,4.844407,[20 60] ; [21 27],[25.625 54.375] ; [15.375 32.625],0
p5,1,0.047429,3.930093,[  1 159] ; [ 4 92],[  3.125 156.875] ; [ 1.875 94.125],0
p10,1,0.066837,3.359033,[91 67] ; [67 30],[97.89803922 60.10196078] ; [60.10196078 36.89803922],0
a5,1,0.071862,3.239963,[85 77] ; [62 35],[91.94594595 70.05405405] ; [55.05405405 41.94594595],0
r4,1,0.075621,3.156584,[116  46] ; [79 18],[121.96911197  40.03088803] ; [73.03088803 23.96911197],0
d4,1,0.08445,2.977114,[112  49] ; [77 20],[117.94186047  43.05813953] ; [71.05813953 25.94186047],0
p3,1,0.092144,2.83651,[ 24 138] ; [22 73],[ 28.99610895 133.00389105] ; [17.00389105 77.99610895],0
n5,1,0.092848,2.824286,[92 69] ; [65 31],[98.3540856 62.6459144] ; [58.6459144 37.3540856],0
n2,1,0.11339,2.506322,[40 24] ; [20  5],[43.14606742 20.85393258] ; [16.85393258  8.14606742],0
n3,1,0.122297,2.38765,[37 25] ; [20  6],[40.15909091 21.84090909] ; [16.84090909  9.15909091],0
p11,1,0.149475,2.077598,[101  61] ; [69 28],[106.33204633  55.66795367] ; [63.66795367 33.33204633],0
