Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,37.96969,[64 31] ; [ 9 48],[45.625 49.375] ; [27.375 29.625],1
r4,1,0.0,28.379395,[87  8] ; [31 26],[73.75 21.25] ; [44.25 12.75],1
s5,1,0.0,26.435738,[46 44] ; [ 5 50],[31.65517241 58.34482759] ; [19.34482759 35.65517241],1
r3,1,0.0,26.157629,[91  4] ; [36 20],[79.90066225 15.09933775] ; [47.09933775  8.90066225],1
p4,1,5e-06,21.030587,[57 37] ; [12 43],[43.53020134 50.46979866] ; [25.46979866 29.53020134],1
s8,1,6e-06,20.488762,[46 49] ; [ 7 50],[33.125 61.875] ; [19.875 37.125],1
s7,1,1.4e-05,18.847286,[53 36] ; [11 40],[40.68571429 48.31428571] ; [23.31428571 27.68571429],1
p2,1,0.000114,14.884687,[67 27] ; [22 34],[55.77333333 38.22666667] ; [33.22666667 22.77333333],1
s3,1,0.000164,14.205279,[59 36] ; [17 39],[47.81456954 47.18543046] ; [28.18543046 27.81456954],1
p10,1,0.000215,13.694297,[60 32] ; [19 37],[49.10810811 42.89189189] ; [29.89189189 26.10810811],1
p9,1,0.00023,13.564793,[71 23] ; [24 29],[60.74829932 33.25170068] ; [34.25170068 18.74829932],1
r1,1,0.000277,13.222648,[81 13] ; [33 22],[71.91946309 22.08053691] ; [42.08053691 12.91946309],1
v2,1,0.000329,12.900192,[57 34] ; [18 38],[46.42857143 44.57142857] ; [28.57142857 27.42857143],1
r2,1,0.00061,11.74475,[94  1] ; [45  8],[89.22297297  5.77702703] ; [49.77702703  3.22297297],1
p7,1,0.000702,11.483479,[55 37] ; [17 38],[45.06122449 46.93877551] ; [26.93877551 28.06122449],1
n6,1,0.00182,9.723073,[72 21] ; [29 26],[63.46621622 29.53378378] ; [37.53378378 17.46621622],0
v4,1,0.005526,7.698731,[88  7] ; [43 13],[82.41721854 12.58278146] ; [48.58278146  7.41721854],0
v1,1,0.012506,6.237689,[48 47] ; [17 40],[40.625 54.375] ; [24.375 32.625],0
p3,1,0.013925,6.047613,[43 51] ; [14 41],[35.95973154 58.04026846] ; [21.04026846 33.95973154],0
n3,1,0.01981,5.428571,[28  8] ; [10 11],[24. 12.] ; [14.  7.],0
d5,1,0.023305,5.145611,[84 10] ; [43 14],[79.05960265 14.94039735] ; [47.94039735  9.05960265],0
p6,1,0.023716,5.115288,[34 60] ; [10 44],[27.94594595 66.05405405] ; [16.05405405 37.94594595],0
n2,1,0.025347,5.0,[28  8] ; [12 12],[24. 12.] ; [16.  8.],0
s4,1,0.039898,4.222222,[25 70] ; [ 7 50],[20. 75.] ; [12. 45.],0
b3,1,0.04777,3.918064,[14 34] ; [15 14],[18.07792208 29.92207792] ; [10.92207792 18.07792208],0
b2,1,0.04777,3.918064,[14 34] ; [15 14],[18.07792208 29.92207792] ; [10.92207792 18.07792208],0
p8,1,0.05896,3.566406,[35 59] ; [12 42],[29.85135135 64.14864865] ; [17.14864865 36.85135135],0
u1,1,0.100676,2.694799,[26 69] ; [ 9 48],[21.875 73.125] ; [13.125 43.875],0
a3,1,0.104083,2.641845,[75 20] ; [50  6],[78.64238411 16.35761589] ; [46.35761589  9.64238411],0
b4,1,0.120909,2.405503,[54 41] ; [25 32],[49.375 45.625] ; [29.625 27.375],0
a8,1,0.139958,2.178423,[14 71] ; [ 4 48],[11.16788321 73.83211679] ; [ 6.83211679 45.16788321],0
v3,1,0.175151,1.838298,[35 55] ; [15 39],[31.25 58.75] ; [18.75 35.25],0
d4,1,0.193226,1.692849,[79 15] ; [43 14],[75.94701987 18.05298013] ; [46.05298013 10.94701987],0
p5,1,0.199418,1.646628,[ 6 87] ; [ 1 54],[ 4.39864865 88.60135135] ; [ 2.60135135 52.39864865],0
a6,1,0.260791,1.264555,[61 33] ; [42 15],[64.1192053 29.8807947] ; [38.8807947 18.1192053],0
b5,1,0.322953,0.976952,[61 34] ; [32 25],[58.125 36.875] ; [34.875 22.125],0
