Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000454,12.294643,[ 6 30] ; [10  5],[11.29411765 24.70588235] ; [ 4.70588235 10.29411765],1
p4,1,0.001116,10.625,[ 7 29] ; [10  5],[12. 24.] ; [ 5. 10.],0
p6,1,0.002451,9.176476,[ 3 31] ; [7 8],[ 6.93877551 27.06122449] ; [ 3.06122449 11.93877551],0
p8,1,0.006873,7.305952,[ 3 33] ; [6 9],[ 6.35294118 29.64705882] ; [ 2.64705882 12.35294118],0
s3,1,0.007779,7.083677,[ 9 25] ; [10  5],[13.18367347 20.81632653] ; [5.81632653 9.18367347],0
s5,1,0.020218,5.392988,[ 3 32] ; [5 9],[ 5.71428571 29.28571429] ; [ 2.28571429 11.71428571],0
s2,1,0.02918,4.756955,[ 6 29] ; [7 8],[ 9.1 25.9] ; [ 3.9 11.1],0
p2,1,0.034532,4.468151,[12 23] ; [10  5],[15.4 19.6] ; [6.6 8.4],0
s6,1,0.057296,3.613964,[ 9 27] ; [7 6],[11.75510204 24.24489796] ; [4.24489796 8.75510204],0
a5,1,0.069631,3.291694,[19 17] ; [12  3],[21.88235294 14.11764706] ; [9.11764706 5.88235294],0
d3,1,0.070158,3.279321,[14 22] ; [10  5],[16.94117647 19.05882353] ; [7.05882353 7.94117647],0
p10,1,0.099958,2.706209,[14 20] ; [10  5],[16.65306122 17.34693878] ; [7.34693878 7.65306122],0
s1,1,0.113972,2.498261,[ 2 34] ; [ 3 12],[ 3.52941176 32.47058824] ; [ 1.47058824 13.52941176],0
s4,1,0.113972,2.498261,[ 2 34] ; [ 3 12],[ 3.52941176 32.47058824] ; [ 1.47058824 13.52941176],0
v1,1,0.145544,2.118347,[ 9 26] ; [7 8],[11.2 23.8] ; [ 4.8 10.2],0
a6,1,0.148042,2.092308,[16 20] ; [10  5],[18.35294118 17.64705882] ; [7.64705882 7.35294118],0
u3,1,0.196706,1.666667,[ 2 13] ; [2 3],[ 3. 12.] ; [1. 4.],0
p5,1,0.238687,1.388333,[ 3 33] ; [ 3 12],[ 4.23529412 31.76470588] ; [ 1.76470588 13.23529412],0
d2,1,0.239405,1.384096,[17 18] ; [10  5],[18.9 16.1] ; [8.1 6.9],0
p9,1,0.241268,1.373172,[16 17] ; [10  5],[17.875 15.125] ; [8.125 6.875],0
n3,1,0.268925,1.222222,[ 8 10] ; [3 1],[9. 9.] ; [2. 2.],0
s8,1,0.28668,1.13515,[ 7 29] ; [ 5 10],[ 8.47058824 27.52941176] ; [ 3.52941176 11.47058824],0
v2,1,0.287802,1.129877,[13 22] ; [8 7],[14.7 20.3] ; [6.3 8.7],0
r2,1,0.326683,0.962001,[17 16] ; [10  5],[18.5625 14.4375] ; [8.4375 6.5625],0
d1,1,0.342614,0.900627,[14 22] ; [8 7],[15.52941176 20.47058824] ; [6.47058824 8.52941176],0
n6,1,0.353837,0.859649,[20 15] ; [10  4],[21.42857143 13.57142857] ; [8.57142857 5.42857143],0
b1,1,0.361499,0.83268,[19 17] ; [10  5],[20.47058824 15.52941176] ; [8.52941176 6.47058824],0
a2,1,0.40061,0.706494,[ 4 32] ; [ 3 12],[ 4.94117647 31.05882353] ; [ 2.05882353 12.94117647],0
p11,1,0.445504,0.582065,[15 21] ; [8 7],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
s7,1,0.46088,0.543758,[ 7 27] ; [4 9],[ 7.95744681 26.04255319] ; [3.04255319 9.95744681],0
a8,1,0.501241,0.452308,[ 8 27] ; [ 2 12],[ 7.14285714 27.85714286] ; [ 2.85714286 11.14285714],0
d4,1,0.514453,0.425,[23 13] ; [11  4],[24. 12.] ; [10.  5.],0
a7,1,0.514453,0.425,[18 18] ; [6 9],[16.94117647 19.05882353] ; [7.05882353 7.94117647],0
b2,1,0.536158,0.382707,[11 14] ; [4 8],[10.13513514 14.86486486] ; [4.86486486 7.13513514],0
b3,1,0.536158,0.382707,[11 14] ; [4 8],[10.13513514 14.86486486] ; [4.86486486 7.13513514],0
a4,1,0.557659,0.343774,[11 24] ; [6 9],[11.9 23.1] ; [5.1 9.9],0
d5,1,0.640131,0.218571,[24 12] ; [11  4],[24.70588235 11.29411765] ; [10.29411765  4.70588235],0
a3,1,0.656278,0.198076,[21 14] ; [10  5],[21.7 13.3] ; [9.3 5.7],0
b5,1,0.690791,0.158231,[17 19] ; [8 7],[17.64705882 18.35294118] ; [7.35294118 7.64705882],0
v3,1,0.73315,0.116239,[ 8 28] ; [ 4 11],[ 8.47058824 27.52941176] ; [ 3.52941176 11.47058824],0
r1,1,0.74253,0.107915,[15 21] ; [7 8],[15.52941176 20.47058824] ; [6.47058824 8.52941176],0
u2,1,0.765594,0.088889,[ 4 11] ; [1 4],[ 3.75 11.25] ; [1.25 3.75],0
b4,1,0.793529,0.068503,[23 13] ; [9 6],[22.58823529 13.41176471] ; [9.41176471 5.58823529],0
p1,1,0.82242,0.05037,[ 4 32] ; [ 2 13],[ 4.23529412 31.76470588] ; [ 1.76470588 13.23529412],0
p12,1,0.831949,0.04503,[ 2 34] ; [ 1 13],[ 2.16 33.84] ; [ 0.84 13.16],0
n2,1,0.840039,0.040741,[10  8] ; [2 2],[9.81818182 8.18181818] ; [2.18181818 1.81818182],0
r4,1,0.845551,0.037946,[11 25] ; [ 5 10],[11.29411765 24.70588235] ; [ 4.70588235 10.29411765],0
n5,1,0.963683,0.002073,[29  7] ; [12  3],[28.94117647  7.05882353] ; [12.05882353  2.94117647],0
