Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000224,13.621784,[19 41] ; [12  2],[25.13513514 34.86486486] ; [5.86486486 8.13513514],1
r4,1,0.001077,10.690923,[55  5] ; [8 6],[51.08108108  8.91891892] ; [11.91891892  2.08108108],0
a7,1,0.002872,8.88733,[46 14] ; [5 9],[41.35135135 18.64864865] ; [9.64864865 4.35135135],0
r3,1,0.003235,8.66983,[59  1] ; [11  3],[56.75675676  3.24324324] ; [13.24324324  0.75675676],0
r1,1,0.007591,7.127623,[50 10] ; [7 7],[46.21621622 13.78378378] ; [10.78378378  3.21621622],0
s3,1,0.023374,5.140529,[32 26] ; [ 3 11],[28.19444444 29.80555556] ; [6.80555556 7.19444444],0
n4,1,0.031593,4.620432,[47 13] ; [7 7],[43.78378378 16.21621622] ; [10.21621622  3.78378378],0
v3,1,0.058245,3.586661,[34 26] ; [ 4 10],[30.81081081 29.18918919] ; [7.18918919 6.81081081],0
d3,1,0.069559,3.293407,[24 36] ; [ 2 12],[21.08108108 38.91891892] ; [4.91891892 9.08108108],0
p1,1,0.163036,1.94584,[ 5 54] ; [ 3 11],[ 6.46575342 52.53424658] ; [ 1.53424658 12.46575342],0
s6,1,0.16618,1.917071,[36 21] ; [6 8],[33.71830986 23.28169014] ; [8.28169014 5.71830986],0
p9,1,0.173039,1.856415,[51  8] ; [10  4],[49.30136986  9.69863014] ; [11.69863014  2.30136986],0
p3,1,0.173411,1.853208,[33 26] ; [5 9],[30.71232877 28.28767123] ; [7.28767123 6.71232877],0
r2,1,0.178988,1.806007,[57  3] ; [11  2],[55.89041096  4.10958904] ; [12.10958904  0.89041096],0
a3,1,0.180415,1.7942,[31 29] ; [10  4],[33.24324324 26.75675676] ; [7.75675676 6.24324324],0
s5,1,0.209199,1.576961,[18 40] ; [ 2 12],[16.11111111 41.88888889] ; [ 3.88888889 10.11111111],0
p8,1,0.308224,1.038272,[29 30] ; [9 5],[30.71232877 28.28767123] ; [7.28767123 6.71232877],0
p7,1,0.310454,1.028744,[38 21] ; [11  3],[39.60273973 19.39726027] ; [9.39726027 4.60273973],0
s2,1,0.319721,0.990089,[25 33] ; [ 4 10],[23.36111111 34.63888889] ; [5.63888889 8.36111111],0
d5,1,0.350506,0.871625,[26 34] ; [8 6],[27.56756757 32.43243243] ; [6.43243243 7.56756757],0
b4,1,0.350506,0.871625,[34 26] ; [6 8],[32.43243243 27.56756757] ; [7.56756757 6.43243243],0
p2,1,0.408539,0.683048,[48 11] ; [10  4],[46.87671233 12.12328767] ; [11.12328767  2.87671233],0
p10,1,0.408539,0.683048,[48 11] ; [10  4],[46.87671233 12.12328767] ; [11.12328767  2.87671233],0
v1,1,0.451322,0.56733,[36 23] ; [7 7],[34.75342466 24.24657534] ; [8.24657534 5.75342466],0
n5,1,0.481452,0.495573,[47 13] ; [9 4],[46.02739726 13.97260274] ; [9.97260274 3.02739726],0
d2,1,0.482984,0.492118,[12 48] ; [ 4 10],[12.97297297 47.02702703] ; [ 3.02702703 10.97297297],0
n1,1,0.494125,0.467532,[4 8] ; [3 3],[4.66666667 7.33333333] ; [2.33333333 3.66666667],0
s7,1,0.610052,0.2601,[25 29] ; [5 8],[24.17910448 29.82089552] ; [5.82089552 7.17910448],0
p5,1,0.611149,0.258505,[ 7 52] ; [ 1 13],[ 6.46575342 52.53424658] ; [ 1.53424658 12.46575342],0
a4,1,0.673318,0.177746,[10 50] ; [ 3 11],[10.54054054 49.45945946] ; [ 2.45945946 11.54054054],0
s8,1,0.732941,0.116429,[24 35] ; [5 9],[23.43835616 35.56164384] ; [5.56164384 8.43835616],0
p4,1,0.732941,0.116429,[35 24] ; [9 5],[35.56164384 23.43835616] ; [8.43835616 5.56164384],0
p6,1,0.732941,0.116429,[24 35] ; [5 9],[23.43835616 35.56164384] ; [5.56164384 8.43835616],0
b5,1,0.73534,0.114265,[33 27] ; [7 7],[32.43243243 27.56756757] ; [7.56756757 6.43243243],0
a5,1,0.754877,0.097479,[37 23] ; [8 6],[36.48648649 23.51351351] ; [8.51351351 5.48648649],0
u2,1,0.845582,0.037931,[13 16] ; [2 2],[13.18181818 15.81818182] ; [1.81818182 2.18181818],0
a2,1,0.883178,0.021592,[ 5 55] ; [ 1 13],[ 4.86486486 55.13513514] ; [ 1.13513514 12.86486486],0
a6,1,0.946856,0.004443,[38 22] ; [9 5],[38.10810811 21.89189189] ; [8.89189189 5.10810811],0
u3,1,0.948428,0.004184,[14 15] ; [2 2],[14.06060606 14.93939394] ; [1.93939394 2.06060606],0
b3,1,0.983911,0.000407,[11 27] ; [2 5],[10.97777778 27.02222222] ; [2.02222222 4.97777778],0
b2,1,0.983911,0.000407,[11 27] ; [2 5],[10.97777778 27.02222222] ; [2.02222222 4.97777778],0
p11,1,0.984453,0.00038,[47 13] ; [11  3],[47.02702703 12.97297297] ; [10.97297297  3.02702703],0
