Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5e-06,20.854261,[65  3] ; [3 4],[61.65333333  6.34666667] ; [6.34666667 0.65333333],1
s6,1,5e-05,16.439388,[57  7] ; [2 5],[53.18309859 10.81690141] ; [5.81690141 1.18309859],1
s5,1,0.005182,7.814697,[45 17] ; [1 5],[41.94117647 20.05882353] ; [4.05882353 1.94117647],0
p4,1,0.007106,7.245932,[59  7] ; [5 4],[56.32  9.68] ; [7.68 1.32],0
r1,1,0.008998,6.823242,[59  9] ; [4 4],[56.36842105 11.63157895] ; [6.63157895 1.36842105],0
s2,1,0.015589,5.848611,[42 26] ; [1 6],[38.98666667 29.01333333] ; [4.01333333 2.98666667],0
v4,1,0.045079,4.015699,[67  1] ; [6 1],[66.18666667  1.81333333] ; [6.81333333 0.18666667],0
p2,1,0.053335,3.733385,[61  7] ; [6 3],[59.16883117  8.83116883] ; [7.83116883 1.16883117],0
v3,1,0.059751,3.544284,[39 26] ; [2 6],[36.50684932 28.49315068] ; [4.49315068 3.50684932],0
p6,1,0.098509,2.729516,[45 22] ; [3 5],[42.88 24.12] ; [5.12 2.88],0
u2,1,0.11863,2.435317,[11  3] ; [1 2],[9.88235294 4.11764706] ; [2.11764706 0.88235294],0
v2,1,0.136669,2.215069,[42 23] ; [3 5],[40.06849315 24.93150685] ; [4.93150685 3.06849315],0
a6,1,0.138494,2.194616,[43 24] ; [8 1],[44.96052632 22.03947368] ; [6.03947368 2.96052632],0
a2,1,0.143232,2.142885,[15 53] ; [4 5],[16.77922078 51.22077922] ; [2.22077922 6.77922078],0
s1,1,0.144789,2.126307,[ 5 63] ; [2 7],[ 6.18181818 61.81818182] ; [0.81818182 8.18181818],0
s8,1,0.152682,2.045246,[42 24] ; [3 5],[40.13513514 25.86486486] ; [4.86486486 3.13513514],0
p12,1,0.247603,1.336776,[22 46] ; [1 7],[20.57894737 47.42105263] ; [2.42105263 5.57894737],0
p7,1,0.248013,1.33446,[53 13] ; [5 3],[51.72972973 14.27027027] ; [6.27027027 1.72972973],0
n3,1,0.254524,1.298302,[9 4] ; [2 3],[7.94444444 5.05555556] ; [3.05555556 1.94444444],0
r2,1,0.268274,1.225552,[65  3] ; [6 1],[64.37333333  3.62666667] ; [6.62666667 0.37333333],0
b1,1,0.277337,1.180092,[25 43] ; [5 4],[26.49350649 41.50649351] ; [3.50649351 5.49350649],0
d2,1,0.286854,1.134328,[32 35] ; [6 3],[33.5 33.5] ; [4.5 4.5],0
d3,1,0.305437,1.050304,[49 18] ; [8 1],[50.25 16.75] ; [6.75 2.25],0
d1,1,0.309028,1.034827,[41 27] ; [7 2],[42.38961039 25.61038961] ; [5.61038961 3.38961039],0
p10,1,0.339851,0.910993,[64  3] ; [7 1],[63.42666667  3.57333333] ; [7.57333333 0.42666667],0
n4,1,0.380473,0.769174,[60  8] ; [7 2],[59.16883117  8.83116883] ; [7.83116883 1.16883117],0
a3,1,0.38633,0.750461,[54 14] ; [6 3],[52.98701299 15.01298701] ; [7.01298701 1.98701299],0
p3,1,0.400497,0.706835,[53 14] ; [6 3],[52.01315789 14.98684211] ; [6.98684211 2.01315789],0
p9,1,0.402716,0.700203,[64  3] ; [8 1],[63.47368421  3.52631579] ; [8.52631579 0.47368421],0
d5,1,0.435891,0.607076,[52 15] ; [8 1],[52.89473684 14.10526316] ; [7.10526316 1.89473684],0
a4,1,0.463642,0.537089,[29 39] ; [5 4],[30.02597403 37.97402597] ; [3.97402597 5.02597403],0
n5,1,0.46904,0.524237,[59  9] ; [7 2],[58.28571429  9.71428571] ; [7.71428571 1.28571429],0
v1,1,0.479272,0.500519,[47 20] ; [4 3],[46.17567568 20.82432432] ; [4.82432432 2.17567568],0
n6,1,0.484044,0.489739,[63  4] ; [7 1],[62.53333333  4.46666667] ; [7.46666667 0.53333333],0
p1,1,0.484875,0.48788,[23 45] ; [2 7],[22.07792208 45.92207792] ; [2.92207792 6.07792208],0
s7,1,0.55252,0.352823,[45 17] ; [5 3],[44.28571429 17.71428571] ; [5.71428571 2.28571429],0
u1,1,0.59211,0.287061,[17 51] ; [3 6],[17.66233766 50.33766234] ; [2.33766234 6.66233766],0
p8,1,0.664155,0.188516,[56 11] ; [7 2],[55.53947368 11.46052632] ; [7.46052632 1.53947368],0
n1,1,0.70663,0.141667,[6 6] ; [2 3],[5.64705882 6.35294118] ; [2.35294118 2.64705882],0
b5,1,0.754072,0.098141,[34 34] ; [5 4],[34.44155844 33.55844156] ; [4.55844156 4.44155844],0
p11,1,0.772109,0.083878,[58 10] ; [8 1],[58.28571429  9.71428571] ; [7.71428571 1.28571429],0
n2,1,0.813945,0.055385,[11  2] ; [4 1],[10.83333333  2.16666667] ; [4.16666667 0.83333333],0
b2,1,0.839488,0.041026,[23 26] ; [3 4],[22.75 26.25] ; [3.25 3.75],0
b3,1,0.839488,0.041026,[23 26] ; [3 4],[22.75 26.25] ; [3.25 3.75],0
b4,1,0.851702,0.034949,[40 28] ; [5 4],[39.74025974 28.25974026] ; [5.25974026 3.74025974],0
a1,1,0.858608,0.031736,[ 9 59] ; [1 8],[ 8.83116883 59.16883117] ; [1.16883117 7.83116883],0
s3,1,0.89562,0.017213,[40 27] ; [4 3],[39.83783784 27.16216216] ; [4.16216216 2.83783784],0
a5,1,0.909603,0.012891,[54 14] ; [7 2],[53.87012987 14.12987013] ; [7.12987013 1.87012987],0
u3,1,0.93758,0.006133,[9 5] ; [2 1],[9.05882353 4.94117647] ; [1.94117647 1.05882353],0
