Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00224,9.341326,[29  9] ; [ 9 15],[23.29032258 14.70967742] ; [14.70967742  9.29032258],0
p6,1,0.008294,6.968821,[18 20] ; [ 3 19],[13.3 24.7] ; [ 7.7 14.3],0
p2,1,0.026826,4.901988,[34  4] ; [16  8],[30.64516129  7.35483871] ; [19.35483871  4.64516129],0
p11,1,0.047059,3.943281,[27 11] ; [11 13],[23.29032258 14.70967742] ; [14.70967742  9.29032258],0
r4,1,0.062552,3.468388,[35  3] ; [18  6],[32.48387097  5.51612903] ; [20.51612903  3.48387097],0
p8,1,0.077197,3.122944,[23 15] ; [ 9 15],[19.61290323 18.38709677] ; [12.38709677 11.61290323],0
s8,1,0.078189,3.102147,[18 20] ; [ 6 18],[14.70967742 23.29032258] ; [ 9.29032258 14.70967742],0
a2,1,0.080865,3.047427,[10 28] ; [ 2 22],[ 7.35483871 30.64516129] ; [ 4.64516129 19.35483871],0
n5,1,0.109215,2.565542,[15 22] ; [ 5 19],[12.13114754 24.86885246] ; [ 7.86885246 16.13114754],0
r1,1,0.120408,2.412005,[31  6] ; [16  8],[28.50819672  8.49180328] ; [18.49180328  5.50819672],0
s2,1,0.136941,2.212001,[20 18] ; [ 8 16],[17.16129032 20.83870968] ; [10.83870968 13.16129032],0
p7,1,0.1664,1.915081,[28 10] ; [13 10],[25.54098361 12.45901639] ; [15.45901639  7.54098361],0
p10,1,0.175876,1.832127,[27 11] ; [13 11],[24.51612903 13.48387097] ; [15.48387097  8.51612903],0
d1,1,0.212968,1.551133,[22 16] ; [10 14],[19.61290323 18.38709677] ; [12.38709677 11.61290323],0
a4,1,0.2202,1.503068,[17 21] ; [ 7 17],[14.70967742 23.29032258] ; [ 9.29032258 14.70967742],0
p9,1,0.243063,1.362739,[29  9] ; [15  9],[26.96774194 11.03225806] ; [17.03225806  6.96774194],0
r2,1,0.243458,1.360458,[33  5] ; [23  1],[34.32258065  3.67741935] ; [21.67741935  2.32258065],0
b1,1,0.257745,1.280829,[26 12] ; [13 11],[23.90322581 14.09677419] ; [15.09677419  8.90322581],0
p1,1,0.261781,1.259314,[ 4 34] ; [ 5 19],[ 5.51612903 32.48387097] ; [ 3.48387097 20.51612903],0
d4,1,0.277597,1.178816,[29  9] ; [21  3],[30.64516129  7.35483871] ; [19.35483871  4.64516129],0
d5,1,0.281744,1.158658,[30  8] ; [16  8],[28.19354839  9.80645161] ; [17.80645161  6.19354839],0
a3,1,0.331255,0.943985,[24 14] ; [18  6],[25.74193548 12.25806452] ; [16.25806452  7.74193548],0
s5,1,0.389226,0.741359,[12 24] ; [ 5 17],[10.55172414 25.44827586] ; [ 6.44827586 15.55172414],0
u2,1,0.418222,0.655306,[11  3] ; [3 2],[10.31578947  3.68421053] ; [3.68421053 1.31578947],0
v2,1,0.420668,0.648447,[19 16] ; [10 13],[17.5 17.5] ; [11.5 11.5],0
u3,1,0.573138,0.31746,[10  4] ; [5 1],[10.5  3.5] ; [4.5 1.5],0
s3,1,0.621096,0.24433,[23 15] ; [13 11],[22.06451613 15.93548387] ; [13.93548387 10.06451613],0
s4,1,0.623433,0.241073,[10 28] ; [ 5 19],[ 9.19354839 28.80645161] ; [ 5.80645161 18.19354839],0
a5,1,0.630843,0.230919,[29  9] ; [17  7],[28.19354839  9.80645161] ; [17.80645161  6.19354839],0
d2,1,0.660355,0.193093,[18 20] ; [10 14],[17.16129032 20.83870968] ; [10.83870968 13.16129032],0
a8,1,0.683323,0.166409,[ 2 32] ; [ 2 21],[ 2.38596491 31.61403509] ; [ 1.61403509 21.38596491],0
b4,1,0.6858,0.163669,[21 17] ; [12 12],[20.22580645 17.77419355] ; [12.77419355 11.22580645],0
d3,1,0.70403,0.144314,[24 14] ; [14 10],[23.29032258 14.70967742] ; [14.70967742  9.29032258],0
v1,1,0.715973,0.132384,[18 20] ; [12 11],[18.68852459 19.31147541] ; [11.31147541 11.68852459],0
b5,1,0.718801,0.129644,[22 16] ; [15  9],[22.67741935 15.32258065] ; [14.32258065  9.67741935],0
n1,1,0.732678,0.116667,[4 6] ; [2 2],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
a1,1,0.738965,0.111038,[ 1 37] ; [ 1 23],[ 1.22580645 36.77419355] ; [ 0.77419355 23.22580645],0
a7,1,0.792026,0.069528,[25 13] ; [15  9],[24.51612903 13.48387097] ; [15.48387097  8.51612903],0
v3,1,0.794214,0.068039,[10 25] ; [ 7 15],[10.43859649 24.56140351] ; [ 6.56140351 15.43859649],0
v4,1,0.810959,0.057211,[34  4] ; [21  3],[33.70967742  4.29032258] ; [21.29032258  2.70967742],0
n3,1,0.836813,0.042424,[8 2] ; [3 1],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
n2,1,0.836813,0.042424,[8 2] ; [3 1],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
s7,1,0.887637,0.019964,[13 21] ; [ 8 14],[12.75 21.25] ; [ 8.25 13.75],0
n4,1,0.932655,0.007141,[21 17] ; [13 11],[20.83870968 17.16129032] ; [13.16129032 10.83870968],0
b2,1,0.941276,0.005427,[ 9 19] ; [4 8],[ 9.1 18.9] ; [3.9 8.1],0
b3,1,0.941276,0.005427,[ 9 19] ; [4 8],[ 9.1 18.9] ; [3.9 8.1],0
a6,1,0.943329,0.005053,[25 13] ; [16  8],[25.12903226 12.87096774] ; [15.87096774  8.12903226],0
