Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-05,18.218876,[32  5] ; [ 8 16],[24.26229508 12.73770492] ; [15.73770492  8.26229508],1
n1,1,0.02278,5.185227,[9 6] ; [ 2 10],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
r1,1,0.073524,3.202547,[21 16] ; [ 8 16],[17.59016393 19.40983607] ; [11.40983607 12.59016393],0
s7,1,0.080282,3.059182,[14 22] ; [ 4 19],[10.98305085 25.01694915] ; [ 7.01694915 15.98305085],0
s6,1,0.099152,2.719138,[17 20] ; [ 6 18],[13.95081967 23.04918033] ; [ 9.04918033 14.95081967],0
v3,1,0.101535,2.681259,[13 23] ; [ 4 20],[10.2 25.8] ; [ 6.8 17.2],0
p7,1,0.116588,2.462565,[14 23] ; [14 10],[16.98360656 20.01639344] ; [11.01639344 12.98360656],0
a8,1,0.123565,2.371542,[ 6 27] ; [ 1 22],[ 4.125 28.875] ; [ 2.875 20.125],0
s4,1,0.149081,2.081627,[ 2 35] ; [ 4 20],[ 3.63934426 33.36065574] ; [ 2.36065574 21.63934426],0
p6,1,0.159352,1.98036,[10 26] ; [ 3 21],[ 7.8 28.2] ; [ 5.2 18.8],0
r4,1,0.174026,1.84792,[22 15] ; [10 14],[19.40983607 17.59016393] ; [12.59016393 11.40983607],0
d4,1,0.193056,1.694141,[13 24] ; [12 11],[15.41666667 21.58333333] ; [ 9.58333333 13.41666667],0
r2,1,0.201547,1.631127,[30  7] ; [16  8],[27.90163934  9.09836066] ; [18.09836066  5.90163934],0
u2,1,0.219901,1.505017,[ 6 17] ; [6 7],[ 7.66666667 15.33333333] ; [4.33333333 8.66666667],0
p4,1,0.228951,1.447368,[11 25] ; [11 13],[13.2 22.8] ; [ 8.8 15.2],0
p1,1,0.231107,1.434033,[ 5 32] ; [ 1 23],[ 3.63934426 33.36065574] ; [ 2.36065574 21.63934426],0
p2,1,0.237358,1.396218,[19 18] ; [16  8],[21.2295082 15.7704918] ; [13.7704918 10.2295082],0
s5,1,0.237674,1.394336,[ 7 29] ; [ 2 22],[ 5.4 30.6] ; [ 3.6 20.4],0
b2,1,0.253089,1.306173,[ 9 15] ; [2 9],[ 7.54285714 16.45714286] ; [3.45714286 7.54285714],0
