Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.762646,[26 23] ; [295  62],[38.74137931 10.25862069] ; [282.25862069  74.74137931],1
n4,1,4e-06,21.453998,[28 21] ; [303  55],[39.85012285  9.14987715] ; [291.14987715  66.85012285],1
r4,1,0.000337,12.851044,[38 11] ; [334  25],[44.67647059  4.32352941] ; [327.32352941  31.67647059],1
a2,1,0.001972,9.575045,[ 3 46] ; [ 94 265],[11.6495098 37.3504902] ; [ 85.3504902 273.6495098],0
b1,1,0.00208,9.47752,[26 23] ; [111 248],[16.45343137 32.54656863] ; [120.54656863 238.45343137],0
a4,1,0.003597,8.47673,[12 37] ; [166 191],[21.48275862 27.51724138] ; [156.51724138 200.48275862],0
d2,1,0.006924,7.292675,[16 33] ; [190 167],[24.86206897 24.13793103] ; [181.13793103 175.86206897],0
u1,1,0.009254,6.773155,[ 3 46] ; [ 79 280],[ 9.84803922 39.15196078] ; [ 72.15196078 286.84803922],0
p6,1,0.013276,6.13197,[10 36] ; [143 209],[17.68341709 28.31658291] ; [135.31658291 216.68341709],0
p3,1,0.01436,5.99337,[19 29] ; [208 149],[26.9037037 21.0962963] ; [200.0962963 156.9037037],0
p10,1,0.015872,5.817044,[37 11] ; [315  38],[42.13466334  5.86533666] ; [309.86533666  43.13466334],0
s6,1,0.017435,5.652028,[25 24] ; [240 112],[32.38154613 16.61845387] ; [232.61845387 119.38154613],0
r3,1,0.025741,4.973347,[46  3] ; [352   5],[48.03448276  0.96551724] ; [349.96551724   7.03448276],0
r2,1,0.027376,4.866933,[41  6] ; [337  17],[44.3042394  2.6957606] ; [333.6957606  20.3042394],0
s5,1,0.029302,4.7498,[10 38] ; [126 216],[16.73846154 31.26153846] ; [119.26153846 222.73846154],0
p9,1,0.029945,4.712423,[40  9] ; [321  30],[44.2225  4.7775] ; [316.7775  34.2225],0
v3,1,0.030159,4.700214,[20 27] ; [209 144],[26.9075 20.0925] ; [202.0925 150.9075],0
s2,1,0.039755,4.228294,[18 31] ; [185 168],[24.74378109 24.25621891] ; [178.25621891 174.74378109],0
d1,1,0.039961,4.21954,[25 24] ; [237 122],[31.46568627 17.53431373] ; [230.53431373 128.46568627],0
s8,1,0.05056,3.822797,[17 32] ; [176 179],[23.40841584 25.59158416] ; [169.59158416 185.40841584],0
s7,1,0.059455,3.552529,[19 29] ; [185 157],[25.10769231 22.89230769] ; [178.89230769 163.10769231],0
p8,1,0.060209,3.531623,[22 25] ; [214 136],[27.9395466 19.0604534] ; [208.0604534 141.9395466],0
n1,1,0.060579,3.521474,[6 5] ; [16 45],[3.36111111 7.63888889] ; [18.63888889 42.36111111],0
p4,1,0.066373,3.37051,[25 23] ; [233 122],[30.72952854 17.27047146] ; [227.27047146 127.72952854],0
p2,1,0.077844,3.10935,[38 10] ; [315  42],[41.83703704  6.16296296] ; [311.16296296  45.83703704],0
r1,1,0.078762,3.09026,[36 12] ; [305  54],[40.21621622  7.78378378] ; [300.78378378  58.21621622],0
d4,1,0.081603,3.03268,[38 11] ; [310  47],[42.  7.] ; [306.  51.],0
u2,1,0.089737,2.879091,[8 2] ; [44 41],[5.47368421 4.52631579] ; [46.52631579 38.47368421],0
v1,1,0.096736,2.758548,[27 21] ; [239 111],[32.08040201 15.91959799] ; [233.91959799 116.08040201],0
p7,1,0.101219,2.686231,[29 19] ; [251  98],[33.85390428 14.14609572] ; [246.14609572 102.85390428],0
a8,1,0.109407,2.562764,[ 3 40] ; [ 53 272],[ 6.54347826 36.45652174] ; [ 49.45652174 275.54347826],0
d3,1,0.134902,2.235168,[31 18] ; [263  95],[35.3955774 13.6044226] ; [258.6044226  99.3955774],0
a7,1,0.153842,2.033736,[33 16] ; [273  83],[37.02222222 11.97777778] ; [268.97777778  87.02222222],0
s4,1,0.156156,2.01106,[ 3 46] ; [ 47 308],[ 6.06435644 42.93564356] ; [ 43.93564356 311.06435644],0
s3,1,0.165651,1.921867,[22 26] ; [197 152],[26.47858942 21.52141058] ; [192.52141058 156.47858942],0
v4,1,0.203739,1.615367,[44  4] ; [342  15],[45.74814815  2.25185185] ; [340.25185185  16.74814815],0
p5,1,0.258767,1.275343,[ 4 45] ; [ 50 307],[ 6.51724138 42.48275862] ; [ 47.48275862 309.51724138],0
a5,1,0.265742,1.238595,[35 14] ; [281  77],[38.04422604 10.95577396] ; [277.95577396  80.04422604],0
b3,1,0.330271,0.947836,[ 8 19] ; [ 93 144],[10.32954545 16.67045455] ; [ 90.67045455 146.32954545],0
b2,1,0.330271,0.947836,[ 8 19] ; [ 93 144],[10.32954545 16.67045455] ; [ 90.67045455 146.32954545],0
u3,1,0.39069,0.736794,[7 3] ; [48 38],[5.72916667 4.27083333] ; [49.27083333 36.72916667],0
a6,1,0.40066,0.706344,[32 17] ; [254 103],[34.51724138 14.48275862] ; [251.48275862 105.51724138],0
b5,1,0.455346,0.557311,[31 18] ; [207 152],[28.58333333 20.41666667] ; [209.41666667 149.58333333],0
p12,1,0.506707,0.44086,[ 4 44] ; [ 41 314],[ 5.35980149 42.64019851] ; [ 39.64019851 315.35980149],0
a1,1,0.524412,0.405207,[ 2 47] ; [ 23 336],[ 3.00245098 45.99754902] ; [ 21.99754902 337.00245098],0
n3,1,0.547396,0.362004,[11  2] ; [47 14],[10.18918919  2.81081081] ; [47.81081081 13.18918919],0
b4,1,0.552035,0.353684,[28 21] ; [221 138],[29.90441176 19.09558824] ; [219.09558824 139.90441176],0
a3,1,0.627169,0.23592,[39 10] ; [273  84],[37.65517241 11.34482759] ; [274.34482759  82.65517241],0
d5,1,0.695102,0.153617,[40  9] ; [301  58],[40.95343137  8.04656863] ; [300.04656863  58.95343137],0
s1,1,0.833521,0.044179,[ 1 46] ; [  6 347],[ 0.8225 46.1775] ; [  6.1775 346.8225],0
