Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,63.901585,[ 24 108] ; [255 186],[64.27225131 67.72774869] ; [214.72774869 226.27225131],1
d2,1,0.0,60.947611,[ 31 101] ; [274 167],[70.2617801 61.7382199] ; [234.7382199 206.2617801],1
a3,1,0.0,49.946851,[66 65] ; [358  83],[97.1048951 33.8951049] ; [326.8951049 114.1048951],1
u1,1,0.0,38.014284,[  6 126] ; [137 305],[32.88501742 99.11498258] ; [110.11498258 331.88501742],1
d1,1,0.0,33.605204,[69 63] ; [345  97],[95.20557491 36.79442509] ; [318.79442509 123.20557491],1
n4,1,0.0,26.215157,[79 53] ; [359  82],[100.90052356  31.09947644] ; [337.09947644 103.90052356],1
a6,1,6.7e-05,15.904763,[88 44] ; [365  76],[104.35602094  27.64397906] ; [348.64397906  92.35602094],1
p4,1,0.000244,13.458824,[63 69] ; [288 152],[81. 51.] ; [270. 170.],1
r1,1,0.000933,10.956473,[95 36] ; [372  65],[107.70598592  23.29401408] ; [359.29401408  77.70598592],1
v2,1,0.003286,8.641407,[60 65] ; [264 157],[74.17582418 50.82417582] ; [249.82417582 171.17582418],0
d3,1,0.003771,8.390965,[96 35] ; [373  69],[107.22338569  23.77661431] ; [361.77661431  80.22338569],0
v1,1,0.006625,7.37205,[55 72] ; [245 185],[68.4021544 58.5978456] ; [231.5978456 198.4021544],0
d4,1,0.007835,7.070892,[110  22] ; [404  38],[118.20209059  13.79790941] ; [395.79790941  46.20209059],0
p9,1,0.011423,6.398254,[98 29] ; [376  59],[107.113879  19.886121] ; [366.886121  68.113879],0
n5,1,0.013764,6.068187,[85 47] ; [329 108],[96.04217926 35.95782074] ; [317.95782074 119.04217926],0
s8,1,0.014503,5.975809,[45 87] ; [202 236],[57.2 74.8] ; [189.8 248.2],0
p7,1,0.023083,5.162229,[68 60] ; [275 153],[78.96402878 49.03597122] ; [264.03597122 163.96402878],0
s5,1,0.0312,4.641946,[31 97] ; [145 277],[40.96 87.04] ; [135.04 286.96],0
p10,1,0.035888,4.402412,[95 32] ; [363  74],[103.13120567  23.86879433] ; [354.86879433  82.13120567],0
s6,1,0.050764,3.816044,[79 52] ; [300 132],[88.18650089 42.81349911] ; [290.81349911 141.18650089],0
s7,1,0.052976,3.744683,[49 76] ; [205 213],[58.47145488 66.52854512] ; [195.52854512 222.47145488],0
p11,1,0.055071,3.679929,[92 40] ; [344  98],[100.26480836  31.73519164] ; [335.73519164 106.26480836],0
p6,1,0.094622,2.793936,[37 91] ; [161 275],[44.93617021 83.06382979] ; [153.06382979 282.93617021],0
